字段1_文本,字段2,时间,字段3
Warmingcar,《来啦，超爽用车一个半月4016公里用车体验》 其实早就想发了，为我们的宋L打出名堂做出贡献，但是就是想体验久一点再来发声，这样比较靠谱实际。 【购车经历】 23.1.3号下订，在此之前是看了极氪001，小鹏G6，智已ls6的，然后就关注了一下这款车刚上市的时候，看完了直播，就心动了，然后过了一周去看了三家4s店，打了不少于10家店的电话问有没有现车（搞得后面接了好多电话～无语?），因为本来是想买550卓越的，奈何刚上市那会儿确实没有，后面咬咬牙上了662的现车，就是对比了4s店的价格，真是一分没?少?，但是可以免服务费（其实就是厂家金融）压本的那种根本不需要服务费被忽悠了一下，然后送挡泥板，送下面全护板，常规的都送了，还有7次保养，关键是这家店说免费洗车充电，充电确实有，不过都是慢充，贼慢车位又难抢，这些都是现在的体验，但是订车跟提车的时候真的很兴奋的，人生第一台车，和女朋友一起买的，我出的大部分，上的她名字❤️ 【驾驶感受】 这个车刚上手要适应油电转换，特别是方向盘比较重，油门踩的也要有点力，但是，比油车好的地方太多了，加速毫无顿挫感，想走就走要多少就多少的纵享丝滑般的操控，然后刹车的话就不得不提我往返一千多公里去郴州的经历了，开车直冲回龙山，开上去大概半个多小时1480米，下山的路那个刹车就一直踩不停，说实话刹车也是有点偏硬的，但是它绝对刹得住，我宁愿多踩刹车也不想设置那个动能反馈成较大，都是调标准的，不然真的会晕，刹车是绝对靠谱的而且也很舒适，没有那种点头的感觉，然后市区开的话也是动力十足绝对够用了，就是说红绿灯头车的话看手机忘记走了被后车bibi的话可以弹射起步甩旁边车很远了，然后我发现他的辅助驾驶，在高速上还是很稳的，一点都不画龙，可以非常很负责任的讲，甚至在塞车的时候跟车也可以打开，限速是30的，但可以释放你的双脚跟单手很轻松了好吧，而且车道保持居中非常好，不会偏哪边去的，有图有真相，然后就是底盘感觉很稳，感受过下高架360°的弯，我80速下去的太爽了那感觉，一般的车我都怕轮胎翘了咯哈哈? 【动力表现】 Eco是两千公里磨合，标准日常用就已经是超标了，运动模式坐过的人都感觉推背感十足，超车是分分钟的事，选过大马路打开运动模式，仪表盘会变成红眼模式提醒你小心驾驶，总之一个字，爽！ 【空间表现】 我175，驾驶位绝对轻松舒服，而且我为了开出suv的视野都是调到最高的，副驾驶更是女王座驾我女朋友躺下就睡着，我坐副驾腿都够不着最前面，后排的话我是距离我的驾驶位两拳，头顶一拳半这样，不好的就是前排不能完全放平，最多大概150°这样所以午休还是不够好，而且前排的座椅是偏运动的有点硬，包裹感很强能睡着靠的是那份安全感?，后排完全放倒也不是纯平的有点点凸起，不能做平整的床车了，然后就是我午休的时候试过在车上，前几天广州不是又接近30度高温了吗？虽然开了空调不热，但是天幕和前档射进来的光是真能把你晒黑的?，还是买遮阳伞跟遮阳天幕备着吧，话说现在宋L的车品现在是真贵啊，商家赶紧生产上把价格打低啊。 【续航】 续航走高速最多480公里，跑到趴窝哈，气温在15-20°春节期间，我开去湖南气温0°这样就只能堪堪400了，都是满载哈，而且行李塞的满满了，说到这个，过年装太多电动后备箱盖不下去直接摁下去的，平时在市区开的话580-600不是问题，我一个人通勤上下班太舒服了，真就开到懒得充电的心态了 【建议心声之不满】 1.电机护板异响，专门跑了两趟4s店了，都是因为那个护板太难装了，师傅说肯定会有异响后面给我搞松了也放了垫片，目前没响过 2.下载了Mv在u盘上结果用什么都打不开好气好不容易用相册打开了，结果要放一首点一首比油车还笨了，默认是酷狗音乐，我都设置了网易云结果总是播放失败，一按方向盘的下一首直接就开始放酷狗的了，关键我没vip就老是试听一下就没了，最后我想看mv的歌，还得去打开k歌软件来放原唱?，赶紧更新系统，再智能化一点搞多点软件，包括高德地图没有红绿灯倒计时，没有语音包更换等等 3.车漆真的薄啊，很容易花，还好我的是白色，开车上回龙山的时候，下雪把竹子压扁了我开上去就被拉了十几条痕，买了划痕蜡抛了一些还是有一点点 4.总之希望厂家能提供更好的更新，包括自动泊车，千里眼，智驾也有就更好了?,2024-02-26,广州
半步坎坷半称心,"【购车经历】
从选中到交定金7天，2024年1月8日交定，等车近1个月，2月3日提车办买车手续，春节前保险和临牌领下来，至今手续还没到齐，正式车牌没选号。

【驾驶感受】
有车主提到的通病低速共振，但是开窗后就基本消失了。
四驱版提速等红灯起步基本秒杀路上99％车型。
悬挂底盘紧凑，行驶支撑性优秀，国道省道和高速都跑过，全部无大的驾驶问题。
轮胎扁平比导致高速过减速带和坑洼路面的胎噪较大，再就是轮胎寿命有待观察。

【空间表现】
相较于长轴轿车来说，头部空间大；但无法跟常规SUV的上下方向空间比较。后排地台纯平，脚部空间充足，头部空间良好；后备箱的上下方向空间略显不足；后备箱盖的打开高度需要优化，容易撞到头。我180。

【续航】
冬季开空调和座椅加热常规7折，高速120km以上6折。

【最不满意】
低速行驶的共振，耳膜难受；高速行驶轮胎的滤震反馈；车辆手续至今未到，未办理正式牌照，目前等了已经1个多月。",2024-03-07,潍坊
神秘小红花9x9,"【购车经历】
之前有续航焦虑，想买油车。看了a4，迈腾，亚洲龙，雅阁，结果发现现在除了混动还有个混插。混插又能油又能电，想着市区平常用电高速跑油也挺好，且家里还能装充电桩，就奔着混插去了。混插自然就绕不开比亚迪，当时看了汉感觉不错，一问价格，结果纯电的比混插还贵，就问为什么。销售说其实混插还是用的电，混插最终还要进化为纯电，纯电是一个趋势，混插只是一个缓冲，就是给我们续航焦虑的人准备的，买了混插早晚还是用纯电，用混插还要油车的保养，零件多，结构复杂。想着确实一年跑不了几次高速，就买电车，当时考虑007和汉，但是看到了宋l，这个价格和外观配置简直了，回家对比了001，007，宋l，汉。想着电车还是国产，最后定了662高配。四驱的话本人不是很追求速度啥的，肯定要高续航的
【亮点配置】
这车我先说我认为的优点。首先比亚迪这个牌子，售后有保障，专业电车品牌，这是最优先考虑的。不然倒闭了修都没地方修，比亚迪纯电技术在世界都是前列。虽然铁锂电池，但整车都是自己的，不存在中间商和技术问题。
之后就是这个车，外型内饰看个人审美，但是这车是电池车身一体化，后排没有凸起地台，我妈就非常喜欢，真正的五座车，后备箱不小，而且我这个车型还有220伏插座，就觉得这个车一毛钱一公里，没多少长途需求，外型好看还有尾翼，爸妈也喜欢，底盘高，续航看测评也挺好。
驾驶方面我车型开的不多，就家里的16款逍客，反正我觉得比之前的操纵感好，具体说不出来。

【最不满意】
这车智驾就是车道和定速，高速能用，我们这三线城市我真不敢开，且低速自动刹停太灵敏。反正我个人没智驾需求，对我还好。

最后这车不支持carplay，可以下网易云手机版，车载软件有的不能删。其他没啥毛病",2024-02-28,蚌埠
Bo27,【购车经历】 很早就关注了宋L这款车型，由于当时预售价过高都准备考虑放弃，最终20万以内的售价回到了预算之内，所以上市就下定，我购买的是550卓越，这个配置等了一个月才到车，现在已使用整一个月。 【驾驶感受】 宋L开起来非常好上手，刚开始感觉车有点宽，习惯之后就觉得转向非常精准，一开始担心550卓越的动力不够，实际开下来比油车动力强很多，底盘很紧致，隔音也非常好。 【内饰】 内饰设计的也非常舒适，坐垫很长很宽，上下车按键开锁非常方便，我选择的是白色沙滩，虽然有些不耐脏，但是耐看，晚上氛围灯非常漂亮，冬季前排后排座椅加热很实用，孩子一上车就要先热屁股。车内空间足够用，我身高184体重90公斤都完全足够。 【续航】 太原平均温度零度，行驶整一个月1500公里，都是在市区跑，每天都会跑快速路，截止目前平均能耗17度电。能在冬季这个续航还算比较满意。最冷的-10多度那一周六折左右的续航，零度左右七折左右的续航。没跑过高速，所以高速续航没测过。 【动力表现】 试驾过662动力确实更好一点，但是预算有限，550表现也不差日常使用，完全没有问题。ECO模式在市区轻轻的踩电门，很快就能达到60公里，超车也是随心所欲，比以前的油车快不少，感觉很跟脚，所以550卓越动力是足够的，不能光看键盘数据还是需要实际体验。,2024-02-20,太原
不服就干01,车价正面来说一毛没便宜，但是做了建行的贷款，4s店贴息贴到了车价上，所以开票价是218800，每个月利息2717.5(没记错的话是这数字)还满一年可以提前付清(等于自己一年内多了13万流动资金)送的东西除了脚垫贴膜小家电外，稍微值点钱的就八次保养和一套电机电池护板。保险6621平安的，外加了一个三年的新能源全险1880，上牌费500，最终上路实际总价应该在239000左右。 再说下车子，黑外白内，白色内饰好看是好看，不耐脏是真不耐脏，希望我家的好大儿能稍微收敛一点。动力完全够用，续航有待检验，舒适度还是可以的，开起来也不虚，NFC蛮实用的，座椅加热座椅通风前排按摩也是蛮顶的，第一次开电车，希望少出点毛病。 另外这个车买的也挺秃然的，带着老婆孩子试驾完了直接就付钱了，正好有现车，直接就提了。最后反应过来应该是两个原因，一个是贷款方案，一个是有现车。 总结一下就是车还不错，就是销售有时候太忙会顾不上我，在店里一个人坐那等着的时间比较长，这个体验稍微有点不好，其他的还算满意。,2024-01-19,苏州
莱恩蒽,"颜值即是正义！尤其是车屁股！

【乘坐体验】
运动车装 13 得外观下，其实很适合家用买菜，放倒后排座椅后空间挺大。驾驶室和后排空间也比轿车大多了，不过还是比宋 plusev 这种中大型 suv 要小点的。

【提车价格】
车价没有优惠，跑了全城 n 家 4s 店要赠品，最后选了最有诚意的一家定的。最重要的是电池电机护板，自己买要 2000 多。然后还送了封釉（听说伤漆面不打算做了），底盘装甲，2k 的补漆券和工时券，4 次保养，还送了凤凰自行车，海蓝之谜礼盒（可以折 500 返现）等。



【销售态度】
这个看人，有个销售非得骗我说这车不用电池护板，还叫同事来给我演戏说刚培训没有护板的，这种没诚意的销售直接 pass，找最有诚意的。后来那个销售都是主动提送什么东西，提了车也一直提醒我记得去领赠品，非常好的小哥。



【驾驶感受】
菜鸡司机觉得驾驶体验挺好的，一些基础智能辅助驾驶也够用。

【最不满意】
不能设置 qq 音乐作为默认播放器，不能开哨兵


【最满意】
说实话 20w 上下，有这些堆料的配置和内饰，还有拉风的外观和尾翼，也找不到其他更喜欢的车子了（有些小品牌也怕哪天倒了，极氪贵不少而且售后极度差），至于加速，我也不咋上高速，等红灯一般我还故意慢点起步防御驾驶，所以感觉也够用了，再不行还可以开运动模式强加速。整体是台适合家用的车，还是推荐的。",2024-02-06,苏州
我就是我cvb,十二月刚发布就定了，一直等到十号才提到车，完美错过西安地补的痛失5k，本来想提黑外棕内，销售说现车有白外白内，因着急用车所以提了，白色外观不是那种纯白色有点儿偏灰，当然也是非常好看啦，外观是真的帅。 车机方面：D link 5.0系统，比亚迪最新的操作系统还是很流畅的，还有比亚迪的车机就好似平板电脑，应用商店软件非常丰富，比其他品牌车娱乐性能要强很多，还有很多功能正在摸索，点个关注后续分享 底盘方面:底盘质感还是很不错，过井盖和减速带没有多余的弹跳，很紧致不拖沓，因为运动型车所以悬挂偏硬一点 加速性能:快速路上打开sport模式，试了一把加速性能，电门响应很快，青菜一点就蹿出去了，加速体感没有三点几秒的车那么猛，对我来说非常够用了，平常在市区开都换成eco 模式，其他模式电门响应速度太快了，不太适 应，eco模式刚刚好很轻柔 能耗方面：充满电从4s店出来的，新车表显15公里，现在表显82公里，实际开了67公里（都是市区通行）现在表显还剩余554公里，这样算下来表显掉了108公里，在平均2度的天气，续航打六三折还可以,2024-01-16,西安
赵55120,"【购车经历】
早在23年7月份就定了汉dmi，等到宋L价格出来时就直接买了宋L，除了白色内饰不讨好，感觉比较容易脏之外，家人对这辆车是非常满意。

【提车价格】
裸车22.98w，保险5760，上牌费1000，贷款金融费3000。其他的不用交什么钱。

【驾驶感受】
本人之前只开过油车，这台车给我的驾驶感觉非常的好，这是绝对的好评。
在避震方面，如果说20款帕萨特是很清晰的硬，那这台车的避震是相当于在路面铺一层过滤棉。避震表现非常好，支撑力也很强。

【续航】
耗电表现中规中矩，但对我来说已经足够了，没有续航焦虑。不过不得不提的是，在一些快速充电站，有些时候充电很慢，快的时候20分钟又充了20多度电，慢的时候需要40多分钟（可能是不同充电桩的原因，不一定是车的原因）。这种在紧急情况下的体验肯定会大打折扣。

【销售态度】
销售态度比较好，沟通也比较顺畅。


【最不满意】
让我感到不爽的是，在提车当天才跟我说有官方8年21w超长质保，购买要4860元，而且让我在很短的时间内做出选择。特别是对接能人员竟然有意诱导我购买😡，然后就稀里糊涂的买了，过一段时间生效时，我看了合同，对接人员当天的口头表述与合同解释不一致。就马上联系退款，还好态度比较积极，这事就算这么过去了。

总结
用车体验很好，购买很值，家人父母也比较满意，回头率较高。但在辅助驾驶及智能化方面，需要进一步优化。",2024-02-06,百色
粤BZ1988,"人生第一台车，代步工具，买不到自己心仪的日后保证后悔，想来想去还是订了宋L，提车那一刻，宣告着以后就告别游戏，彻底回归生活了，

【车辆信息】
宋L 662卓越 白外白内
 【情况介绍】
春节前提车，到现在3600km，90％的高速路，满电提车，充电花费总共900块，算上现在的剩余续航，大概每公里2毛3，对比油车省不了多少（尤其是轩逸雷凌卡罗拉），主要都是在服务区充的，1.5-1.8元一度，实际还要算上10％的充电损耗，这是车里自带的能耗表提现不出来的
【真实感受】
对比坐过的油车（最高级的应该是迈腾帕萨特雅阁那个级别）车内驾乘体验的话，电车的舒适性确实比油车明显，坐过的都说舒适，不管是空间、静谧性、音响效果等等，对比油车后排地台那个隆起，感觉就是有点反人类，坐后排两个人无关紧要，坐三个人的时候就难受了（不过坐满三人一年也没几次）
如果载着年轻人，那么加速猛踩，体验极致动力，，如果载着长辈，那么就平稳变速，不至于下车后头晕脑胀
车机方面，上了几台油车，基本都还用手机导航、蓝牙放音乐，蓝牙效果不好时音乐还断断续续的，略显尴尬?电车完全就是个平板摆在那，体验好很多
静谧性，对比油车就是少了主要就是发动机的震动、噪音，油车那个高速有点受不了，低速还行
加速、车机、影像、座椅配置等等都很好用，新手去了趟贵州的山路，回来车技飙升，小路和复杂场地停车全靠360影像，不然会车停车都要换司机
还有就是驾驶辅助，春节返程1100公里开了42个小时，好几次差点追尾、撞到护栏，都是靠车道偏离预警和主动刹车
总共3次在城区和乡间道路遇到电驴、小孩横穿马路，2次没反应过来都是靠车子主动刹停，那刹车真的吓人，突然就停了，车上瓶瓶罐罐都往前摔，另一次是看到了但刹车反应不过来，也是靠主动刹车
【槽点反馈】
出去旅游最开心的时候不是站到景区观景台一览众山小，而是在人海茫茫之中找到现场唯一空的一把充电枪，插入电枪的那一瞬间，比什么登顶珠穆朗玛峰还要快乐???同样的，最烦躁的永远是导航到充电站一看排队人大把，排也不是不排也不是?
①速度50-70迈左右偶发共振，全车都在振动，振到耳膜里面去，跟全程踩着振动标线一样，得打开窗户一会才能消除，载着乘客真的尴尬，坑爹
②默认车机音乐不能设置为QQ音乐，尾翼总是自动关闭，导致每次上车都要手动调一下，别的问题暂时没发现，哦对了，降价是必然，希望不要来得太快

【最不满意】
广东地区，七月肉眼可见的晒，天幕肯定顶不住，只能后期加装遮阳帘了

【购车经历】
23年4月开始看车，从开始的思域、速腾到雅阁、帕萨特，再到后来接触国产车，感觉合资已经不会考虑了，5月看中深蓝03、比亚迪汉等插混，后面一直在观望学习中，，直到不经意刷到宋L效果图，好家伙很对眼，一见钟情不为过，后面就等发布会，起步+3万那会已经不抱期待了，实际出来后还能接受，一到周末就去4S店看，极氪、深蓝、王朝、海洋都去过，兜兜转转还是宋L合意",2024-02-03,广州
babystop,"提车20天了，再次补充下用车感受。
外观：外观不用说了，千金难买我喜欢。银灰色低调、沉稳、帅气。

配置：配置方面家用非常合适，也符合我的用车方式，之前考虑过特斯拉，但特斯拉的极简操作让我无法接受…用起来别扭。

动力：后驱市内驾驶足够，平时每周充电一次，可能由于车身比较重，加速不够快，推背感不是很强。

内饰：可供选择的不多，我个人喜欢白色，老婆喜欢橙色，尊重她的决定。考虑到白色不经脏，就定了橙色，还加装了EC天幕。

舒适性：前排还好，后排还是略颠，不知道是不是因为没有云辇-C的原因，可能四驱的舒适性会更好。

操控：这个没啥好说的，操控方面没问题。

空间：主副驾都没问题，后排空间也可以，因为是猎装，所以后排头顶比较低，前备箱、后备箱日常使用完全够用。

智能化：L2级别的驾驶辅助，差不多够了，让机器帮我开车还是觉得不踏实，毕竟我能控制我的车，但我控制不了别人…还是自己来吧，体验开车乐趣。

续航：因为住在华中地区，电量打折不明显，还是比较耐用的，开的比较少，耗电也不算太多。夏季还不知道，冬季天气0度左右都是19到21的电耗，可能是因为开空调、座椅加热、方向盘加热造成的。

驾驶感受：综合考虑起来还是满不错的，我很喜欢！

为了避免被说成是4S店销售，补两张提车合影。",2024-01-29,
