publish,标题,图片,名称,名称1,评分,评分2,评分3,评分4,评分5,评分6,评分7,评分8,评分9,评分10,评分11,评分12,评分13,评分14,评分15,评分16,评分17,标题18,信息,信息_链接,信息19,信息20,信息21,信息22,信息23,信息24,信息25,信息26,信息27,标题28,purpose,purpose29,标题30,jia_text,信息31,dw_22,dw_2232,dw_23,dw_2333,dw_1,dw_2,dw_134,dw_235,dw_5,dw_536,dw_11,dw_1137,dw_3,dw_338,dw_4,dw_6,dw_639,dw_8,dw_840,dw_7,dw_741,openall
"
    发表于  2023-07    

      
        
    
    
",车的内饰给我留下了很深的印象，看起来很精致，座椅的包裹性很好，长时间的驾驶也不会很累。,https://image1.xcarimg.com/attachments/my/1/94/89/238_120.jpg,xuser1958923,三星会员,4.13,外观,4,内饰,4,续航,4,空间,4,舒适,4,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67874/,2023款ID.4 X纯净智享版,购入时间,2023/5/1,购车地点, [浙江省],裸车价格,24.1万  (厂商指导价 19.59万),续航里程,440km,购入用途,上班,购物,爱车简评,座椅的包裹性和支撑力度很好，整体非常的前卫时尚，潮流人士必选。,爱车评价,[最满意],这款车别的不说，内饰设计给我留下了深刻的印象。座椅的包裹性和支撑力度很好，我跑长途的时候也不会感到疲劳。这款车的车内的噪音隔绝效果出色，有的车，在高速路上会呼呼的声音，路况不好的时候车内有时候也会出现噪音，这辆车我开了一个多月了，也没有发现这种情况，噪音隔绝这方面，这辆车做的也是超级棒。,[不满意],这车也是有点缺陷的，让我不太满意的是后排乘坐空间相对较小，虽然说它是一个SUV但是我也不知道为啥，总感觉后排空间有点小，我做在后排感觉腿都有点伸不开，有时候我带着同事跑长途，我同事需要长时间的坐在后排，和我说后排有点小，感到不够宽敞。,[外观],[内饰],吸晴前卫的外观， ID.4X的外观设计前卫时尚，车水滴状大灯设计感比较强，日行灯融入其中，辨识度比较高。车身侧面的设计亮点在于隐藏式门把手，提升外观设计的科技感。轮毂造型设计独特，辨识度比较高。贯穿式腰线在C柱之后有一个上扬的角度，营造出比较强烈的视觉效果。,座椅的包裹性和支撑力度很好，我跑长途的时候也不会感到疲劳。,[续航],长续航版本我以为它的续航会比普通版本的续航好很多，但是其实不少这样的，续航里程和普通的差不太多，但是其实大众系列的新能源汽车的电池已经很不错了，完全可以满足正常的用车需求，也不需要频繁的充电。,[充电],电池已经很不错了，完全可以满足正常的用车需求，也不需要频繁的充电。,[空间],后排空间相对较小，体型大一点的坐在后排感觉还是有点伸展不开来的感觉，不是特别的舒服。,[舒适],[动力],开着开着我就在也不想碰燃油车了，电动动力系统的车开起来是真舒服，油门很给力，给予了我强劲的加速和灵敏的响应，让每一次起步都充满激情。这车在低速行驶时非常安静，开起来真的是很安静。,[性价比],平时这辆车的使用频率很高，大部分是在市区行驶，有时候会堵车，电车就帮我省了不少费用，而且买新能源车免购置税，我觉得性价比很高。,[操控],中控台布局也是很直观，操作方便。,展开全部
"
    发表于  2023-07    

      
        
    
    
",前排支持无钥匙进入，多功能方向盘带加热功能，主副驾驶座椅支持电动调节和加热，这些配置感觉挺舒适的。12英寸的中控屏看起来也很大气，带蓝牙、手机互联和语音识别控制系统，用起来感受也不错。,https://image1.xcarimg.com/attachments/my/1/94/89/236_120.jpg,xuser1958923,三星会员,4.13,外观,4,内饰,4,续航,4,空间,4,舒适,4,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67874/,2023款ID.4 X纯净智享版,购入时间,2023/5/1,购车地点, [广东省],裸车价格,19.59万  (厂商指导价 19.59万),续航里程,500km,购入用途,上班,购物,爱车简评,外观设计得挺不错的，整个外观给人感觉动感时尚，特别是车头的设计我觉得看起来比较年轻。,爱车评价,[最满意],ID.4X的外观设计得挺不错的，整个外观给人感觉动感时尚，特别是车头的设计我觉得看起来比较年轻。家族风格的中网造型简约大方，中间的大众车标看起来也格外的精致。,[不满意],它各方面做得还算可以，没有什么特别明显的不足。但是也有一点点小小的瑕疵。比如它的座椅坐垫我感觉就设计得稍微有一点点偏硬，长时间乘坐下来难免会容易产生一些疲劳感。如果是短途代步，比如开上个一两个小时倒是完全没有什么不适感。最怕一连跑四五个小时的高速，这个时候在下高速或者到达服务区的时候，屁股就会感觉特别的累。,[外观],[内饰],车灯酷似一双有神的眼睛，打开以后寒气逼人。保险杆下面的网格状设计看上去也非常的通透，具有不错的运动属性。机盖上面的造型立体饱满，肌肉感很强。从侧面看上去，它的车身线条很立体饱满，非常的稳重大气。轮毂的纹路设计得很不错，至少给我觉得还挺高级的。尾部的设计是它全车外观的一大亮点，看上去极为尊贵，尾灯面积超大，贯穿整个尾门，看起来非常的有气势。,它的内饰设计得也很年轻，第一眼看到这个内饰的时候就喜欢上了它，不像个别车型设计偏老气。它给我的最大感觉就是前卫和时尚，整个内饰具有浓重的未来感。,[续航],续航方面没有让我失望，它还是比较省电的，差不多每百公里电耗在16.2千瓦时的样子。充满电以后跑个四百公里是没有问题的。,[充电],支持快充功能，一晚肯定是能充满，不影响第二天使用。,[空间],ID.4X的内部空间看起来挺大的，实际乘坐感受也比较好。得益于它一米八多的宽度，使得内部座椅的横向距离也比较大，乘坐起来还算挺惬意的。它在车门上设计的储物格看起来也非常大，平时可以放一瓶大瓶的饮料，偶尔用来放一些随身物品或者杂物也很轻松。后排座椅的腿部空间十分优秀，膝盖完全不会顶到前排靠背，我测量了一下距离前排靠背还有两拳多的空余，非常的惬意。后备厢的容积不错，从484升一直可以扩展到1546升。,[舒适],[动力],日常开着它在道路上行驶我感觉还挺好开的，方向盘转动起来非常的顺手，打方向也不费力。指向方面也没有问题，开起来有一种随心而动的感觉。电机也具有很强的驱动力，并且加速踏板调校得非常好用，使用起来得到的加速反馈很线性。,[性价比],它的价格其实并不高，各种优惠活动还是挺多的。我提车的时候就正好赶上了当时店里面在做活动，不仅价格方面有打折，而且还送了我一堆赠品。上汽大众这个厂商的口碑也挺不错的，造车的质量很好，保值率也是数一数二的，未来如果考虑换车的话也能比其他车型多卖一点钱。,[操控],车里很多配置都是全系标配，比如车道偏离预警系统、主动刹车、前后驻车雷达、全速自适应巡航等等。,展开全部
"
    发表于  2023-07    

      
        
    
    
",在实际行驶过程中，确实听不到噪音，完全不影响听歌。整体还是非常不错的。,https://image1.xcarimg.com/attachments/my/1/94/89/230_120.jpg,xuser1958923,三星会员,4.13,外观,4,内饰,4,续航,4,空间,4,舒适,4,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67878/,2023款ID.4 X劲能四驱版,购入时间,2023/5/1,购车地点, [广东省],裸车价格,24.15万  (厂商指导价 29.29万),续航里程,530km,爱车简评,,,爱车简评,轮毂造型设计独特，辨识度比较高。贯穿式腰线在C柱之后有一个上扬的角度，营造出比较强烈的视觉效果。整体非常的前卫时尚，潮流必选。,爱车评价,[最满意],这个月才买的车子，公里数也不多，但是不用再为高油价而烦恼，是真的很香，这也是目前最满意的地方，省钱。,[不满意],不太满意车子没有备胎，有时候会跑短途的高速，怕爆胎，没备胎还是不太安全。,[外观],[内饰],外观挺年轻的，颜值也高，最喜欢车子的大灯，犀利有神，前后都带贯穿发光灯带和发光标志。,车内还会蛮简单的，车内的所有按键也都是触控的，左右包裹性好，不过仪表盘的尺寸太小了，现在还有点不习惯。,[续航],500多公里的续航里程，对于我家用上下班，接送小孩子来说是完全够用的。,[充电],基本充一次电上下班跑7-8天还是没有问题的。,[空间],车子的轴距挺长的，后排的空间也宽敞，关键还没有特别高的后排凸起，车内也随处可见储物的地方。,[舒适],[动力],电车提速给我的第一感觉，那就是快，反应迅速，没有迟钝，而且提速又快，轻踩电门，也可以感受到推背感。,[性价比],车内还会蛮简单的，车内的所有按键也都是触控的，左右包裹性好，不过仪表盘的尺寸太小了，现在还有点不习惯。,[操控],首先是起步响应没有那么快速，然后是智能化总是比的大脑反应要先行一步，但整体上路还是非常不错的，方向盘很稳，而且虽然车很大，但是转弯半径却不太大。,展开全部
"
    发表于  2023-07    

      
        
    
    
",整体座椅都是皮质，非常扎实，方向盘非常轻打方向时候轻松，手感非常软，座椅也是皮质的，相当舒服。,https://image1.xcarimg.com/attachments/my/1/94/89/216_120.jpg,xuser1958921,三星会员,4,外观,4,内饰,4,续航,4,空间,4,舒适,4,动力,4,操控,4,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m67878/,2023款ID.4 X劲能四驱版,购入时间,2023/6/1,购车地点, [湖南省],裸车价格,25.7万  (厂商指导价 29.29万),续航里程,600km,购入用途,上班,购物,爱车简评,方向盘特别轻，打方向轻松。基本都是点刹，没踩过急刹，刹车反应快基本点刹就马刹住。跑城市高速度，动力没的说，隔音效果在电车里面算处理特别好。,爱车评价,[最满意],我们两个人觉得这个车最满意的还是这个外观，属于是颜值党的^_^简约紧凑的外形在加上青绿色的颜色非常好看，内饰非常干净富有科技感，一说到科技感就不得不说这个车机了，中控上方轻轻一划车窗就打开了，车机的反应速度也非常。,[不满意],其实这个车最想吐槽的就是这个仪表盘了，真的比我另外一部雅迪电动车还要小啊，除了给你显示个实数完全是没啥用，小的可怜完全是不能理解电动车仪表盘要设计这么小。前面挡风玻璃下面不知道为什么有一个地方异响，自己根本就找不出，然后下个休息日准备把车开去4S店售后看一看吧，其余的就没啥问题了。,[充电],[内饰],新能源车就插根充电器给它自己充就可以了，一个月充电最多几十块钱好嘛,毕竟台25万左右车，整体座椅都是皮质，非常扎实，方向盘非常轻打方向时候轻松，手感非常软，座椅也是皮质，新车味道还是特别重，我弄点香氛放车里感觉味道能接受。,[续航],车没买几天，车非常兴奋，到处瞎逛感觉买菜都想车过去，像个大玩具，言归正传，实测直用D档话周电就干没，可能空调情况还没一周，用B档可以一周多，跑高速话可以干到12kwh/100km，具体每天电耗没去统计。,[充电],新能源车就插根充电器给它自己充就可以了，一个月充电最多几十块钱好嘛,[空间],看起来这台非常紧凑非常，其实里面空间还是比较宽敞，而且后排可以百分百放倒，放长假话可以去自驾游，铺点东西直接可以睡车里面，想想还是挺激动，后备箱空间是大吧，稍微大点物件放进去就点勉强。,[舒适],[动力],动力是随踩随给非常充实，60-70码速度就来。,[性价比],看是拿来干嘛吧，家用话还是非常不错，比较经济，外观也不错适合小姐姐。,[操控],基础配置都一应俱全列如：电动座椅、一键升窗、辅助驾驶和前后雷达、电尾门等基本上还是生活中用的到的配置，空调开AC后特别舒服不像是其他新能源说的空调制冷不了，然后最酷的还是LOGO大灯，晚上在路上走回头率很高。,展开全部
"
    发表于  2023-06    

      
        
    
    
",车子的内部空间还是挺大的，宽宽敞敞的，不会觉得拥挤，无论是驾驶座还是二排空间，坐上去都挺舒服的。孩子坐在车上可以随便转动身体，大人也可以跷二郎腿，,https://image1.xcarimg.com/attachments/my/1/94/84/242_120.jpg,xuser1958424,三星会员,4.88,外观,5,内饰,5,续航,4,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67877/,2023款ID.4 X极智长续航版,购入时间,2023/5/1,购车地点,巴中御驰汽车销售服务有限公司 [四川省],裸车价格,24万  (厂商指导价 25.79万),续航里程,510km,爱车简评,,,爱车简评,外观：车子的外观是选择它的主要原因，因为是颜值控，所以对外观比较在意，后来也更加喜欢的它的内在了，车子车身线条流畅，车头设计独特，有点呆萌的感觉，车灯像一双大眼睛，比较犀利，晚上车灯一亮，很好看。,爱车评价,[最满意],刚开始我不太信任电车，我觉得电车各个方面都不如燃油车做的好，再开了一段时间后，我发现，我之前就是没开过电车不懂得它的好，这辆车我开了一段时间，我最满意的点是这辆车的驾驶体验。它的驾驶非常安静，没有了传统汽车的那种噪音和震动，它的降噪效果真的很好，开着它很舒服，不是说它比较安静，它的动力就不太好了，相反它的加速响应迅捷，油门很灵敏，一踩就可以感觉到推背感，我开着它在城市道路上轻松穿梭，这些点我都很满意。,[不满意],这么长时间的驾驶，我也是发现了一个小问题，这辆车的自重还是挺高的，我发现在急转弯时，车身的侧倾感有点明显。有时候后排东西能乱跑，这个有点不太满意，但是这种急转弯也很少，很少遇到这种情况，这情况也不是很严重，其实这也还好，这问题应该是SUV的通病。,[外观],[内饰],这辆车的前脸的设计的非常犀利，车身看起来也很流畅，整车显得更加动感。尾部的设计也挺犀利的，尾灯是连接起来的，到了晚上氛围很好。,这款车的内饰，我感觉很年轻，青春气息，应该大家都会喜欢这款车的内饰，新车买回来的时候车内空气也很好，闻不到新车内饰气味。,[续航],续航方面这车很给力，和燃油车相比续航可能差点，但是这车充电也是非常的快，我基本上是一星期充一次电，完全够我使用了。,[充电],现在都有公共充电桩，比较方便，就是冬天的电池肯定没有夏天耐用，充电时间也还好，充一晚上就行，不耽误第二天使用。,[空间],这款车的空间还可以能放不少东西，虽然说它是一款紧凑型SUV，但是他也是SUV相对于轿车来说这个车的空间还是大了很多的。它的后排空间非常宽敞，能够放下三名成人，而且腿部空间也还可以，能伸展开来。后备厢的面积也不小，可以轻松放下大件行李和购物物品。这让我们全家人出行更加舒适和便捷。,[舒适],[动力],驾驶感受方面我很满意，驾驶起来很安静平稳，方向盘用起来也是非常的顺手，打方向也不费力，动力也不错，就是速度快了过弯的时候侧倾力稍微有点儿大了,[性价比],车子的整体性价比还是不错的，虽然买的时候没啥优惠，但是没有购置税，以后还不限行，长远来看，还是挺好的。而且还送的有保养，挺实惠的，遇到任何问题。售后都会及时解答。,[操控],车子的驾驶感受挺不错的，方向盘灵活，很好操控，开了这几个月，越开越习惯，换挡跟之前开的车也不一样，挺上档次的，也挺方便的，方向盘是多功能的，科技感十足。车子的起步比较快，没有顿挫感，即使满员的情况下加速也挺快的，刹车也十分灵敏，还是挺有安全感的。拐弯或者在盘旋路上行驶，车子的稳定性也很好，没有轻飘飘的感觉。,展开全部
"
    发表于  2023-06    

      
        
    
    
",动力上起步轻快动力介入及时，平时驾车时踩下加速踏板便可以感受到动力的提升，深踩加速踏板后背会有被车推着的感受，很舒服。,https://image1.xcarimg.com/attachments/my/1/94/84/239_120.jpg,xuser1958423,三星会员,4.88,外观,4,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67877/,2023款ID.4 X极智长续航版,购入时间,2023/5/1,购车地点, [青海省],裸车价格,24万  (厂商指导价 25.79万),续航里程,510km,爱车简评,,,爱车简评,使用方面对于担负老婆专职司机这个责任，ID.4X在动力、配置、空间上都可以满足我们的需求。,爱车评价,[最满意],今年是我结婚的第三年也是对我意义非凡的一年，年初的时候老婆检查出怀孕了，对我而言内心无法言表的喜悦，因为之前老婆都是骑电动车上下班为此专门召开了家庭会议，一致决定在老婆怀孕期间让我担任她的专职司机，所以再迎接新生命到来的同时，家里又新添一台出行代步好帮手ID.4X。经过这几个月的驾驶磨合ID.4X在操控上最让我满意，ID.4X的座椅对身体有着不错的包裹性，同时中央扶手对手臂可以起到支撑的作用带来了不错的驾控感，电动助力的方向盘低速时轻盈高速时沉稳，配置了HUD抬头显示功能，通过前挡就可以查看时速和导航信息。,[不满意],在满载加速较快的情况下后排乘客会感觉头晕，前排乘客相对好一些，至今也不知道这是什么原因引起的。还有车辆在怠速或者低速行驶的时候电机噪音明显，以及外出跑高速时坐在车内可以明显听到窗外呼呼的风噪声。其次就是液晶仪表和中控屏幕长时间运行屏幕发热有些严重，担心时间久了会不会损坏。,[外观],[内饰],外观上浅蓝色的车身就像静谧的蓝天充满了希望，两侧大灯由中间的灯带连接在了一起，夜间开启后灯光是贯穿式的效果，下方前保险杠有些凸起轮廓感分明，让整体神韵看着多了些霸气，侧方线条圆润门把手采用了半隐藏式的设计。夜间靠近车辆时会自动解锁同时开启灯光带有渐变的效果比较有仪式感。,悬浮式的液晶仪表搭配上悬浮式的中控屏幕，加上蓝黑相间配色让内饰整体具有年轻的气息和科技范，中央扶手箱带有手机无线供电功能，电动座椅带有按摩功能长途驾车可以减少一些疲劳感，还有些需要提升地方车辆在怠速或者低速行驶的时候电机噪音明显，以及外出跑高速时坐在车内可以明显听到窗外呼呼的风噪声。,[续航],续航上ID.4X是用的宁德时代的三元锂电池官方续航里程607km，结合着我这几个月的使用感受电池充满到100%后续航在530km左右，在80km/s状态下最省电，跑高速120km/s比较费电。,[充电],因为刚提车不久没怎么开过空调对于夏季续航后续我会进行补充，充电方面直流快充需要一个半小时，交流的话我一般都是冲一夜第二天早上刚好充满。,[空间],身为专职司机的我固定的坐在主驾驶位置，就空间而言腿部和脚踏板之间距离刚好上半身空间宽敞，对于怀孕4个月的老婆坐在副驾驶活动身体也不受限，后排有时会载家人朋友一起出行，多数是用来给老婆放包包和衣服，对于我们这个准三口之家来说ID.4X的空间够用了。,[舒适],[动力],ID.4X的座椅对身体有着不错的包裹性，同时中央扶手对手臂可以起到支撑的作用带来了不错的驾控感，电动助力的方向盘低速时轻盈高速时沉稳，配置了HUD抬头显示功能，通过前挡就可以查看时速和导航信息。,[性价比],购车方面当时选择新能源主要是看重它的使用经济性，免去了购置税和后续燃油费用我算一下按照我的出行所需一年大概可以省下5000元左右。售后服务前几天路过4S店因为车快没电了就去充了会电顺便休息会，工作人员表现的还是挺热情的。,[操控],动力上起步轻快动力介入及时，平时驾车时踩下加速踏板便可以感受到动力的提升，深踩加速踏板后背会有被车推着的感受。,展开全部
"
    发表于  2023-06    

      
        
    
    
",乘坐比较舒适。,https://image1.xcarimg.com/attachments/my/1/94/84/214_120.jpg,xuser1958421,三星会员,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,5,动力,5,操控,5,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m67876/,2023款ID.4 X智享长续航版,购入时间,2023/5/1,购车地点, [吉林省],裸车价格,20万  (厂商指导价 25.54万),续航里程,480km,爱车简评,,,爱车简评,内饰就相对的活泼很多，风格有春天般的恣意，设计和布局非常的简练，中控部分非常干净利落。座椅芽黄色的掐边，更是点睛之笔，让内饰充满生机。,爱车评价,[最满意],最满意的当然是我这款车它的操控手感了，车身小巧所以操控起来就感觉特别的灵活，而且它内置的一些功能感觉都挺实用的，日常在用车的时候感觉都是很轻松的。,[不满意],最不满意它的地方是它的内饰，内饰看起来的视觉效果是相对比较一般的。,[外观],[内饰],外观很容易让人接受，可能感觉不那么激进，这恰恰是我看上它的原因，审美是需要递进式的演化的，太另类让周围群体不容易接受，就失去了稳重感。这车的外观设计充满时尚因子，在整体轮廓上还是以方正沉稳为住。,内饰的设计效果是不怎么样的，呈现出来的东西自然也要略差一些。在我眼里我这款车它就是售价低但配置齐全，包括它在性能这方面的表现上也挺突出的，反正我对它是感到相当满意的。,[续航],续航能力绝对第一梯队，而且实际续航能力很瓷实，完全可以和燃油车相媲美。只是充电耗时的问题，仍值得进一步优化提升。,[充电],对充电的体验还是不够好，实际上为保护电池寿命，我会尽量使用慢充，但慢充十几个小时的充电时长，有点耽误用车，很多时候不可能有连续十多小时的充电时间，都是有意等着充满。,[空间],车内的空间本身是一个中规中矩的表现，但是我这个人呢体型有点发福，所以坐在驾驶位的扣上安全带的时候依旧会觉得稍微有一些束缚。别看我这款车它的售价并不是特别的高，但是它内置的一些配置还是相对比较齐全一些的，所以舒适性这方面大可不必去担心。,[舒适],[动力],车身小巧开起来感觉也挺灵活的，完全不会有什么耗费心力的地方。要知道这是一款纯电类型的新能源车，在动力输出这方面比起发动机来肯定是有所不如的。但它也有自身的优点所以要理性的看待。动力方面，说实话，动力表现的可以，但我觉得还是挺够用的。驾驶起来非常流畅，有些坑洼什么的也处理的很好，对女司机非常友好。,[性价比],这款的配置非常丰富，重点是安全配置、操控配置、多媒体配置，这三个方面最为扎实。品质性能：装配质量很棒，全车找不到瑕疵，车机系统整合很流畅。性价比横向比较：和最热们的几个品牌相比，价位都差不多，但市场意外要少很多，这就说明了其质量稳定性。,[操控],绝对有着不一样的起步和提速效果，流畅性体验，提速过程推背感简直炸裂。操控感受：因为变速箱样式和驾驶辅助系统等原因，让驾车变得非常简单和从容。行车体验：这车特别的沉重，行驶沉稳，但操作上很顺手，掉头或转弯等操作，都很到位。,展开全部
"
    发表于  2023-06    

      
        
    
    
",空间特别满意，非常宽敞，再具体说，就是非常宽！,https://image1.xcarimg.com/attachments/my/1/94/84/210_120.jpg,xuser1958421,三星会员,4.88,外观,5,内饰,5,续航,5,空间,5,舒适,4,动力,5,操控,5,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67876/,2023款ID.4 X智享长续航版,购入时间,2023/5/1,购车地点, [新疆省],裸车价格,25万  (厂商指导价 25.54万),续航里程,480km,爱车简评,,,爱车简评,有点反向虚标的意味！日常能耗的话，开空调在18左右，不开空调在12左右，开到的最低能耗是10.9。,爱车评价,[最满意],最满意一定是他的颜值，老婆选这个车就冲样子去的，我是看中了他的空间还有巡航。买ID.4这款车子主要是觉得它有大众的IQ技术，在科技感上比较靠前的，而且前脸是矩阵式的大灯，看起来够美艳，夜间打开的时候，也很容易吸引小姐姐的注意。,[不满意],很不喜欢它车里头的卫星导航，使用的时候会有延迟，导致有的时候会错过路口。还有它的主动刹车太灵敏了，轻轻踩一下，整个就给杀停了，被迫点头的节奏。一是无线充电简直是噩梦，功率太小了，同时用CarPlay的话手机发热严重，导致明明是个放手机的地方，却放不了手机！如果后期有改进的话就太好了，哪怕自己出钱升级都行！二是天窗的控制器是一个凹槽，经常会触碰旁边的小灯。后排没有氛围灯，有点尴尬。,[外观],[内饰],外观是主要买它的一点，本来就是给老婆开的，我们是才买了商务车，但现在经常跑外地接送孩子不方便，新添一台车，她觉得好看而且外观是很是科技。我当时看到它中间的大众标识是可以发光的，我就很惊喜。然后上手去摸了它的车漆，感觉很均匀，品质感很强，就心动了。气、稳重，相比于4c，似乎流线型更突出一些，尤其是开的眼角更加有神，当然这个东西是萝卜青菜各有所爱的！颜色选的离子灰，很商务！很高级！,整体是采用皮质的包裹，座椅用的Napa皮拼接，更加时尚一点，个人选的蓝色，感觉更显年轻！这里有一点想吐槽的，就是氛围灯居然只有前排而没有后排…差强人意！,[续航],续航是有570公里，挺让我挺惊喜的，加上现在的社区公用充电桩很多，基本没有什么焦虑。,[充电],充电目前都是快充，20%-80%用时30min左右。,[空间],的空间是我很喜欢的点，因为实在是太宽敞了，感觉坐在后排，靠背的角度都很合适，头部能获得的活动空间也很足，而且它很懂得得进行空间利用率的打造，各种储蓄格的设计都很有精致度。,[舒适],[动力],驾驶感受还可以，老婆是拿驾照很久但很少开车，上手还是比较轻松，转弯半径也小，开的比较轻松。,,,[操控],我目前车子有开过市区，也有开过高速，我觉得因为车子的车重比较合理，走起来那种线性感是很足的，超车也会特简单。同时别看车子挺大的，其实它转弯的时候还挺轻巧的，半径并不大。,展开全部
"
    发表于  2023-03    

      
        
    
    
",,https://image1.xcarimg.com/attachments/my/1/94/56/808_120.jpg,xuser1955680,三星会员,4.38,外观,5,内饰,4,续航,5,空间,4,舒适,4,动力,4,操控,4,性价比,5,购入信息,爱车车型,https://newcar.xcar.com.cn/m67875/,2023款ID.4 X纯净长续航版,购入时间,2023/2/1,购车地点,新乡上众汽车销售服务有限责任公司 [河南省],裸车价格,24万  (厂商指导价 24.19万),续航里程,520km,购入用途,上班,,爱车简评,新能源有这样的内饰真的是很新颖，像一些显示屏，中控屏，档把等等这些设计非常与时俱进，审计感满满的，其实内饰感觉越简单越显得车内立整好看。,爱车评价,[最满意],我对ID.4X最满意的是空间，只能说大，大，大，特别宽敞，我坐主驾驶位开很舒服，家人坐在后面，头部、腿部都没有一点拥挤的意思，而且后排完全放倒，以后自驾游想想都美滋滋～～,[不满意],不过，ID.4X让我感觉还是有一个地方不是特别得好，就是这一款车子要是在跑高速的时候，它的这个车速一旦过快，车内的这个电流声音就会比较明显，我自己坐在这个车子里面的话还是能够听到这个噪音的。,[外观],[内饰],外观这个东西，前面辨识度很强，但是我最喜欢的还是这个灯带，晚上开起来很炫酷，像我就是一个理性大于感性的一个人，所以verygood！,座椅的设计也是比较合理的，坐在这一款车子座椅上面的话感觉也比较柔软，包括它的这个座椅还是可以电动调节的，我也很喜欢它这一方面的表现。它的这个车子里面的内饰颜色搭配也比较好，主要就是以这个灰色为主，还有点黄色的点缀，看起来的话更加有这种运动的感觉。,[续航],这么大的一个车身，2.1吨多，想带动车身并不难，纯EV电动车，电耗基本在15.5KWH，有时会高一点，有时会低一点，但整体下来，肯定要比燃油车更省。,,,[空间],这个空间的话还是比较大的，虽然是紧凑型SUV，所以它的这个前排和后排设计的还是比较宽敞，坐在里面的话感觉空间挺宽敞的，我的头部距离车顶还有不少空间，还有就是它的这个后排座椅设计的还是非常大的，坐在后排的话这个腿部也可以自由活动，而且就是它的后备箱的空间设计也不错。,,[动力],动力不算很强劲，毕竟是纯电动车，但是考虑基本都是上下班代步，很少会激烈驾驶，一般我都是佛系开车，以防遇到路怒的人，还是佛系一点开更安全。,[性价比],想着自己毕业出来工作，得有一辆代步车，专注新能源，也就看了几款，小鹏，比亚迪，大众，这几个比较大的品牌自己也都看，真的是乱花迷人眼，但买车始于颜值，忠于品质，最后综合了一下，选择了大众的ID.4X，以目前开了半年多的时间，性价比可以的，主要省去每个月的油费开支。,,,展开全部
"
    发表于  2023-03    

      
        
    
    
",舒适性很不错，座椅靠背的弧度非常合适，靠背也是可以调节，软硬也是比较适中的，悬架很有一点偏硬，一些坑洼路面时候会有一点颠簸感，车厢里的灯光也很柔和，在车厢里感觉给人的感觉很舒服。,https://image1.xcarimg.com/attachments/my/1/94/56/806_120.jpg,xuser1955680,三星会员,4.38,外观,5,内饰,5,续航,4,空间,4,舒适,5,动力,4,操控,4,性价比,4,购入信息,爱车车型,https://newcar.xcar.com.cn/m67875/,2023款ID.4 X纯净长续航版,购入时间,2023/2/1,购车地点,新乡上众汽车销售服务有限责任公司 [河南省],裸车价格,23万  (厂商指导价 24.19万),续航里程,520km,购入用途,上班,,爱车简评,外观还是很在线的，纯电的平台也用了最新的大众前沿科技，电动化程度非常高。给我的感觉就是科技智能时尚，很适合年轻人的定位。,爱车评价,[最满意],现在新能源车子开的越来越多了路上，还是对技术等各方面存在顾虑，后来经过朋友介绍去了解了这款车，感觉还是非常不错。车子的外观很可爱，憨厚的前脸，很年轻根由朝气，有其实在大灯的点缀下，侧身的线条尤为的漂亮，搭配着20存的轮毂显得大气而又稳重，车子静音也是非常棒，现在充电桩也很方便，也省去了油钱真是省事省钱。,[不满意],车子的互联网不太稳定，有时候会断网，登录不上，导航还黑屏过。喇叭的声音不是很大，自我感觉。这个车子气味实在是太大了，做里面就是闻着就各种不舒服，这是所有新车的硬伤呀,[外观],[内饰],给人感觉很个性，比较另类的那种，时尚帅气，大灯设计的很漂亮，看起来就想两个伶俐的大眼睛，车身的线条也是非常流畅，看起来整个车子也是气场十足，不得不说现在车子的外观都是越来越漂亮了。,新能源有这样的内饰真的是很新颖，像一些显示屏，中控屏，档把等等这些设计非常与时俱进，审计感满满的，其实内饰感觉越简单越显得车内立整好看。,[续航],大部分时间都是在市区开的，偶尔去外边，续航也是挺高的，满够用的，夏季开空调时候耗电明显的费电，正常比平时上下班开还是完全没有问题的，用电怎么也比油便宜呀，使用成本还是比较低的，电耗和官网数据也是基本相符合的，上下浮动不是很大。,,,[空间],前排空间可以调整，后排空间的话也还可以，做三个人 也不会很拥挤，比较宽大地板设计是纯平的，坐在座椅上也是非常舒服的，后备箱空间也很充足。带着家人出去时候也可以放很多东西。,[舒适],,,[性价比],综合各个方便吧，相对比性价比还是挺划算的，车子的内饰外观呀颜值都是非常高的，抓住大家的审美，纯电的车子后期也省去了保养的成本，新能源现在也是发展的趋势，节能省钱又环保。,,,展开全部
