字段1_文本,字段2,时间,字段3,时间1
活泼光束Mpo,"开了600公里，先说一下，我自己觉得的缺点

前排储物空间少，无线充电很鸡肋，就无线充电那里有一个可以放东西的地方，没有合适的安手机支架的地方，不过有无线CarPlay
行驶过程中，左右手都没有地方支撑，右边扶手箱又矮又远，左边门板上也太矮了（我身高182）长途驾驶可能会很累
电消耗的太快了，每次刚冲完电开车的话还会自动给你选择纯电模式，好像冬天开着暖气电耗的特别快
没有备胎，跑远路就很担心，自己买个备胎，也没地方放，只能放后备箱

优点：

【空间表现】
整体空间，尤其是后备箱空间还可以，后备箱识别感应逼格高（但识别不怎么准确）
我身高182做主驾驶头上放还有一拳空间

【续航】
【油耗】
1.4t还加上电机，油耗自然很低，亏电下市区七八个油，红绿灯少点六个左右，满油满电高速应该能跑七八百公里

【提车价格】
库存了一年的车加上它是蓝色，自带了自动泊车、变道辅助，我自己在4儿子加装了360和记录仪，加上360和记录仪一共全包（包保险6880、上牌150）落地18，感觉高了md

【亮点配置】
值得一提的是，这个蓝色我刚开始根本没考虑过。但是实车和图片真的差距挺大，洗干净阳光下更好看，手机拍不出来的，漆也很亮。
还有就是前后贯穿灯和发光的logo，真的很好看

最后是自己做的气球，拉出去摆摊???",2023-12-20,温州,
螳扶車,"先说价格：
      车价18.8万，上牌费500，贷款服务费500，双保2699，保费5086，这就是全部费用。
再说买车过程：
      我这个人比较拖拉，看车前前后后花了一年半时间。为什么会选探岳gte呢，其实完全是巧合。
最开始看车是的福特锐际刚上市不就的时候，因为上一辆车是福克斯，对福特品牌有好感，特别是行驶质感和静态隔音效果很满意，后来遇到疫情，看车也没那么着急了，就没急着去办买车这个事，中途也看了看迈腾，凯美瑞，蒙迪欧，最后觉电动车都在飞速发展还卖燃油车会不会过时啊。
于是去看了比亚迪秦，那时候秦的正式价格还没公布，先交了意向金，等着公布，等价格公布了过后老婆又觉得空间小了不满意，其实我觉得这都不是关键，关键还是觉得好不容易换个车还换回去了，从合资紧凑轿车换回了国产紧凑轿车，总觉得差点意思，失去了换车的意义，同时我认真看了看那随意吊在底盘下的电池，让我觉得这做工，设计不让人方向，所以放弃了，至于汉太大了无感。
放弃比亚迪后就开始关注雅阁，混动版雅阁，网上看着价格优惠很大，即能满足我对于新技术的期待，又能满足老婆的空间需求，就准备去4S店看车了这时亲戚来我家吃饭，说他们店正在处理一批库存车问我想不想看看，一打听价格优惠6万，还有活动空间。
废话这么多主角终于登场了，5月6号看车一个人去的，第一眼看到就认定了，差点试驾都省了，4s店一角，在黄色射灯的照耀下，只用四个字形容就是光彩夺目，车身大气磅礴，一下就把我惊艳到了。不过理智告诉我先不要太激动，还是试驾，谈价钱要紧。
试驾完全没感觉就在市区开了一两公里，体会不出什么，回来就谈价钱，两轮下来最终定在了，18.8万，保险待定，上牌费500这个少不了，2699的两年延保+4次保养强制购买，贷款选择两年免息，贷款金额12.5万，贷款手续费原价4000，但我们按二网手续费最低500算。就不送贴膜脚垫那些了，大家都懂4s送的东西不要也罢。全部价格车价18.8万，2699双保，500贷款手续费，500上牌费，保费待定。立马刷卡5000定金，暂定5月11日提车。
5月11日提车，没有激动人心，因为提前一天我已经去看了车，那时候还是满身污垢，完全没了展台上的气质。第二天提车倒还是干干净净了，库存车的好处就是一点味道都没有了，毕竟在停车场晒了十来个月，还是有所收获嘛！随后按部就班，交钱选保险，打临牌，加油，上牌，半天搞定。保险费还比较出乎意料，全险，200万三者，保费才五千零几十块。
最后说对于车的感受：
说真的拿到实车其实外观不如展车惊艳，不过还是很大气，比较满意，展车用的是邓禄普轮胎，实车就变成了韩泰。
空间很大，特别是后排，我身材比较小调好座位后后排还有四十公分以上的空间，可以比较元气森林的瓶子。后备箱空间很有限，为了后排做出了牺牲，就和一个常规A级轿车差不多，而且后备箱没有备胎，只有补胎套装。
地台有点高，没测，目测15公分以上。
重点说一下天窗，我觉得很不错，真正的全景天窗，虽然比不上特斯拉，但真的开口很大，打开面积也远大于普通天窗。
油耗我都是每次加满油除以行驶距离，平均7个油，对于1.8几吨的车身来说还是很满意了，最后一次测试是6.8个油，目测还能降点。
动力很足，特别是开了gte模式，随叫随到，有推背感，注意这是没电状态下，满电gte模式地板油什么样还没试过，不过有点怕。
刹车前段正常，动力回收的制动很线性，舒服，可是中段特别软，这个必须适应，刚拿车的朋友一定要适应一下，中度急刹车的时候你会感觉踩到一定位置刹车突然没有了，这确实是大众调教的问题，没有把动能回收和机械刹车匹配好，刹车差评。
行驶品质还是不错底盘有韧性，不过和B级轿车比起来还是有差距。但过弯还是会有侧倾。",2021-06-26,成都,
广州东极岛,"＃提车作业 广州提车豪华版，裸车价优惠5.9万，要求赠刘360全景，其他送的估计都差不多地垫、灭火器、防爆膜啥的，行车记录仪还有一次镀膜，赠送店里8次保养，一共20.23万落地。另外2699元的双保自费网上购买（含5次保养），其他要买的可以拿来对标一下，综合估算总价值。

  目前跑1000km不到，目前暂无出现小毛病啥的有两个问题，一次在高速问道臭胶味，客户说是因为开了外循环，确实后来再也没有闻到

从看车到提车前后花了一个月。这里不得不感谢懂车帝，让我避了很多坑，还结识了一位同样购车的兄弟，团购，让我有了跟四儿子压价的底气。

【选车比较】
一开始因为看中马自达CX-4外貌，论坛看了多次再去试驾，奈何空间狭窄后排噪音大，再加之广州无上牌指标，果断放弃。后面看了皓影、CRV、荣放4、锐际、逍客，每一款都有让自己不如意的槽点，内饰、空间、配置等方面总难以达到想法。日系车内饰接受不了，尤其是荣放的操控屏幕，外嵌的方式，那个用料感觉像是以前的彩色电视机壳，逍客性价比高但是感觉舒适度不够，驾驶座方向盘下面凸出顶着膝盖。网上搜插电混动或者油电混动，领克也是考虑范围内，配置确实性价比较高，但外形太个性年轻化，容易过时，不保值想想也是放弃。
【第一次遇见】
偶然在懂车帝看到大众探岳gte，赫然写着优惠4.5万（一开始觉得优惠力度真大），免购置税广州上牌，抱着纯看看的态度去4s店。一坐上去车里，经历过CX-4的挤迫和逍客的顶膝盖，gte第一感觉是舒畅宽敞，内饰正常。
【砍价比价历程】
思考了半个月，还是觉得这款性价比高。首先燃油车还得额外拍牌，广州至少2万，购置税省接近两万，如果能20万搞下来相当于买燃油车预算嘛！就按这个目标来！恰好遇见了同样买这款车的一兄弟，拿着各自拿着价格跟4S以购买两台的方式聊，一度从21.3万谈到21万，从21万谈到20.5万，新赠360全景。最终临门一脚再减3000元，外送店内8次保养，下定看车，锁定意向车辆，办理两年免息贷款，再顺利提车上牌。
用车感受：
【外形】选了白色豪华，形象稳重，大气，定位中高端没毛病，车头前脸厚重大气，车身脚线用黑色略带弧度，显得更加稳妥，身线硬朗，外形算不上惊艳，但是也没有槽点，换之前或者在路边，我应该看不上，觉得中规中矩，当然后面肯定是越看越耐看了。
【配置】电动座椅和电动尾门、电动后视镜，车窗一键升降，全景天窗，自动大灯，前后空调该有的想要的配置全部到位，无挑剔点。
【空间内饰】前后空间以及头部空间比较充裕，老人家或者3人坐后排不会感到挤。内饰中控屏内嵌，大小适中，还有全液晶显示屏，全程无物理按键，具有科技感。前面还有黑色略有一点点点缀的面板，整体无塑料感。唯一座椅并不是很满意，蓝色的线条显得有点low，皮质质感粗糙，但包裹性还可以。
【操控】一开始不太懂操作，挂D档刹车软，需要熟悉，不过行驶很平顺；挂B档用于动能回收，刹车没没啥问题，其实不踩油门的时候都有明显减速的效果，不过低速爬行略感觉顿挫。还没装充电桩，目前用家用充电枪充电，7个小时满，第一次充电惊喜的续航60km，第二次57km，当然前面的电有点虚；平常都是纯电模式，晚上再充电，基本没怎么用油，偶尔用混动模式，但它在市区还是以电力为主，基本上都是自分配用电，整体油耗表现还是很不错的。有一次纯电耗完，高速跑充电模式，蓄电能力还挺强，10来分钟充了10多公里的续航电力，下高速刚好用得上。目前累计800多公里，油耗3.9。另外GTE模式动力果然充沛，但是感觉油耗不低，暂时没用上，下次跑高速再体验一下。

   整体还是比较满意的，符合目前的所有需求和定位，能源经济。至于之前有人所说的还不如买燃油啥，插电混动不保值之类的，其实车买了肯定贬值，但大众的牌子不至于贬值那么惨，而且买车是用来开的不是为了卖，怎么地也开个4-5年，质保8年，而且不是纯电池，5年后电池得很便宜了吧？这5年省下来的油费也不少。重点是既享受到电车的静谧，也能体验燃油车的驾驶乐趣，何乐不为。小众一点挺好，满街都是这车就没意思了。",2021-02-08,广州,
铅笔818,"“而立人生路崎岖，探岳GTE添助力” 一、换车背景 原来开了10年的1.2手动自吸三箱轿车，应对二娃家庭已经力不从心了。特别是周末四口人出去玩时，逢年过节长途回老家时，A0级在空间，动力，安全都堪忧。从疫情解封开始“年底前换车工程”正式提上了咱家的议事日程。（年底会便宜吗?事实证明确实会比夏天便宜一些） 二、我的预算及备选车型 20万以内，SUV。备选车型第一位奇骏，第二上汽大众途岳，第三，一汽大众探岳。 先说奇骏，真的便宜，17万落地，个大量又足。自吸发动机+CVT平顺有余但后劲不足；四驱有劲儿，费油也是事实。外观尚可，关键是满大街都是，真心不喜欢撞衫。途岳价格更便宜，才16万，但是空间稍小一些，配置也不高，高配吧，性价又比不行。探岳汽油280TSI落地19万，外观不如330和RLINE，动力，配置都有遗憾。RAV4混动,CRV混动都不错，但是优惠力度不行。斯巴鲁有特色，但配件贵，维修网点少。现代ix35人气大不如前了。马自达cx-4有点挤，别克油耗控制的一般~…… 本来都考虑买奇骏了，准备过10年的佛系人生时，无意中听到探岳GTE介绍。全面均衡，人生苦短，不留遗憾。 三，探岳GTE的优势 （一）品牌有号召力，满足了一点点虚荣心：皮实耐用，可靠省心，探岳与奥迪Q3共线生产，MQB平台质量工艺还是有口碑的。比日系口碑和人气好一点。 （二）外观不落俗套，局座说：颜值就是战斗力！我觉得GTE是大众SUV里最符合时代潮流的，GTE运动外观套件，镀铬装饰，钢琴烤漆，18寸大脚，4米6车长，无论白天晚上，辨识度都比较高。总体不失稳重大气。关键是探岳GTE上市时间短，排产低，在路上非常少见，简直就是上绿牌的探岳Rline。回头率真的很高。前两天，我等红绿灯时，旁边的老司机，忍不住摇下玻璃，冲我打听，这是什么车~……歪瑞古德。 （三）内饰科技感爆棚，多功能全液晶仪表，比指针的强太多。不仅信息量大，且操作方便。多功能大屏也支持carlife,carplay.自带的导航也可以的。整车蓝色氛围灯非常漂亮。 （四）空间灵活宽敞，二娃家庭福音：正副驾驶电动多向可调，后排可前后滑动，后靠角度背可调。后备箱宽敞平整，完全适合带着一家人出游。 （五）动力绝对有实力，超车猛，提速快，随叫随到：一键激活GTE模式，EA211+电机：综合扭矩400牛米，已经超过了高功率EA888的2.0T纯油。一个字：爽！😄 （六）日常油耗非常经济,家离单位7公里,：满电的话，纯电状态下3天可以不用一滴油。当然混合动力下也可以，百公里只有3,4升油。这可是1.8吨的车！这一年得省个几千块钱的油钱💰 （七）NVH非汽油车可比，咱们可以花不多的钱享受下豪华车才有的静谧吧。纯电模式下真的是一点声音都没有，非常安静。没钱买特斯拉，但又想开纯电的一大福音。油电混合模式下声音也非常小。他还有个模拟声浪系统，这要是打开了，能产生出V8发动机的音效。超车的时候相当有感觉 （八）操控游刃有余，驾驶乐趣与舒适并存。大众汽车精准的指向，高速的稳定性，底盘的扎实程度，过弯的侧倾抑制力，这是大众的拿手好戏。原地移库方向盘非常轻，高速方向盘也非常稳。 （九）安全方面，用料扎实。全车7个气囊，一体式冲压车门，前后防撞钢梁用料厚道。空气净化系统。预碰撞主动刹车系统。能给我的家人最大限度的保护。 （十）辅助驾驶方面。我认为豪华版有定速巡航，够用了。要是买尊贵版，我还要再加1万，有了ACC,车道保持,自动倒车入库等。算了，已经超预算了，够用就行，要啥自行车🚲。我这样安慰自己：我又不是总跑长途，ACC用不了几次，有钱不买半年闲嘛。 四、探岳GTE的缺点 优点非常多，缺点也很明显：只能慢充。充满电需要3小时35分。唉，我认了，反正没电时有汽油，有空闲时间再去充。 五、关键决心 落地22万，比我预算多了2万。促使我下决心的可能有以下几点： （一）这就是台好车，我想要的，都有了，真心没有遗憾。质量品牌过硬，外观俊美独到，内饰豪华舒适，空间实用大气，性能张驰强悍，安全到位，经济节油环保，操控自如平稳，NVH舒适惬意，科技含量高~……价格必然不便宜。 （二）再说价格。在性能差别不大的情况下，大众优惠力度比两田大，插电混不交购置税，省2万多块钱呢！省下的钱干点啥不好！（别误解：纳税光荣！！嘻嘻）。说起来，指导价也是25万呢（哈哈，冒充一把中产阶级）。 （三）家周边有不少慢充电桩，1~2公里，充电较方便。当然了，要是将来有一个自己的车库就更好了（畅想中……） 第四，绿牌不限号，真心方便。 写在最后 上周提车，今儿上午去4s店选完号并拿到行驶证了，膜也趁机贴完。晚上终于完成车主认证了，熬夜写点心得，赚点积分嘛。以前总看大伙的观点和评论，学到不少，是时候该分享一下我的观点和心路历程，给有打算的小盆友一些参考吧。 敬请斧正",2020-12-29,天津,
Cwei,"坐标深圳，3.7去4s订的车。当时和销售谈价，磨了一下午，最终22.33落地不含2699双保，尊贵黑没车，要等一个多月。(还好要的尊贵黑，尊贵白，和豪华版的都是库存车)，免购置税，厂家贴息1.2万。

尊贵就贵了1万，多了真皮座椅，座椅通风，行车辅助，ACC，还是很划算的。就是不爽减配全景360，该车发布的时候官方消息是有的。

赠送的说一下:脚踏板，隐藏式记录仪，全车防爆膜，前车影像，全包围脚垫，挡泥板，镀膜2次，抱枕。其实还送了一个抬头显示，因为他们3月底要提前开票冲业绩，就会损失我10多天的质保时间给的一个补偿。

4.12说车到了，车停在一个环境恶劣的停车场，过去验车，肉疼自己的车停在这些地方，不过总的目前没发现什么问题，车铭牌显示3.19号生产。车还没激活，很多功能也还测试不了，等提车时再验一次。

4.17全部加装和车管所车检都完成了，这时销售打个电话说售前检测pdi有个小问题，就是胎压报警器可能会出现报警，需要更换一个传感器，心里有点小不爽，但是至少觉得销售能坦然告知也是很不错了。传感器没零件，过几天再过去换，到时顺便把铁牌装上。

提车时，重新检查了一下外漆，内饰，随身工具，各种功能，都没什么问题，就开去加油，95第一次加了335元。

因为小区停车位非常紧张(订车后小区通知响应国家政策决定小区加装6个充电桩，惊喜，虽然少总好过没有)所以基本都按蓄电池维持模式行驶，开了80公里，油耗6L/100公里，能接受

说一下好的:行驶稳定，悬挂不错，隔音效果好，乘坐空间大，油耗不错，外型霸气，内饰一般，功能多，总的来讲性价比高。

不好的:后备箱那空间实在不够用，我就是因为儿子出生才新增一台车，原来那台父亲用。放了儿子一个学步车，一个餐桌，一个行李箱就已经放不下其他东西了，这个有点失望。
还有个问题就是:有次副驾驶没人，副驾驶的自动空调自己调来调去，有点搞不懂，不知道我哪里弄错了，不知道是后来发现天窗开了条小缝，还是放手机的架子挡住了还是什么问题，反正没搞懂。

目前刚开一天，后面再慢慢摸索，希望顺顺利利

PS:自己网上选号，可以编辑20次，反正我编的都被人用了，还可以选5次，运气还行，选到了1113，有三个重复的数字已经很满足了，毕竟深圳的绿牌还是很多的。",2021-04-19,深圳,
不可能不是猛男,"亲爱的各位车友，现将保有量不高、技术含量高又好看又好开的GTE跑10000km后的情况说明如下：
1.换车心态：油价太高了，油车限号太烦了，换车首选混动，且颜值要好看，当然车内空间不能小，毕竟人们都喜欢大！
 2.车型亮点：探岳gte是油电混动，电容量和同级别合资车差不多都是13千瓦时(度)，满电续航都是约56km，油发动机排量1.4t，可纯油、可纯电、可混动经济模式、可混动暴力模式(即本车主打的GTE模式)，可自身油转电自充电模式，任何模式满载越野动力充足，且配随车充电器，普通插座一插就充很方便; 
3.买它原因：外观好看，车头大气、侧身线条优美，屁股简洁圆润，整车锰石黑金属漆比纯黑色漆耐脏更保久不显旧，内部空间相比同价位合资车较佳，爱人看了展车也表示喜欢； 
4.用车体验：目前6个月跑了1.3万公里，铺装道路、泥石山路路况下油电各种模式都试过，平常主要混动油电经济模式，任何模式下力量足够，爬山冲坡如履平地，绿牌加身，走哪里都忍不住被人多看一眼，整车也没有出现系统误报或者车身异响； 
5.不足：电池容量偏小续航偏短，这也是目前插电混动车的通病(就是因为这原因pass掉了保时捷)，希望宁王这样的王炸电池研发企业攻破单位体积电容量翻番的技术吧。有待时间验证的忧虑点：暂还不知电车的电芯耐久抗衰减性能如何？希望不要像手机那样过几年电池掉电刷刷刷就行。 给大众提个最具备可改进的缺点：后排中间地台隆起！太高！太高了！3人座椅变2人？穿裙子的不配坐中间？车主的呼声听不见吗？

最后，提车6个月后模式切换建议：
1.这车自重1.8t算重车，纯电模式最平顺、安静、敏捷，体验感最佳，但满电只能续航50公里，所以50公里内短途能纯电就纯电；
2.长途(普通道路)用纯油：即蓄电池维持模式，一来油能满足长续航，二来电能留着红绿灯起步时系统自动靠电起步整车反应敏捷不拖沓。长途(高速)用蓄电池充电模式，充分利用发动机高转速的余能转换为电能备用； 
3.混动模式：50公里＜单次路程＜100公里适合； 
4.本车卖点性能模式：即gte模式，发动机、电机同时高功率输出动力，可以理解为S模式(苏炳添模式)，同时发电机还会充电让电能维持在50%左右，相对费油。
  综上所述排序：纯电—混动—蓄电池维持—蓄电池充电，而gte看心情，一旦按下此键，车头昂首前窜。

(此车各种模式对应具体操作和车辆反馈见图上备注)",2022-09-01,成都,
热闹苹果21g,动力充足，续航太短，痛点是没有快充。续航短不要紧，有个快充也能很大程度缓解电量焦虑,,兰州,2024-03-06
rock362,"8月23日提车，颜色白色，地址在济宁，是现车当天下午就挂牌提车了，下午有点小雨，不过不影响提新车的喜悦心情🥰。


【购车经历】
家里人还需要一辆车上下班使用，也是算是刚需吧。本来就考虑的是油电混合动力的车，整天浏览懂车帝车型，很快热度颇高的宋dmi就映入眼帘了，试驾了，订金也交了，漫长的等待过后，后续你们就懂得了，家里人对大众的品牌还是比较信赖的，当天看到现车，生产日期不满一个月，当即一拍即合，就它了。





【动力表现】
当时试驾的时候就体验了一下这辆车的五种驾驶模式，动力最强的是gte模式，这个模式下车辆转速拉高，电机和发动机同时运作，7.87的百公里加速成绩带你体验加速的酣畅淋漓，毕竟有2.2kg的车重，这个成绩也不错了，但是平时自己开车用的最多还是混动模式，毕竟省油才是王道。

【空间表现】
整车空间比较大，车辆轴距达到2730，家庭使用绰绰有余，储物空间使用空间也很合理，由于电池在座椅下面，没有影响到后备箱的使用空间。

【油耗】
电耗：最近两天充满电显示有50公里的续航，实际纯电跑下来有45公里左右。
燃油：一直用的油电混合动力，提车到现在才跑了130公里，表显油耗4个多。相比于燃油车很省了。

【续航】
满油满电的情况下有接近900公里的续航，没毛病。

【驾驶感受】
自己之前开的车是雪铁龙的车，底盘操控也挺出众，不过还是喜欢大众车的地盘质感，硬而不颠，软而不飘，很好的平衡了这两点，整车行驶质感很整，不能说人车合一吧，但会让你爱上驾驶的感觉。

【车辆配置】
车子是对象来开，买的是顶配，配置还是比较全的，像主被动安全装备，全车六个气囊，并线辅助，车道保持，主动刹车，前后雷达，自动驻车等等这些实用的配置都没有缺失，对于女司机作用还是很大的。


【最不满意】
这个车宣传上是配有360全景影像的，实际全系没有配备，而且这个功能加装也挺麻烦，还是练好自己的技术吧🙃。


【提车价格】
全款和分期最后落地价是一样的，落地22.4，有一个置换补贴6000元不算在内，双保2699，保险五千，实际落地21.8。就一辆车一点没优惠了。

上一辆车开了10年之久车况依然很好，风风雨雨走来感谢有你陪伴，当看到这辆探岳gte时就认定属于自己，对于属于自己的事物一向都是爱惜有加，祝福下一个10年或甚至更久，一路相伴，感恩有你。🥰",2021-08-24,,
用户6115596255848,第一台车，本想买油车，看到这车就喜欢，临时改主意，当天提了现车，本人对纯电续航要求不高，开了两千了，感受如下：1:外观大气，稳重，又不像途观那样土气。2:开着感觉硬气，操控性好，对得起这价位，咱也没开过其它车。3:好多人说续航差，其实这车设计的初衷我的理解是类似于轻混系统，但又比轻混好，油车动力深度混合，保电模式当油车开，充了四次电，2207公里，油电费用合计每公里四毛六，如果充电方便，肯定是还便宜。4:要合理切换动力模式，本人心得：长下坡或七十码左右经济车速时充电模式，不太费油，电充满后路远的话，切成保电模式，这样速低用电，速高用油，如果路近且终点可充电，则可用纯电开到点再充满。我曾满电时用纯电模式跑过三十二公里慢下坡（勉强算坡，两三度的那种）后原路返回，下坡时适时用B档（减速时由D换B），返回一路用D档，跑到62公里电量剩百分之一时发动机自动启动，超过官方数据，主要是能量回收设计的好，高速长途不充电也很省油的。短途如果能适时充电，可当电车开，百公里以内往返，如果能充满电，也是很省油的！B 档在车多时要慎用，一松油门就减速快，刹车灯不亮，容易被追尾！,2023-12-22,兰州,
Lightenn,空间够用，纯电里程一般，综合油耗比纯油要低， 【最不满意】 智能化水平一般，语音控制鸡肋,,邯郸,2023-09-20
