字段1_文本,字段2,时间,字段3,时间1
绣衣卫大都督,"外观
一般般，只能说还看得过去
内饰
更一般般，丰田祖传的毛坯房，但是没有异味
配置
还行吧，L2自动驾驶，自动空调什么的都有，除了屏幕实在是难以接受
空间
最满意的就是空间了，真的非常大，得益于2850的轴距和纯电平台，空间真的给力
续航 
完全没有自媒体说的那么夸张，标的615，充满电表显545，实际跑了500还有6公里续航，充电只用过慢充，充了整整10个小时，快充需要三个小时
智能化
这车没啥智能化的东西，都是新能源车标配的一些功能
整体感受
套用最近很火的一句话，二十多万的BZ4哪哪都是缺点，十三四万的BZ4全是优点，我买个海豚那小不点还得十一二万，续航还那么少，为啥不试试这车嘞，我感觉这价格真香啊",2023-03-23,郑州,
用户9324212773257,优点1.比我另一辆奥迪a6插混音响效果好一点。2加速丝滑、线性。3十年20万公里免费基础保养。4造型设计个人觉得还是符合近几年的风格。5地盘噪音没有了但风燥和胎噪还有一些。6地盘悬挂扎实一些了。7车子刚上市就优惠一万多还送手表和电尾门龙膜等。8车机没有CarPlay 但自带qq 音乐和百度导航和爱奇艺视频，也算够用了！9自动泊车功能多了座椅记忆、高清360影像和透明地盘。10还是喜欢实体按键多些和有中控大屏幕的车型。缺点1左右门板的扬声器共振音乐低频率有杂音。2速度快了总感觉风燥好像从后备箱传过来的。3个人认为丰田设计师可以把单踏板按键改成方向拨片，动能回收可以分三、四个档位进行升和降，手握着方向盘就可以减速和动能回收，安全系数也提高了。4弹射起步感觉血压升高的状态，我开奥迪A6加速5.6秒百公里也没这样感觉。5地盘悬挂偏硬，细小的过滤很好但稍微大点就感觉跳了，地盘调教还有待提高。6厂家标的续航和显示续航相差10%和实际续航又相差5%，不知道这些标准是怎么测出来的？7丰田厂家送的家用充电桩，枪头到桩的电线只有3.5米，车长近4.4米了，车子倒进车库枪头插不到车子充电口。8没有手套箱。9车头发动机仓和油车差不多大小为什么不学特撕拉可以优化一下设计个储蓄空间。10方向盘调到最低还是会有一点遮挡仪表显示屏，座椅调高点大腿快碰到方向盘了。 4s店去把喇叭共振解决了，我同时也试了店内其他的bz4x车，每辆车都是同样的问题，解决方案很简单把门板拆掉把贴合在扬声器处突出的三条塑料打磨一些和扬声器的纸面低音时接触不到，就完美解决共振问题！这还是我给钣金师傅提出的建议！,2022-12-19,宁波,
童年大玩具,使用时间不长无法客观评价。现阶段体验良好，没什么缺点，也没什么优点。电耗不错，南方城市正值夏天续航不错，冬天再看看。网上那么黑这个车无法说是利还是弊，利是价格给打下来了，很香。弊是感觉黑得体无完肤毫无底线，包括很多车评，实际呢，完全不是这个样子。黑车的大多都是跟风说几句俏皮话，少数是别有用心的。这个别有用心，就大有文章，这里就不细说了，自己体会吧。外观很满意，操控不错，2000块换jbl音响dsp功放四门隔音，提升一个档次。4s送的电尾门，又提升一点。内饰还好，不炫酷，但也不丑，实体按键，实用性很好。调校可以，颠簸过滤就一下，快速转弯支撑还行，侧倾有，不明显。充电只用慢充，对我的用车环境来说没有充电焦虑，里程焦虑更是没有，随便开，不心疼。个人第五辆车，感觉不错。,2023-07-12,贵阳,
下一刻转身122216296,看到这验证码在网上被验证的都是错误码，验证不通过！新车483公里做一下自己的简单体验，分享给大家！不代表全部，各位网友包含！ 外观：不做评价，人各有志！ 内饰：除了座椅真皮手感还可以，车机系统有所升级，其他的并无亮点！另外说下，本机的qq音乐要比蓝牙连接效果好点！但是高速速度一上来，只能听见低音咚咚，根本听不清楚唱的什么！ 方向盘调到最低，座椅也调到最低视线完全可以看见仪表盘！如果你说方向盘调得太低刮腿，座椅记忆在你上下车看可以给你便利！ 空间：觉得够用！后排基本全平，觉得难受的是后排坐人安全带必须带，目前没找到关闭方式。要不然他会一直叫！ 动力：这辆是第四辆丰田车，1.6的卡罗拉，1.2T的卡罗拉，2.5混动亚洲龙！相比前三辆这提速和超车完全不是一个级别，给了足够的信心去超车，想要下头晕的感觉随时可以给你！我就想开习惯了这个车我的龙还怎么开。但是，这个车在高速上没有亚洲龙稳，可能车型的原因，就是那种感觉走路走快了突然脚下放空了那种颠簸。或许你也可以理解他动起来太灵活！尤其表现在变道上。或许油车和电车的区别就在这里吧！个人感觉… 续航和充电：车拿回来第一次充电，剩下续航260km的时候去充的，因为今天要出去一趟来回280公里左右的路程，没信心他能够。所以就充了。 插上枪表显50%开始充的，一个小时充到83%停止充电了，因为第一次给车充电不知道怎么操作就充了30块钱在里面。钱不够了…看到手机显示停止了，就跑回来进行第二次充电，见下图！从最开始75A电流到8.8A，后来更低！这完全是厂家限制的充电逻辑！家里能装充电桩的可以考虑，这样天天出去充，急不死，但是能疯…看个人接受程度吧。最后7%居然还要95分钟… 至于续航，开始走的时候，表显467公里，走了几公里觉得天热打开了空调，自动模式，续航直接掉到360。 全空调总里程267.9，80%高速，10%快速路，10%下道。停车后剩余149！这样算的话467表显续航减去268全空调高速路减去149未知使用情况是虚了50公里。续航行不行大家脑补吧！ 关于减配：懂车帝上的，大灯高度调节标配；他没有，打电话给客服客服告诉我在仪表台左下方第一个是调节大灯高度，但是按钮是假的，我这里只有一个自动大灯。我说没有，客服说说明书上二百多页写的有😇，另外倒车镜倒车自动下翻我也没见着！ 就写到这里吧，有需要了解些什么东西的随时可以联系我！,2023-04-09,嘉兴,
Nice好车,"不久前，基于e-TNGA平台架构量产的一汽丰田bZ4X登场，19.98万起的售价，比预料之外的更低一些，还是一台挂着丰田车标的电动车。一汽丰田也很清楚，比起售价，消费者们关心的是一台电动车的安全、稳定、经济耐用等等，而这些一汽丰田bZ4X都有了。

一汽丰田bZ4X定价在19.98万起，这个价格和同级别的燃油SUV基本持平。按品牌价值来说，一汽丰田完全可以执行品牌溢价策略。

但对于一汽丰田来说，执行务实的电动车市场的发展基调更加重要，车身长度4690mm的bZ4X起售价不到20万，让定价回归到产品本质。譬如当前新能源车市场，依旧面临着电池安全和续航焦虑的问题。但一汽丰田背靠丰田25年电动化技术的积淀，用先进的精益制造、强大的服务体系，消除了用户的用车焦虑。

一汽丰田bZ4X续航615公里版本车型，官方指导价为22.98万元起，这个价格相当的理性，它既解决了国内新能源用户不同的场景使用，也让一台纯电动车，进入了大部分老百姓的购车预算区间里。

相比大众、本田的电动车，一汽丰田bZ4X来得晚一些。虽然更晚，但bZ4X却来了更多的猛料。

一汽丰田bZ4X是同级别车型中电池容量最小、百公里电耗最低的电动SUV，数据层面来看，长续航JOY/PRO版车型百公里电耗只有11.6度电，这是同级别百公里电耗最低的SUV车型。

翻一翻市面上的同级产品，还有谁能像一汽丰田bZ4X这样，让电动车的价格回归主流水平，还能有出色的性能品质？

通过技术上的积累优势，一汽丰田放大了单车利润空间，即使在国内激烈的市场竞争中，也不至于落入“卖车亏损”的漩涡中，这是产品的优势，也是体系的胜利。",,,2022-12-15
30秒懂车,"【外观】
与新势力的夸张设计不同，一汽丰田bZ4X骨子里的丰田元素格外明显，锐利、年轻，同时有着典型的新能源标签，辨识度超高。全新样式大灯组首次出现，四颗LED光源依次排列，精致度瞬间拉满。

车身侧面，拼色式处理更显活力，黑色轮眉颇有跨界风味。但最吸引我的，还是它选装的高效太阳能充电穹顶，以这种方式每年获得的电量，可为车辆增加大约1750km的续航里程。

车尾的设计相比车头就要夸张许多，贯穿式的尾灯在两侧有很大的折角，有一种獠牙的感觉。双扰流板的设计加上底部硕大的扩散器有非常强烈的运动氛围，同时对分散尾部乱流也有一定作用。

【内饰】
坐进车内，环保织物搭配皮质材料的应用，抚摸起来手感很好、方便打理且没有异味，对全家人的健康都是一种保障。此外，7英寸全液晶仪表、12.3英寸中控屏兼顾了车内的科技感与实用性，中控内置的丰田智行互联系统，在响应速度、流畅度等方面也提升明显。

【动力】
此次开箱的车型是一汽丰田bZ4X的四驱版本，前后双电机的总功率为160kW，总扭矩为337N·m。同时，还拥有电动四驱系统以及最新研发的 X-MODE 四驱越野辅助模式，只需通过行车电脑判断各轮的附着力，便可智能的对扭矩进行分配，实现脱困目的。不仅如此，一汽丰田bZ4X还配备Grip-Control 智能蠕行模式，可以手动设定时速，从2km/h到10km/h不等，在通过附着力较低、路况较为复杂的路面，把驾驶模式调到雪地或泥地模式下，开启Grip-Control后，只需握好方向盘，车辆即可自行完成动力分配。当然，除了上述这些，e-TNGA架构还具备高度整体化与轻量化，一汽丰田bZ4X在兼顾电池容量与续航的前提下，比同级车型轻很多，这就是e-TNGA架构轻量化的理念，车更轻就更利于操控、能耗表现也会更优秀。

【总结】
丰田拥有25年的电动化技术积累，电动化车型全球销量突破2000万台，且保持着电池0事故纪录。所以，一汽丰田bZ4X，在可靠性上是有绝对保障的，再加上出色的产品实力，补贴后可观的售价、以及至高8000元置换补贴、0首付/0利息金融方案、10年或20万公里免费基础保养等颇具诚意的上市政策，一汽丰田bZ4X，真的非常值得入手。",2022-12-23,,
Maximushe,"续航根本没有网上说的不堪，甚至比蔚来，比亚迪都要好。615续航的，实际可以开到550，温度10度左右，不开空调。发现他的设定和其他车不一样，满电的时候就只显示550，但是实际你是可以开到这个里程的。这样的设定其实更让人放心。城市道路百公里用电在13千瓦左右，我理解是相当好了。

反而我的另一辆蔚来ec6450公里 标称的续航只能开300。

因为家里有充电桩快充还没有在外面试过，后续去试试。但是充电保护是必须的快充也不应该充满电，快充到80%是电池包最好的保护。所以后续的涓流其实是对电池保护的设计。要知道丰田是三电锂电领域最多的专利拥有者。这块肯定是处于设计保护的。至少我是这样理解的。

行驶操控和底盘，驾驶体验那真的是没有话说，那种稳和线性的感觉是可以超过很多车的，这也是新势力哪些没有造车底蕴的车无法比拟的。

方向盘真不挡仪表，反而让我看的很舒服，不会档视野，也不用低头看。但是我觉得强迫症可能会比较难受，因为原本平坦的前台显得不这么平整了。我本人觉得没什么问题

副驾上面仪表台的设计是我非常喜欢，平时可以顺手放一点小杂物，文件都是很好的选择。

安全性 l2辅助驾驶 8气囊，底盘电池保护（可看大飙车拆车），充电保护（提现的就是充电慢）让我对家用车安全上对这台电车一点都没有不安全的风险。很放心


整体来说，这个车非常好。",2023-03-20,上海,
龚哥128,丰田的牌，我认为降价后性价比很高，至少比宋PLUS EV便宜，也比宋底盘稍好，bz4x过弯更稳定，侧倾小，不会像宋有被离心力甩出去的感觉。 看过毛豆Y，外观很满意，2023年1月6日降价后去试驾的，整体都很满意，想等他再一次降价，或者等一个政府补贴，可惜没等到，只等到涨价到26.19万的毛豆Y后轮驱动版。 等到bz4x降价6万广告视频，抱着多试多对比的心态去试驾的bZ4X，试驾车为四驱顶配，试驾体验两次，相比广丰比一丯规范很多，广汽丰田线路，车辆语言提醒都有限定，照着做即可，一汽丰田比较随意，全靠销售的专业程度，体验感较差。但车辆基本都满意，细节配置上有差异，若同样价格，我一定选广丰的也bz4x 。 这车外观、尺寸空间、智能化、前排内饰、操控、驱动方式、充电、购车模式虽比毛豆Y后轮驱动都要差，但最终考虑我仍然提了一汽丰田bZ4X-615长续航Pro，个人认为好处如下。 【最满意】 1. 价格便宜，裸车价相差7万多。19万对比26万 2. 听说维修毛豆Y会非常贵，我和我老婆都是新手，考虑后续难免刮蹭，也不想到时太心痛，太自责。毛豆Y的保险约9500，也印证了这一点。 3．电池一定会好一些。虽同样都是宁德时代电池，但66.7度的三元锂比60度的磷酸铁锂不仅仅好在容量上，更主要是一致性和稳定性上。 4．续航要好，我实测bz4x的530比毛豆Y的450多一点点。 5．下图中的广告中提到的权益要比Y的多，也影响了我的选择，不过实际有项目如镀晶清洁等－丰不给我，说换算在给我的优惠里了，因为我都交钱了，我很无奈，也是对－丰销售模式不满意的地方。,2023-03-19,深圳,
菲常视界出品,【最满意】一汽丰田bZ4X脱胎于丰田e-TNGA架构，也算是纯电专属平台，这点要比“油改电”的本田e:N系列强不少。很简单，丰田bZ4X的底盘是纯平的，底盘的动力电池并没有突出而影响通过性。丰田bZ4X最直接的对手无疑是与大众ID.4系列，而不是日系电动车。 有人或许会问，大众ID.4是紧凑型SUV，丰田bZ4X是中型SUV，不同级别的两者没有可比性。事实是这样吗？首先，bZ4X定位中型SUV，是因为它的轴距达到了2850mm，但整车看上去不显大，视觉效果挺“紧凑”的，毕竟车长只有4690mm。 接着，同等续航能力、同等动力水平，以及同等配置程度的前提下，丰田bZ4X和大众ID4的价格相当（一汽-大众ID.4 CROZZ长续航Lite PRO版售价为24.88万元；一汽丰田bZ4X两驱长续航PRO版指导价为24.98万元）。 丰田bZ4X没有吹嘘驾驶辅助有多好用，也没有过度营销智能座舱有多创新先进，更没有刻意强调“三电系统”技术的稳定成熟。bZ4X还是我们熟悉的“丰田”，长机舱的设计，车内保留大量物理按键，就连驾驶质感都很像传统燃油车。 这些，在我看来反而是丰田bZ4X的优势所在，没有任何“学习”成本，上手难度几乎为“0”。如果，你愿意尝鲜新能源汽车，但对质量有一定要求，不太关注那些花里胡哨的智能功能，那么，传统车企的新能源汽车或许更能满足你的需求，例如这台一汽丰田bZ4X。,2023-01-04,,
言車社,"外观方面，一汽丰田bZ4X采用了“Hi-Tech andEmotion”设计主题，全新的设计语言与以往丰田品牌的理念截然不同。车头的“锤头鲨”造型前脸搭配一条贯穿式LED灯带，与两侧大灯组完美融合到一起，营造出了一汽丰田前所未有的科技感。



采用e-TNGA架构实现了短前悬长轴距的车身比例，车身尺寸也与RAV4相差不大，对于外观来讲，与车头一样，新车使用了最新的设计，前后极为宽大的轮眉与车身主体形成对比色，再配上大尺寸五辐轮毂，视觉冲击力非常强。



车辆尾部，全新的设计呈现出下宽上紧的造型，同时也使用了现在最流行的贯穿式LED尾灯组，再加上车顶上方的两个分体式小尾翼设计，增强了整体层次感，还有尾灯上的线条和宽大的后包围，运动氛围也得到了提升，有点跨界SUV的意思了。


内饰方面，一抹原本“俗气”的设计，而是采用了更加具有科技感的布局结构，给人焕然一新的感觉。最大的亮点就是使用的高位仪表盘，这在一定意义上也取代了HUD抬头显示，实现了降低成本的同时没有丢失实用性。旁边的12.3英寸中控屏内置了百度地图、车家互联、远程控制等应用。且根据车型不同，还配有无线充电、遥控泊车、360全景影像、座椅加热等配置。另外量产车版本或许会搭载线控转向技术，实现最大150°的转向角度，而驾驶辅助、流媒体后视镜、智能车机系统等等科技配置也是一应俱全。

全新的悬浮式中控屏内UI界面也进行了明显优化，操作逻辑以及功能性表现都得到了提升，屏幕下方是触摸+物理按键的空调控制区域，日常实用性还是非常不错的，这也都是日系品牌一向看重的部分。全新的旋钮式换挡机构和周边的功能按键都采用了烤漆材质，涵盖的功能非常丰富，布局也简单明了。

座椅方面，新车采用了皮+织物面料进行覆盖，造型与自家SUV车型相差不大，尤其是与汉兰达如出一辙，并且前排座椅还支持多向电动调节以及腰部支撑调节，座椅的坐垫和靠背还都带有侧向护翼提供包裹，舒适性及安全性也是非常可靠的。


bZ4X采用了全新的设计理念，在国内也分别由一汽丰田和广汽丰田联合投产。并且新车还将会与日产ARIYA艾睿雅、一汽-大众ID.4 CROZZ和上汽大众ID.4 X等车型保持竞争关系。",2022-10-27,,
