字段1_文本,字段2,时间,字段3
Rain2109,"19年的特斯拉韭菜车主，开惯了电车，又需要一台suv的情况下看了极越01，LS6, G6，极氪001，modely LS6试驾的时候噪音太差，压耳感让人头晕，果断放弃，造型也完全不感冒 G6试了一下，内饰满满的廉价感，底盘也是稀碎，顶配也没有座椅按摩，pass ModelY 试了下朋友的车，跟3一样，完全没有舒适性，智能化和自动驾驶也都赶不上极越01，有了3的fsd也就不期待了，pass 极氪001驾驶感受没话说，智能化太拉夸了pass 外观：市面上没有能打的过极越01的车子，这个应该毋庸置疑了 内饰：选的紫色内饰刚刚好，没有全黑的压抑，强光下淡淡的紫色又很显高级 配置：p版的配置没啥缺的，座椅按摩加热通风，后排大床，游戏厅，ktv，应有尽有 续航：p版能耗肯定比不上两驱版本，冬天450+，春天550+，表显的续航比特斯拉扎实 空间：后排放倒2米1的大床，我181的个子绰绰有余，后备箱轻松塞下一次户外露营的所有装备 智能化：行业天花板了，语音用起来丝滑无比，对比了很多车，极越01的语音是唯一让我愿意一直用的车型，唤醒率和误唤醒率做的很好，文心一言是亮点，没事还能画个画，智能驾驶绝对的第一梯队，高速开了很多次全程无接管，城区的时候如果不赶时间，也能减少很多驾驶压力，停车功能让我每天回家都有时间看看手机信息 驾驶感受：出自浩瀚平台，开起来甚至比极氪001的操控还要好，有些出乎意料，过个坑过个坎又软乎又有支撑，比特斯拉舒服太多还不晕车 价格：30w不到上大顶配，不仅有brembo卡钳还有主动尾翼，相比这些车型，性价比满满，探月车主还有终身免费充电和终身智驾包，强烈推荐",2024-02-19,上海
海航航空集团,"之前一直开家里的model y，开过极越01后不想再开model y了，这是一款被低估的好车，而且兼顾了个性和性价比。

驾驶感受：max版的动力就很够了，底盘和避震都符合这个价位的水准。

续航：刚提车时冬天的续航确实不稳定，250-300，最近气温回升续航也有所增加。

外观：这个见仁见智，我个人非常喜欢。

空间：前后排都很宽敞，后备箱因为要做溜背牺牲了一些空间，不如model y大。

智能化：智舱改变了传统的交互习惯，用一次就回不去了。智驾目前城区还不成熟，但高速和环路挺好用。过年和家人出去自驾每天开400km左右，一点也不累，长途出行开车非常轻松。

总结：可能这个车的营销做的确实不够好，不过产品力是很ok的。",2024-02-18,北京
楼下躺椅小叔叔,极越01提车三个月，跑了9000多公里。购车前对比过特斯拉model Y，智己LS6，小鹏G6，还有极氪001。操控方面是特斯拉最好，但舒适性同样也是最差。因为我已经是特斯拉model 3p车主了，没必要再买一辆这么运动的车。（平时代步路上减速带太多，太颠了）智己LS6直线加速最快，而小鹏G6智驾最好，又都是800v，性价比挺高，但外观方面，都有点接受不了。极氪001各方面都很平衡，唯一缺点就是缺少智驾。就当还在纠结买哪辆的时候，极越01发布了，001的浩瀚同平台，换句话说，其实就是智驾版的换壳001。好吧，那就买它了。,2024-02-15,杭州
红酒要放糖,这台车拿到手的第一眼，非常宽大，极具现代感的屏幕，极致的语音处理速度，工程师与用户的深度交互，都非常满意。 即使在腾势d9面前，也士气也毫不落败。 先说优点：语音响应速度极高，车外语音功能很装逼，800万像素60帧的记录，即使高速110擦碰也能看清车牌，不像有些车像素就200万。有车外自动泊车，喊一句就给你开车来开进去。 再说缺点：400v是挥之不去的阴影，好在普通的充电桩可以拉满120kw的功率，也保证了目前还可以不被淘汰，毕竟超充站数量极少。4s店不太多，主要分部在一线城市。后排座椅靠背不能调角度。屏幕换挡对普通驾驶者需要一段时间熟悉，转向灯毕竟难操控，但可以用语音转向，听说后期还会上智能转向灯控制，如果能接受这些，是一辆非常值得购买的车。,2023-11-23,宿州
52加仑,开过很多车，整车智能化特别是语音是绝对的T0（基本上是他说第二没人敢第一的程度），到手可用的智驾大部分情况处理的不错，但有些地方犹犹豫豫处理得还是不像人开车，急性子会比较难受，国内水平应该处于T1.5，不知道后续上了占用网络体验是否会有提升。底盘部分，个人比较关心，加速与制动很线性，制动尾段autohold介入标的有问题，悬架滤震与支撑平衡的很好，转向手感中等偏下，转起来比较笨重（当然车确实大），外观听说拿了很多奖，小区大爷路过问这车要60给我听的乐得，颜值总体包含内外饰在我心里算中上，比马路上大部分车好看，但对我来说不够特别。要吐槽的就是转向灯远光灯这些方向盘按键体验极差，不知道为什么要学特斯拉。屏幕换挡还算能接受，u型方向盘好看视野好，开起来凑合，就怕碰到紧急情况不知道是否来得及抓。暂时就这些，欢迎车友交流！,2024-01-12,上海
Sala116,1.颜值没得说，小高合，前后灯是亮点，可惜下部分的侧裙尾裙塑料感太严重，稍微扣点分 2.内饰稍微差一点点，扶手箱设计的不好，杯座卡不住矿泉水瓶，刹车拐弯时乱逛，无线充电只有15瓦一个位 材质还行但是比如门框下部分，中控台下部分都是塑料，差点意思。 3.配置都知道，没有800V，不过不重要，对于只有550公里标续的丐版，够用，70分钟充满，关键有探月可以终身免费充电，但是从配置上的确还是落后于其他车企一些，71°略小，丰巢电池 4.内部空间很好，储物空间稍微比毛豆Y小一点，还没有前备箱，轴距大，前备箱被吃掉了，够用 也能放平露营 5.丐版续航略低，不同人充满结果不同，有的高到468，有的低到380+，我是390，可能因为还没跑多久，电池校准还没弄好，但是差不多就是400的续航，冬天电耗17-19，中规中矩，夏天会好一些，广州的能跑450+ 6.智能化方面无与伦比，语音控制方面独一份的强，多模态语音使simo可以识别语言、动作、视线多个唯独来判断乘员要针对什么做什么，全车几乎全部可以语音，还支持独一份的车外语音，对于不方便手动时开后备箱和车门很方便，还可以车外语音泊车，语音和车机的反应速度都超灵敏，其它车也试驾过，没有比这再灵敏的车机了。语音方面甚至播放视频里的快进，全屏，都可以做到。 7.操控方面基于浩瀚等于是极氪的换壳，没什么意外，也没什么惊喜，对操控不是特别感冒,2023-12-06,上海
SuperStreet超级街头,"有这么一款车，我非常感兴趣，名字也很有意思——汽车机器人，如果以机器人来命名，那么肯定有什么过人之处。

车身颜色是以星系命名的，比较有意思的是这台车可以在车外进行语音对话，可以使用SIMO唤醒，让它打开车门和车窗。

极越01全系是标配了无框无门把手电动电吸门，电动门配备毫米波雷达，比常规的超声波雷达识别更精确。解锁方式有很多种，可以使用手机APP、UWB数字钥匙和NFC卡片钥匙等等方式。

在尾部上面有分段式固定式尾翼，下面甚至还配备了自动升降尾翼，两种方式，自动升降是在高于时速95km/h时自动打开，也可以语音手动的升起和收回。

另外惊奇的发现，这台车只有两个配置，并且价格区间跨度非常大，极越01 MAX售价21.99万元，极越01 MAX Performance售价30.99万元。高配车型很直观的可以看到轮毂是配备的21寸空气动力学运动轮毂，CLTC综合续航会略微的提升7-8km，轮毂里面也可以看到装配了Brembo高性能制动卡钳。

话不多说，赶紧去车内看看，内饰也有三种颜色，分别是宇环黑、宇烁白和宇幻紫，那么坐进车内，映入眼帘的是我们面前的36.6英寸的6K显示的3D无界一体大屏，搭载了8295高算力芯片，属于高通第4代骁龙汽车数字座舱。这个屏幕是长方形贯穿式的，中间没有拼接，边框也更窄，并且支持沉浸式3D视觉HMI效果。

另外就是这个U型方向盘，当然也有传统的圆形方向盘，前者的好处是可以无遮挡的观察前面的屏幕。座椅款式非常现代，尤其是头枕的造型设计非常具有未来感，同时也配备了头枕音响，发声的效果也很柔和和具有亲和力，相较其他车型没有机械感。座椅功能也是很全面，Nappa真皮材质，主驾支持12向电动调节，副驾支持10向电动调节，都有通风、加热和按摩的功能。

中间是悬浮式中控岛的设计，支持手机无线充电，如果使用卡片钥匙需要放在此处用来识别感应车辆。杯架放在了中控台的下面，使用时不太方便。

那么来到后排，后排的和前排是相同的款式，这个点赞，后排座椅可以按比例放倒。在中间还有触控屏幕，可以控制空调的吹风方式，风量大小和空调温度，并且还可以播放音乐，可以看到在下面还有两个TYPE-A的接口。",2024-01-29,
炜主,早在上月我就去试驾了极越01。这车的存在感其实并不高。早在去年成都车展时还是叫“极度”，目前已经是“极越”了。上次的突然降价还是吸引了一部分关注度。年底事情较多，迟迟我没去试驾新车。这次只有预约个上门试驾了。 外观方面，极越01的外观设计独特，车头呈现出个性张扬的设计风格，体现出圆润，且没什么棱角，与Smart 精灵一号，有几分神似。头灯呈现出简约的设计风格，视觉效果看起来相当大气。车身线条流畅，侧围呈现出动感活泼的设计风格，搭配大尺寸厚壁的轮胎，造型抢眼。车尾与车头相呼应，尾灯风格较为时尚简约。整体来说，具有较高的辨识度。 内饰方面，首次亮相的35.6英寸6k分辨率超大屏贯穿式设计，给人一种强烈的视觉冲击，极具科技感。其他设计思路感觉和新一代的特斯拉很像，方向盘按键，和屏幕换挡等等，我一度错觉是特斯拉出了什么新车。圆形方向盘确实有些挡住了一部分屏幕视野，半幅式方向盘才是这辆车的设计风格。基本都是是软质包裹，有一定的高级感，唯一就是门板下方还是硬塑料，但质量感觉蛮好的。这点也基本是主流水平。 配置方面，20万价位的“红海”地段，可谓把配置作为汽车竞争力的最好体现。芯片骁龙8295、35.6英寸6k分辨率超大屏、电吸门是很具竞争力的。按键式的开门方式也是很特别的。至于L2辅助驾驶相关配置、方向盘加热等等这些都是不在话下的，不过前排座椅通风和按摩这样的舒适配置可以选配1.5万的舒享套装，这时连座椅也换成Nappa皮了，这个舒享套装目前有限时优惠，那就必须选了。音响系统是自己研发的，整体还算不错，但不是太令人惊艳，正常水平吧。 智能化方面，首先说智能驾驶方面，背靠着百度，L2辅助驾驶比较好用，即使模糊车道线或者过红绿灯路口基本可以识别，或者跟住前车。整体还算不错，启动、变道都挺像老司机的，百度优化的还是很不错的，这点比极氪001的智驾好了不少。不过我在试驾中发现了一个BUG，希望以后可以改进，就是在时速60公里时，前车突然变道时，出现了“消失的前车”懂车帝实测中这样的情景再现。车辆未能识别，我踩了紧急刹车。再说说智能娱乐方面，基本语音时没什么问题的，有时有点迟钝，希望后期可以改进。至于APP方面，目前并不是很多，日常的没什么问题，听销售介绍，后期也会逐步OTA。车机由于是8295芯片，没有出现卡顿，用起来还是很丝滑，这点也比001好不少。 空间方面，先说乘坐空间，后排乘坐空间还算不错，以175身高来看，后排空间在调整好我的驾驶座椅后还有两拳，头部也差不多一拳。中间没有地台，后排坐三标准身高体重的成年人也是没什么问题的。后备箱空间方面，如果在中大型SUV里不算大，中规中矩吧，放倒后排座椅后，空间表现就不错了，比小鹏G9要大。 驾驶操控方面，我在前期多次提到了极氪001，这辆车的驾驶感受和极氪001很像。车辆操控不错，前双叉臂的原故，车辆在急速转弯或者快速变道时，车辆有一定侧倾，但都不大。起步加速还行，日常够用，但在电车马力过剩的时代，显得比较弱了。电门比较线性，加速还是逐步变强，没有特斯拉起步时那种“冲”。刹车距离不错，非常短，但是脚感给我的感觉不是太线性，还是前段较软，后段较硬。吉利的调教是不错的，得到了沃尔沃的精髓，作为中大型SUV开起不没有大车感，也就是不是晃晃悠悠的，这点在极氪上就没有出现过，变道干脆利落。调头的话算是中规中矩，大概是三个车道的样子。 乘坐感受方面，座椅比较软，即使是后排中间，坐垫也是偏软的，但靠背也算比较硬的。座椅的腿部支撑有待加强，有一定的悬空，座椅靠背角度不错，不是比较直的那种。过颠簸路段时，悬架支撑较好，没什么多余的弹跳。隔音方面中规中矩，毕竟是无框车门，但电车的天生安静，只有在高速情况下感觉有些吵。 能耗方面，中规中矩，试驾车是17.7度每百公里，实际应该比这个小得多，毕竟试驾车基本都是暴力驾驶出来的，但作为单电机版本，还是略高，毕竟当时气温20度应该是最省电的温度了。 以上就是我的试驾感受，不喜勿喷。详细试驾感受已在车友圈发布，有兴趣的可以去看看。,2023-12-23,
刘慕孝,"【外观】
免费的黑白灰，非常推荐白色，只因为白色显宽，会显得大气一些，这个白色搭配“戈”式样灯组神似极星4。不过也有车主选择星辉橙，我想大概是致敬某合吧。紫色虽然是极越主题色（同某合），但个人觉得这个紫色好看是好看，但不如某合紫色调的舒服，时间长了容易看腻。
官方定位豪华智能纯电SUV，但除了SUV级的0.249风阻之外，怎么看都不觉得像，原因一是车本就不高，二是底下的一周黑边，显得车非常修长，这通常是电动轿车因为电池做不薄，为了掩盖厚度做的讨巧手法，但是你都定义SUV了，完全没必要，因为虽然车不厚，但是也失去了SUV的气势，看起来视觉更像跨界车，不过有个好处是这个黑边上面可以显示剩余电量。

【配置】
电动门比001好用好多好多！
印象中001那电动门真的很难用，还要加2w选装，这车直接给你标配了，印象中应该是最便宜的电动门了吧，打开响应迅速，关门轻轻一丢就关了，也有防夹功能，别笑话，我就被高合Z的门赶着走过，吓人。还可以语音控制开多少百分比，虽然不知道有啥用。
语音系统很强大！
一是车外语音，在车头，车尾和左右后视镜藏了麦克风，你在车外说话就能呼叫语音助手，本来以为是噱头，但收音灵敏，指令识别准确还有车灯做反馈，整体体验下来感觉很实用！
二是车内语音，极越支持离线语音，这个真的很强大，不依赖网络，识别又快又准。主驾支持人脸识别大家司空见惯，这车人脸识别之上联动表情追踪，当你看向副驾车窗说打开车窗，副驾车窗就开了，有点意思。主驾还支持无唤醒词唤醒，实测非常好用，补音灵敏，无论你大声说小声说，都能识别，准确率不错，用上绝对会爱上，哪怕是打个转向灯你也会想用语音。
辅助驾驶能力很强！
这车摄像头清晰度真的超级好，360和底盘透视的效果这个价位内算顶的。试驾80%都是在试辅助驾驶功能，有一说一，百度这套领航辅助真不错，百度高精地图做底，搭配视觉算法，高架工况，上下扎道、超车变道稳！准！狠！非常非常老司机，给人很强的信心，就不知道城区的效果如何。
阉割还算精准！
前后无框车门，玻璃都是单层，不过销售非常自豪地说这车玻璃是加厚，其他隔音材料用的也很足，整体体验风噪控制的不错。只支持一个手机15w无线充电中控岛台质感奇差，这个位置可是上车右手自然放置的位置，不做绒面不说，还是廉价大塑料，哪怕你做个类肤涂层也好。

【驾驶】
整体是一台舒适的车。浩瀚架构，和极氪差别不大，软硬适中，转弯支撑力很足，可惜没试烂路。电门响应迅速，非常线性，动能回收力度也很足，有点特斯拉那味了，刹车踩起来舒缓，不像ls6那样点头刹。整车略有大车感，转向有虚位，无操控乐趣，零百7.2，完全没有开快的欲望，在加上很棒的ppa点到点辅助驾驶，感觉这车有驾驶员都是多余的。
最不适应的就是学习特斯拉新3去掉了两个拨杆，都要靠方向盘上的按键和屏幕换挡，比特斯拉新3好的地方这个转向按键是左右放置，备用换挡机构更灵敏且在中岛上，便于操作，可以很快盲操，不如特斯拉新3的是按键反馈质感。试驾车有个bug，大灯转弯后不能自动关灯。

【空间】
没有前备箱，绝对差评！前备箱绝对是属于你没用无感，用了就回不去的配置。后备箱正常尺寸，下储物空间虽然很深，但开口是个长方形，这也就放点杂物了。后排腿部空间很大，座椅角度也正常，整体舒适，后排也有个屏幕，能听歌看导航调空调，就是不能看电影，美其名曰保护颈椎。

【其他】
轮毂的配置很良心，全系列马牌，加两千布雷博，虽然只是前轮，但没有人不加钱的吧，但个人还是觉得这三款轮毂样式没有一款长在我的审美上。长条形的屏幕很震撼，但是实话说纵向可以操作的区域很小很小，导致设置字有点点小。系统过度动画和屏幕响应一般，很流畅，谈不上丝滑，但就吉利体系中已经算是上乘之作。半幅方向盘手感不错，粗细合适，谈不上好用，特别是需要你频繁打盘子，但是视野是真的好，前面的大屏幕一览无余，半幅样式还是挺帅的，至少比ls6…又一个很有趣的功能，如果你发现系统bug或者功能需求，不用拨打400建议，你只要直接告诉语音助手就能上传给极越，系统会自动记录发生时间和车辆状态，简单高效，看来，夏一平真的很想聆听用户的呼声。内饰颜色我建议加1000选舒适包后选黑色，黑色是和顶棚一样的仿麂皮材质，白色仿皮质感真的很差。主驾驶位置有安全带拉紧装置，如果你分神长期没有双手搭在电容方向盘上就会拉紧你，让你瞬间精神，这个配置挺好的。
5G数据联网每个月9.9元，给30G流量，感觉还行。


【能耗】
试驾车能耗20kwh每百公里，没办法做参考，低配是71.4度蜂巢磷酸铁锂，100度是宁德三元锂。鉴于三元锂建议冲到90%的特性，充满了心里难免膈应，实际电池差也就18.6，加3.5w还真不如选低配。这低配电池跑城区是够的，跑长途估计到不了400公里。",2023-12-23,
佳炫0世界,车确实是台好车，外观内饰配置基本都是很不错的。在大中型SUV里面空间全是不错的，造型还算不错。目前交付和售后基本共用的极氪，整体还不错。入的标准版，续航一般，市区正常开430左右的样子，充电只有直流口，可能会有一点不方便。吉利和百度对这个车都不算重视，宣传的太少了，很多人根本不知道这个品牌，保有量少的话后期配件和维修都是个问题。但是这个车的智能化真心不错，试过很多车，这个车的语音超赞！,2024-03-12,武汉
