字段1_文本,字段2,时间,字段3
啃木头的小桑米,外观好看，氛围灯很喜欢，音响是bests品牌，但不如家里的Beats Pill，不过也比其他车强。 动力好，加速很快，因为车身小所以方便停车，变道、掉头都很容易。 平时开着比较费电，大概在18.1上下，需要一星期充一次。算是比较费电，90%的电量就能跑370公里左右。 自动刹车很好用，而且不止前边有，倒车的时候也会触发。上次倒车闪过去俩小猫，一下子就自己刹住了。但是过于灵敏，容易误触。 很多功能都需要付费解锁，而且价格还不便宜，个人很鄙夷这种销售方法。 仪表盘太袖珍了，虽然不影响看内容，但字体确实是便小一点。中控系统反应慢半拍，车启动以后它才能进入主菜单，一点都不高档。 销售服务很好，会认真回答问题，提车那天还会送花。上次中控需要升级，售后也是上门解决问题，不用单独去店里很方便。,2023-10-11,张家口
LiuAmoo,买精灵3主要为了带孩子城市间通勤，每周两次，油车不合适，这车的续航可以满足要求，又有一定的豪华属性，是我的最优选择。 这车很漂亮，貌似注重颜值的女车主比较多，但我这个男车主也很喜欢。 充电速度很快，不超过半小时就能充满，平时跑高速+市区都用，续航能在390公里上下，一直开空调的情况下。 自动驾驶太灵敏，刹车反应过激。辅助变道不好使，强制要求必须先打转向灯，经常和我抢方向盘。这俩功能我都关了，我更相信自己的驾驶技术。 底盘有点颠，支撑性很好，但是舒适性一般。悬挂比较薄，不像是20+万车应该有的行驶素质。起步提速快，但跑到时速130以后再加速会稍显疲态，后续劲头不足。 销售态度很好，主动介绍各种新车主权益，比比亚迪之流强多了。,2023-10-20,唐山
多彩梦想3U2,"优点不说了 车评人都说明白了
说槽点：
1、我最不能忍的 ，自动空调是个摆设 ，风速压根儿不会变，二十多万的车还要天天手动调节风速也是服气。

2、驾驶员疲劳提醒关了也要提醒你，喜欢握方向盘十二点的很心烦。其他能关闭的声音提醒我全关了 ，不然一路上没完没了提醒，现在这些安全辅助配置感觉没啥用，老司机用不着，新手被吓的一惊一乍。

3、门板内饰塑料感太强。

4、距离感应自动解锁和锁车有时候不太灵 ，昨天试了试不带钥匙带手机去开车 ，能解锁但是挂d挡不走，说我蓝牙有问题，今天再试试。

5、这个动能回收的逻辑确实很不好、不能完全关闭，松刹车后延迟一两秒才减速，开了自定巡航后他自动减速靠的的纯机械刹车，一点动能不回收为什么驾驶打3星，我承认这个车操控很好地盘质感也好，但大家还是日常驾驶多啊，这个回收延迟机制快把人搞吐了。——关于crbs我又问了一下官方抖音好给我的答复是有。可能我搞错了吧，开起来观察那个回收条不像是crbs工作的样子。

才开了4天 暂时就这么多

发现一个新的槽点 这车隔热奇差无比 单位院里停一排车 晒了一中午 这货车内是最热的 你可以明显感觉到热的多 跟不贴太阳膜的皮卡公车一样.",2023-07-22,太原
小李看中国,由于每天上下班的距离比较远，大约60公里，加之2桶油实在是太恶心，每次小涨3毛，大降3分，所以就开始关注新能源汽车。对比了毛豆3（太毛胚，新款还可以，可惜价格上去了），小鹏G6（刚出，感觉外观有点丑，个人喜好吧，萝卜白菜），ID4（车机不敢恭维，优惠巨大），机氪X（三电和3号一样，便宜点，但是我觉得外观比较赛博朋克，感觉不是很喜欢），然后SMART1号（太小，适合女孩子），最后看到3号，这颜值斩男又斩女（老婆和我都喜欢），这动力PULSE版双电机（543Nm），加上6月政策（3000元尾款抵扣、5000元颜色、12000密友套装等）脑子一热就定了（6月30最后一天），之后7月23提车）。目前行驶了2500km，大概15kw百公里吧，充90%，表现400的续航。,2023-09-11,长沙
别急7,提车快两个月，开了六千公里，总体比较满意。 【最满意】 1 外观内饰都很好看。选的最基础的白车黑顶，好看＋实用，氛围灯很棒很养眼，最重要的是老婆喜欢。 2 动力和驾驶感不错。这个价格的双电机四驱可选项不多，从这个角度看挺有性价比，踩到底能让副驾的小姐姐尖叫着抓你胳膊，并且中间没有档把碍事，怀档很好用。 【缺点是小毛病】 1 刚提车就遇到充电问题，最大电流只有14A，7kw的桩只能用一半功率，去店里修了一次才好。 2 充电枪有时拔不出来，修完之后遇到的，一开始是特来电，后来家充桩也频繁出现，只能通过后备箱内小拉绳拉一下才行。后来注意解锁后拉一下车门，让车反应几秒才能断充电口的电子锁顺利把枪。 3 坐姿要比较直让疲劳监测摄像头看到，也是有些车主反映比较多的问题。 4 车机智能化和手机app控制方面也不是很好用，但都可以接受。 【选车历程】 1 因工作有跨城通勤（单程100km）需求，和媳妇都是各开一油车，想换一纯电suv。选车预算15左右不超过20。 2 先看了零跑C11，但周围家人朋友都对这个品牌有顾虑。又想买宋plus ev冠军版高配，虽然性价比差了些，但销量摆在那里，应该也没问题。期间也看了元、汉、深蓝s7等，都不满意。 3 精灵3斩男又斩女，本来是超出预算的，家里长辈对这个车也都比较满意，就给了些支持。 【续航】 电耗秋天18冬天22，换算下来满电续航300左右。单程100公里的通勤中高速占七十多，高架占二十，开的都比较快。,2023-12-16,济南
阿布根据地,【驾驶感受】方向盘很好把握，怀挡很benz，但是动能回收力量太大，偶尔会干扰脚下力量，尤其是转向过弯同时减速的时候，会有明显的顿挫，我还不适应。 【配置】这是我用过的最好用的语音识别，即使是车里在放音乐也能非常敏锐的听到指令。而且驾驶位说话就只调整驾驶位，副驾驶说话只调整副驾驶，很好用。 【智能化】非常不适应这台车的智能系统，自己的驾驶风格确实没那么标准，习惯不打灯就并道，这时候方向盘就会被干涉。而且这个车的警示灯怎么这么容易亮，还嘟嘟经常响，我都不知道哪里做错了，感觉它在教我开车。 【空间】家里还有一台七座车，这台smart就是用来接送双胞胎上学，所以空间够用。 【续航】电耗水平有点高，经常在15.5以上徘徊，满电跑不到350公里。,2023-10-17,廊坊
咪咕咕咪咕咕,颜值咋样不用多说了，买这车的绝大部分都是颜值党我说的没错吧。而且内饰也是我最喜欢的，灯光秀堪比广州塔。圈圈圆圆的细节处搭配简约，每一个按键都长到了我的多巴胺上。所以车里就后视镜上挂了个饰坠，其他都没有。 买的时候选了这款四驱版，倒不是更喜欢动力，而是首订车主享有权益实在是太多，安装充电桩都不用加钱。 天窗很大，不过很少打开遮阳帘，一个是因为太晒了，第二个原因是方向盘下方的金属装饰条非常亮，会反光。 全景影像还有透明底盘的功能，但是围绕车的一圈图像不如其他位置清晰，很近的障碍物是看不清的。 买车以后研究了很久，动能回收让我选了最低的模式，驾驶感觉终于无限趋近于油车了，没有电动车独有的晕车感。反作用就是续航降低，没有一开始续航久了，现在续航360公里。,2023-10-22,秦皇岛
Dashsun,"最大的优点就是紧致的底盘和充沛的动力，虽然车不大，但开起来感觉特别安稳。悬架在低速时显得偏硬，个别路段有点颠，但速度起来以后，和路面的贴合感更强，反而更平稳。

内饰感觉没有为了简约而简约，各种用户交互对于从传统油车置换而来的老司机几乎零学习成本，整个氛围感不错。

空间够用，但座椅舒适性有提升的空间，前前后后这是我第五辆车，也是唯一一辆开得久了，我腰会疼的车。主驾坐垫前半部分无法调节有点遗憾，对大腿的承托差点意思。

语音助手反应时间有点长，不如之前开的领克。对于语音指令和背景噪音的识别还要提高，比如放着歌的时候，唤醒车机，下完指令后，明显因为有音乐的关系，语音助手还在识别过程中，造成指令执行有延迟。",2023-10-23,上海
只是一个静姐姐,"提车一个月，浅谈一下自己的用车感受。

缺点很明显
车机系统不智能，功能补不好找，而且反应慢，启动速度得十几秒。
无框车门好看，但是噪音比全框车门大很多。
车内储物空间不足，门板上放不下粗瓶的水。
续航不足，宣称520公里实测360公里左右。电耗一直很高，都在18以上。

再说说优点
非常好开，方向盘没有过分的轻，有点油车那样的配重。而且加速有点模拟线性的感觉，不会头晕。加上车身小所以停车方便，我都不喜欢开家里的SUV了。
天窗玻璃隔绝热量的能力确实是强，比家里的老途胜强多了，就算没有遮阳席也不会太热，出去玩的时候躺在车里看着天空很惬意。
最大的优点，外观很好看，内饰也有豪华车的水平。而且车友会里的小姐姐也都很漂亮！",2023-10-23,承德
二指导,"选了一圈，试驾了6辆车，最终选了这个别人嘴里“为什么不买xxx”的大聪明3号哈哈。

试过的6个车里有销量前排的品牌操控最好的车，也有同价位最大的车，也有同价位卷王，要问为什么选择大聪明，第一位的当然是颜值。虽然外观是很主观的，但是一个时代的审美是有客观标准，比起大多数电车过于“超前”审美，大聪明的设计可以说有一种和谐的美感。最初关注这个品牌去试驾就是因为大聪明1号那个有点英伦风的外观，特别是选红或者蓝配黑顶，虽然最终买了它的兄弟3号，但是那个外观确实非常好看。

【驾驶感受】
真正下决心订车是在试驾以后，很大程度上是因为它的运动感，转向的指向非常跟手，悬挂传递上来的信息很多，过井盖的时候干脆而有韧性，相比1号支撑力是更强的，特别是纵向俯仰，这个应该也是和四驱的动力相匹配吧，在4.3秒零百的动力下，没有这样的支撑力是不平衡的。动力没话说，绝对的过剩，一脚下去基本不用考虑后车在哪，它地板油也碰不到你，充足的动力储备带来的信心比零百数据更实际。 电门很线性，轻踩就不会窜，刹车脚感还可以，行程好像不像1号这么短了（1号只试驾过可能记错），动能回收弱还是有点拖拽感的，需要适应一下。家人容易晕车，这方面一开始还挺担心的，当天坐了那么多路也没晕应该没什么问题吧？还是得看司机的脚能不能细腻一些。

【续航】
提车当天连续开了40多公里，88%到77%，百公里电耗14.4，当天下大雨，全程标准模式，自动空调，城市快速路和拥堵路段都有。但是电池毕竟就66度，要跑长途上高速还是得规划好的。

虽然网上都说这车没性价比，但是25以下的电四驱就没几个，去掉新势力和价格低很多配置也少很多的，也就兄弟某x了，性价比肯定是x高，但是就像我前面说的，设计也应该是一种配置，调教也是，车不是手机，不是列个表比参数这么选的，这个见仁见智。这个车真正的竞品其实应该是某特3，好看的外观，差不多的价位，差不多偏向运动，当然某特3更极端一点，更长一点，动力弱一点。

【最不满意】
车机app太少，放个音乐就只有企鹅，网抑云都没有。自带高德数据不是最新，我在一条正在施工的次干道上车道就没报对过。自带记录仪不支持手机查看，只能用卡拷出来，而插卡的地方在副驾座椅下面，非常不便。车机里查看录制的视频会越看越卡，多看几段就只能看载入转圈了。

【乘坐体验】
座椅相对硬一点，试驾时候家人明确表示后排硬，但是提车回家开了这么多路也没说什么，有段路还施工，估计是因为交付把胎压调到了合适的值吧？我没坐后排也说不好。。全景玻璃并不热，这几天停在户外白天车内也没升高很多温度，但是后排顶着太阳确实亮得睁不开眼，买了个官方的遮阳帘装了。",2023-07-26,上海
