字段1_文本,字段2,时间,字段3,时间1
啤酒爱串串,"外观好看，这没啥好说的，小型SUV颜值担当吧。本来这次买车是打算福特锐际的，又大又硬又快。后来油价疯涨，就决心买个新能源。刚开始备选了宋plus，ID4cross，Q2Letron。
       跟奥迪销售约好，第二天先去了嘉兴4s店，说原价24万卖，无优惠也无现车。不说了，简直浪费我油费，早说我就不去了。然后去了比亚迪4s，提车至少等半年，果断放弃了，其实我本身不大喜欢混动，又要加油又要保养，就是油省一点而已，但是车价比燃油版贵好几万，靠上下班通勤，开到报废也省不出这个差价啊。ID4cross后来有了解到用鼓刹，就没去4S看了。
        回来翻红🥔看到上海那边有卖Q2Letron，现车…马上加好友聊了，价格也可以，就是鉴于上海疫情，全程网上看车签约付钱，直到去提车才看到第一眼……
         车子外观是真的好看，给媳妇上下班通勤的，她也很满意。自动大灯，大灯随动，感应雨刷，氛围灯，电动后尾箱，液晶仪表还有带点逼格的LED迎宾门槛和车门照地灯，这些都有。但是，就连主驾座椅都是手摇，这个实在无法理解。目前最不满意的就是手摇座椅。
      最近浙江高温，白天都40多℃，缺点是空调效果不是很好，制冷速度也偏慢。
      随车充需要自己去网上买一个接地宝就能用了。",2022-07-24,上海,
笑哈哈啊哈哈笑,"【空间表现】
三口之家足够。
【续航】
家有油车有充电桩325够一个星期左右通勤。
【充电时间】
直流40分钟左右，交流六个小时。
【智能化】
车是用的，也不是手机需要智能。
【最不满意】
没有
【购车经历】
6号看车订车8号提车

【驾驶感受】
舒服
【最满意】
车小方便停靠
分割线-------------
夫人的车开了五年了，smart，孩子大了两座的车已经不够用了。在去年年底夫人看上了欧拉好猫，12月中旬吧，恰巧出了个芯片门，欧拉还算上路，给12月9日前老车主赔偿一万元。这样做无可厚非，不过对于新车主就有点不公了，此时正好又有芭蕾猫的风声，和老婆商量了下再等下吧。2月底，听说新能源要涨价，芭蕾猫预售价可能达到20万左右。顿时没了欲望，立马开始寻找其他车型。
预算是20W内，车要小巧，质量要有保证。因为家里可以装充电桩，对续航要求不高。找来找去q2letron还是比较适合的，虽然还是比较喜欢芭蕾猫的外型，不过在我的劝说下还是提了这款。一个多星期开下来感觉良好！不后悔。

上个选购指南:
1.体验新能源，喜欢小点的车型，有车位充电桩，不在乎二手残值（五六年后市场谁都不知道啥样），对品牌有小要求的，市区通勤的女性。
2.符合以上，另有中大型油车，带娃买菜的女性。
真实男性用户，给各位个指导意见，以便参考。油车已地库封存。。
车身小巧，3-4口之家很舒服。",2022-03-19,常州,
郑谊,我之前从来没有开过电车，因此第一次开Q2的时候就被惊艳到了。踩住刹车按启动按钮，车子安静的几乎没有任何声音，让我一度怀疑是不是没有启动成功。起步的时候感觉非常轻盈，感觉轻飘飘的就出去了，这种感觉真的是要甩油车8条街。低于60码行驶的时候比油车安静的多，只有轻微的胎噪声音，当然如果速度上到100以上，噪音就非常大了，主要是风噪和胎噪，但是就象我前面说的，这个车主要就是用来城市通勤使用，能上到100以上的时候又有多少呢。我拿的这台车的轮胎是米其林的215/55/R17，能如此安静米胖子也是原因之一吧，只是不知道是不是出厂的时候全部都是米胖子的胎。 下面简单说一说使用感受。因为每个人开过的车不一样，开车习惯更不一样，所以对比感受肯定也有区别。我尽量按照大部分人的正常开车习惯来谈感受。 一、动力：感觉比较一般，本来电车提速应该有先天优势，但是在这台车身上完全没有感觉到。即使油门踩到底也不会有推背感。当然也谈不上肉，红灯起步你不会是跑的最快的仔，也不会是吊车尾的那一个。平时超车也还够用，高速公路没有去试，不知道高速状态下提速是否吃力，就不乱评论了。总体来说动力给人的感受就是奥迪这个品牌的核心名词：中庸。 二、操控：你就中规中矩开好了，什么激烈驾驶这一类的和这车不沾边。方向盘比较轻，但是虚位也是有的。底盘的整体感觉还不错，对的起这个车的价位。但是转弯时如果速度比较快的话，感觉有点抓不住地，让人信心不足。我每天上班路上有个弯大约70度，以前开轿车80码跑过去没什么感觉，第一次开Q2也跑80，明显感到尾巴有点飘，后来就基本上只敢60过弯了。刹车前段感觉比较软，我经常有刹不住的感觉，然后一深踩，会有一点点头。这个我觉得还有改进的空间。 三、空间：前排正常够用，后排确实比较窄，而且后排地板中间有突起。我166的身高，应该算比较矮的了，但是我坐在后排，膝盖刚刚顶到前排座椅，一点富余量都没有。后背箱倒是不算小，基本满足正常需要，而且后排座椅好像是可以放到的，比较实用的功能。 中控台和MMI：中控台比较简约，但是常用的功能一个都不少，电子手刹、自动驻车等功能是非常实用的。而且集成在方向盘上的功能，该有的都有了，蓝牙手机、定速巡航、音量调节、语音帮助等等，我确实认为奥迪在这台车上，对日常使用功能全都给了，没有减配，还是比较有诚意的。而且晚间车内前台和两边扶手的位置还有氛围灯。 续航里程：我每天上下班的路程总共约45公里，其中城市道路和郊区道路各占一半。城市道路平均速度在40到60之间，郊区道路平均在60到80，这段时间成都温度都在10度左右，我的开车方法比较温柔，没有用过空调，基本不猛踩油门，所以这个使用里程基本反映了这车的真实续航里程，如果是在北方寒冷地区，或者开车暴力一点，或者常开空调之类的话，实际续航里程可能还会缩短。顺便说一下，可以设置三档能量回收，挡位在D档的时候再想左掰就可以设置了。我在使用期间是关闭了能量回收的。 我在上一次充电时显示还可以开53公里，里程数为2355，在特来电充电桩进行快充，花了47分钟充满，充了27.8度电，花了33元。剩余里程又到53公里的时候，里程数为2553，也就是说，充满一次电跑了198公里，与官方宣传的充电一次跑240公里相比有缩水，但比某些品牌宣传600公里实际400公里要好的多。 要吐槽的一些地方：首先主驾和副驾座位都没有电动调节，只能手动调节，不方便。然后是没有倒车可视，只有雷达，对于习惯使用倒车可视的人来说很不方便。第三，不是所有的公共充电桩都可以使用。比如在国家电网，充到85公里就充不进去了，据工作人员说可能是协议不匹配，但是用特来电就没有问题。再有，既然是新能源车，多少应该和智能驾驶沾一些边，但是在这台车上完全没有智能驾驶的影子。续航里程短本不应该算槽点，因为它的定位本身就是城市代步，但是一旦遇上天冷车窗容易起雾的时候，问题就来了。我开油车的时候会一直打开除雾空调，但这车我不敢。一开除雾，续航立马对半打折，让我的忧虑情绪爆棚，于是只好开一下又关，等起雾了又开，反反复复，即麻烦又不安全。顺便说一个奇怪的地方，除雾和空调的能耗是不一样的，我在续航显示为247公里的时候进行测试，打开除雾续航变为133，关掉除雾打开空调续航变为189 最后，再谈个人的建议，首先，也是最重要的一点，如果家里没有条件安装充电桩的朋友，不建议购买。,,,2022-10-07
分分钟说车,"外观设计方面，奥迪Q2L e-tron并没有什么特别的，由于是油改电车型，所以基本延续了燃油版Q2L的风格，时尚精致，其实很适合都市年轻男女。内饰也同样，改动不大，其并没有采用了奥迪最新的家族风格，与上一代A3类似，好在并不会过时，车内质感还是很到位的。

奥迪Q2L e-tron定位于小型SUV，长宽高分别为4268*1785*1545mm，轴距为2628mm，后备厢容积为347升。所以买这款车型就不要对它空间上有什么期望了，如果是家庭使用，有小孩的情况下，建议直接避开这款车型。

奥迪Q2L e-tron搭载一台最大功率100千瓦，最大扭矩290牛·米的前置电机，配备44.1度的电池，CLTC工况下的续航为325公里，快充模式下不到40分钟可以充至80%，慢充时间就很久了，需要夸张的17个小时！

由于全系仅有1个配置，所以在配置上奥迪也没有太吝啬，类似主动安全系统、前后雷达/倒车影像、自动驻车、天窗、电动尾门、全车无钥匙进入、无钥匙启动、12.3英寸液晶仪表、运动风格座椅、8.3英寸中控屏幕、10色氛围灯等等配置都是齐全的，并且液晶仪表还支持奥迪的虚拟座舱，科技感拉满，也弥补了内饰设计上的缺憾。

奥迪Q2L e-tron适合什么样的人群呢？就是看重品牌，希望花相对少的预算选择更好品牌的朋友，以日常代步出行为主，前提是你对于空间、续航以及充电速度没有太高的要求，毕竟同样的价格放在中国品牌或者新势力，都可以找出续航、配置、空间完胜奥迪Q2L e-tron的车型。",2022-12-22,,
用户1089821379624,"我是一名今年毕业的大学生，过年时我告诉父母成功找到工作的好消息，他们提出可以给我10个w作为奖励，用于缴纳车的首付，但月供要自己负担。
于是，2月份的时候我便开始到处看车，受限于深圳的摇号政策，蓝牌是需要深户或非深户+2年社保才可以竞拍的，而绿牌就只需要居住证，还在大学就读的我显然没有获得蓝牌的资格。那时的我还是一个键盘车神，对网络上铺天盖地的“电动车工业垃圾”言论深信不疑。为了解决续航焦虑，我当时想购买和油车体验最接近的能换电的蔚来并付了定金。
等车过程中，我加入了车友群，开始慢慢了解电动车的优势，车友们的言论让我感觉好像充电也没有多么难。我开始转头去关注并尝试其他电动车。
一次偶然的机会我在路边看到了一辆白色的Q2etron，我觉得还挺帅，于是便开始了解并去4s试驾。试驾过程我发现，这个车没有任何智能化车机系统，甚至carplay都不是触摸屏的。但对于我来说没有任何影响，因为我并不习惯让电脑帮助我驾驶车辆。相反，由于没有这些耗电的智能设备（如激光雷达等），这辆车的电耗出奇的低，不开空调在市区不堵车的道路上可以轻松达到10以下（有图为证）。这辆车标称续航325，不开空调可以跑400公里，但开了空调可能只能跑到270-280公里左右。高速的话120km/h开空调实测可以跑250公里，不开的话没有尝试过（毕竟深圳的天气太热了高速又不能开窗）。

这一点我尤其要给奥迪点个赞，仪表盘上标称的续航绝不会有半点虚标，如果仪表盘上剩余200公里，那一定可以跑200公里，再怎么激烈驾驶都可以达到。这对长途规划十分有帮助。如果你们不相信可以去4s店试驾自己实验实验。对于这款车，网上铺天盖地的“续航打折，实际怕是只能跑100多公里”之类的言论我真的不知道从何得出的。

我客观公正的希望我们国产车也可以这样，实事求是，能跑多少就是多少，不要又什么cltc什么wltp的，然后还要打个折，出个远门难道车主还要带个计算器？那你这个预估续航有什么实际意义呢？标称多少实际就能跑多少这不才是应该做的吗？

现在已经开了一万公里了，没出现过任何问题，作为代步车很香。",2022-11-21,深圳,
Ryanmr,"【外观】
外观4分，唯一的4分，见仁见智，大灯很好看，尾灯也很个性。

【内饰】
内饰3.5分，设计一般，都用了好多年了，唯一能打的就是虚拟座舱，但按键手感都很好，算是比较欣慰的。及格

【配置】
配置3分，相比于我上一辆车328 xdrive ，无电动座椅，无记忆，无加热，无后视镜防眩晕，无定速巡航，无后排空调，这些我平时常用的，多了一块仪表屏，一个氛围灯，一个led大灯，一个无钥匙进入启动，一个CarPlay 还不能触屏，一个傻了吧唧从来听不懂的语音助手。我就是爱开车，不用太花里胡哨的，不过这配置还是一言难尽，勉强及格。

【空间表现】
空间3分，顶多二人世界，好在20多岁用不上什么空间勉强及格。

【续航】
 3分，六日去玩，一周一充，楼下快充50分钟充到100%

【驾驶感受】
用的韩泰的Ventus S1 EVO2 我非常喜欢的胎，便宜但干地抓地极好且不会牺牲太多静音，加上还算有韧性的地盘悬架，拯救了这辆车的驾乘体验至及格。

【乘坐体验】
后排乘坐，几乎直立的座椅，小小的窗户，顶多拉拉小姐姐，前排男生超过180则主驾后面只适合放我的书包hhhhhh

【那为什么买】
相比于以前在玉米地上学时那辆3系的个性十足，Q2L它有着无比精准的定位。即我没有指标，但我要一台跑起来好玩，价格不能高的BBA小车，空间和配置并不是主要的，是需求，金钱妥协的产物。我喜欢玩车，虽然我没有任何负债压力，只是这个年纪再把钱都扔在车上，没有太大意义，不如投资挣钱快乐多吧。车标当然要值钱，要不我这种3年一换车的亏的多呀。

最后附上陪伴我从18岁开始不同时期的交通工具们，每次都是换个城市换一次，只有轮滑鞋陪了整整10年。",2022-04-07,天津,
天马行空说说车,"朋友买了一辆奥迪Q2L e-tron，我也借机深度体验了一段实际。这车价格并不贵，优惠5.5万，没有购置税，还有8年/12万公里质保和免费保养（纯电动车也不需要什么保养）。低配价格大概17万左右，高配18万元。它们两个区别在于增加了倒车影像（2500元） 天窗（8000元），个人认为低配足以。

电动版和燃油版区别：
对比奥迪Q2L 电动版低配和燃油版最低配，裸车价都在17万，燃油版需要1.8万购置税。两者动力水平接近，电动版由于重量更重，实际加速燃油版更快。奥迪Q2L e-tron比汽油版的车型多了一些舒适化配置，比如无钥匙进入、虚拟仪表 MMI导航、8.3寸中控屏幕、Audi connect功能，氛围灯，自动空调等，当然也少了隐私玻璃，轮胎小一点。总体电动版配置更高。如果不考虑动力总成，电动版性价比比燃油版要高不少。

关于续航：
这个车工信部标称续航是265KM，但是实际续航要打折扣，在冬天续航明显缩水，尤其打开制热空调后，实际日常使用续航150km左右。按照我上下班来回70km来算，按照我的里程焦虑，每天都要充电。夏天据说会好一些，日常使用续航接近200km，但是也无法出远门。续航也是这个车销量不高的最大原因。

关于充电：
购买Q2L e-tron的客户，可以免费安装交流充电桩，如果无法安装或者放弃安装充电桩，奥迪会赠送客户4000元充电卡作为补偿。奥迪Q2 e-tron快充时间需要50分钟，电量会充到80%，而慢充到100%电量，则需要7~8个小时，如果用家里220V的交流电去充电，大概需要12~13个小时充满。这个车电池小但是充电也很慢，如果车库有充电桩的话可以缓解充电难题，如果没有车位充电桩，充电非常艰难。

外观内饰：
奥迪新一代设计语言出台后（A3L），老的设计明显不够看了，Q2L e-tron内饰科技感比Q2L好，但是也没有明显优势，不过全液晶仪表还是很给力的，其他方面中规中矩，符合奥迪入门级作风。

小结：
单从产品力来说，这款车主要适合主要用于日常通勤代步，追求保养方便省心的车主，而且日常通勤行驶里程不能长，最好每天代步20公里以内，一周充一次电。奥迪Q2L e-tron算是可以买到的最便宜的豪华品牌纯电动车，但是其产品先天腿短，制约了销量。我觉得Q2L e-tron续航达到目前主流500km的话，即使价格上升3万，估计销量会有明显提高。总体而言，这是奥迪电动化的试水之作，对于奥迪在新一轮电气化时代的脚步，值得期待。",2021-02-19,,
不明真相得接盘侠,拐弯有点飘。 提速很猛。一周了也没人联系安装充电桩。 续航表显不准。开了一周了，夏季续航。很满意。 开空调也没事。有时候开空调表显掉30公里，有时候显示只掉10多公里。感觉不准，   一直用随车充冲了三次了。  白天10个小时能冲一多半电。          不满意的就是这个不是平板。    别的新能源都是平板。能下载微信抖音。  这个只能听扣扣音乐。还需要用充电线连接。 真的麻烦。 连接之后和别人发语音就不能听歌了。  太不方便了。  拐弯的时候别加速。非常容易飘。側滑的感觉。  提速很猛。感觉车头都抬起来了。  80公里以前。  内饰感觉一般般。 对了，座椅是手动的。 全手动。为了省电吗。 家里有车库的，不出市的。都入手吧。 购置税国家免了20000。补贴好像是9000吧。  落地几乎19个个。从北京调的车，感觉买贵了。,2022-04-23,石家庄,
车壹圈,我们试驾了2022款Q2L e-tron 纯电智享型，这款车与燃油本一样具有极度年轻化的外形，相比燃油版还更具科技感。空间方面，表现与燃油版无疑，能满足日常家用。动态方面，136马力/290牛·米的电机实际带来的输出表现超过了1.4T高功率车型，电机在任何工况下都能瞬间输出最大扭矩，加上本身车身小巧灵活，操控感甚至比燃油车更好。底盘方面，因为电池的缘故，重心有所下降，操控极限更高，坚韧的悬挂调校也使其颇具驾驶乐趣。唯一的槽点是连续过细碎颠簸的时候，悬挂处理有些生硬，还有就是续航里程仅300多公里，以它的售价来说，应该做得更好。,2022-02-26,,
汽车网评,奥迪Q2L e-tron 2022款 纯电智享型采用了e-tron家族最新的设计风格，后包围升级为全新Q2L家族设计的e-tron造型，并配有e-tron专属海克拉灰装饰件，还配备17英寸低风阻轮圈。内饰中使用了12.3英寸全液晶仪表盘，以及8.3英寸的中控多媒体显示屏。动力系统方面，新车使用最大功率为100kW的电动机，最大扭矩290N·m，搭载的44.1kWh三元锂电池组，续航达到了325公里。但是相较于同级别车型来说，它接近25万的售价与其325km的续航并不算匹配得很好，在国产新能源车动辄6.700公里的续航里程面前，奥迪Q2L e-tron显得并没有什么竞争力，在性价比方面，它做得并不好。,,,2022-02-24
