字段1_文本,字段2,时间,字段3
L开胖K,这车馈电顿挫严重，其他都还好，买这车我各方面都挺满意的，唯一不好的就是，我12月底刚提车，一月换代了，我这个智趣版增加了很多配置，狠狠的背刺。 冷车启动方法，挂P档，切换到HEV模式之后深踩油门。 中控偶尔会启动的比车机慢，车机启动之后十几秒中控屏才亮，我还以为坏了。 再说说续航，我满电跑高速，从东莞大朗出发到广州北京路，不够，跑高速（再加上我年轻人驾驶习惯比较激进）续航可能就100左右。我试过很柔和的驾驶，很柔和的驾驶其实和表显差不多。油耗我的表显4.2。但是我用油跑的少。 提速可以，油门响应 需要两秒，动力不怎么跟脚，但是有，毕竟有个电机 空间外观没得说，一个字，绝。后排座椅也是真的软和，乘坐舒适性极高。 因为胎宽大，路噪大是正常的，然后因为车身高，跑高速风噪也大，但是这个车的减震可以，过减速带我都不带减速的。 再说一个，电动后尾门老是被人用手强开关怎么办啊，心疼死了，怕电机烧坏。 还有一点，这车音响品质不咋地，对这个要求高建议自己后期改一个。 总体来说，毕竟是长安旗舰车型，我挺满意的，比我朋友的天籁啊，凯美瑞什么的强多了,2024-02-27,东莞
哈哈哈村的王师傅,空间甚至做到了可以让人任性程度，它的轴距2890毫米在同级别中占优，所以前后排的腿部空间都特别棒。后排地板也挺平整的，三个人乘坐时没什么压力，其实认真说四个人在后排都不算拥挤啦。小的那种储物空间也比较多，还有放眼镜的地方，挺方便的，考虑的很人性化。 对于家用车来说，尤其是有了油电混动系统，不仅仅是省油了，其实动力也是强上不少。起步的时候没有肉的感觉，后段加速也比较顺畅。这个提速感受，我天天体验，很nice。底盘的调校还是偏家用，路感反馈几乎很轻，悬挂也相当的柔软。路上的颠簸在车内基本感受不到，那个全景影像功能确实超级好用，停车的时候能避免很多小的刮蹭。 纯电可用是真的爽，因为有了纯电所以可以很经济，经济到不用油，电费那真的是微乎其微啦。但是我的行驶的路况挺杂的，基本上高速和市区都有涵盖，高速油耗百公里6L多点吧。纯电其实很赞的，可以撑得下两天我的代步里程，大概有120公里吧。 外观虽然大但是依然精致，设计的很清晰，那种很年轻很张扬的感觉多少有点霸气。侧面曲线也很优雅，甚至一台SUV都有种轿跑的神韵，漆面很厚重，而且硬度挺高的，树枝刮擦到上面没产生任何痕迹。 电动调节很方便，还有就是整车的隔音性能也相当不错。不过新车状态之下，内饰略有一些异味，主要是皮质座椅的味道，我记得那时候通风几天。 我觉得智能化程度很高，远程启动，全景影像，用车没有啥短板。有语音控制，操控就简单多了。,2023-05-21,唐山
大鹏5913,"之前 一直看燃油版了，直到讲完价格，销售才推荐这款，试驾一下，确实平顺，加速也更猛，考虑到可望不可即油价，据说燃油版百公里十个油以上，果断拿下插混车型。
       开了一个多月了，到路上很拉风，回头率百分百的那种，国产车现在确实很卷， 配置直接堆满，价格也很实惠，比起六七年前提的大众简直就是碾压。
       至于品牌认可度和保值率，媳妇活的比较通透，认为车就是为人服务的，是用来代步的工具，又不是倒腾车的车贩子，自己喜欢就好，而且长安也不跌份，大国崛起就是要文化自信，长安长安，长治久安，太平盛世，方能华夏长安。
       刹车确实有点小软，也可能是动能回收的原因，初段感觉不是很给力，适应了才感觉好一些。悬架调教舒适为主，但家用已足够。地盘够高，通过性不错，坐垫柔软舒适，体验完再坐75P，已经有曾经沧海难为水的感觉了。
       东北的冬天对电池确实是不太友好，但是纯电起步的油耗和平顺性确实是燃油版无法比拟的。
       有远程控制加持冬天上车不用挨冻了，夏天也可以直接尽享清凉，花小钱办大事的感觉确实有点小爽。国产车的成长离不开国人的支持和理解，眼里有光便全是优点，提了就不后悔，自己选择的便是最优答案。",2023-12-04,四平
新生X,"【购车经历】
原来开的是现代，打算换辆车，喜欢电车，但是东北纯电还不行，就打算买最不被看好的混动，去试驾了很多车，包括唐，二代大狗，本田的混动，星越L。byd的技术最厉害，但是内饰和外观我是真不喜欢，二狗我老婆一眼就pass了，硬派她不喜欢，最后考虑到空间和颜值，选择了idd最高配。尽管这个车在网络评价并不好，而且好多车评人都不推荐，这个车两极分化特别严重，但是钱在我手里，我喜欢我就买。评价只是一方面，我自己的钱不用其他人教我做事，现在我说下整体的感受。
【驾驶感受】
没什么好说的。动力绝对够，我不太懂网上那么多人说平顺性不够是为什么，可能我没开过电车，比较low，但是我感觉行驶很平顺，太平顺了，只有在馈电状态下会有点小顿挫。但是跟油车比可以忽略不计，很满意。高速动力也很足，160轻松，感觉这个车的混动更像是为了动力，而不是为了经济。
【油耗】
说个最关键的，天天有人喷，导致我都有点不好卖，但是实际开起来和网上说的根本不一样，我就说点实际的，因为我不会算油耗。我提车加了一箱油，400块钱，充满电25块钱。然后出了趟门，全程开座椅按摩座椅加热座椅通风，500多公里高速，200公里城市。提示加油，也就是说满油满电跑了700公里，420块钱，700公里，刚刚提的车！我非常满意。我不知道各位大神都是开的什么车。我的车之前一块钱一公里，400块钱油跑400公里，车还不大。这个车这么大这么沉，驾驶感觉和乘坐舒适性全部拉满，我觉得已经超乎想象的省油了。我不和其他车企比，我只和我之前比，很满意！而且我不太懂有些人嗷嗷喊说这个车油耗太高了是什么心理，宝马奔驰下面也没人吵油耗高，你要是说宝马奔驰比长安高级太多了，那我只能说你先站起来跟我说话，别跪着。用我老婆的一句话就是，我既然买的起车，我就加的起油。但是商家虚标也确实有问题，我是真不太懂怎么跑才能跑到1000公里。
【最不满意】
当然我不是无脑吹，不满意的地方也有，总结如下
1，后排通风口不能独立调节冷热，很无语
2，胎噪在高速上比较大，市区还行，
3，车载导航！！！我们这两年前就把转盘拆了修了红绿灯，结果导航还让我绕转盘呢？这得多久不更新了？更新个地图这么费劲么？有什么难度么？
4，讨厌qq音乐，车机却只能用qq音乐，无奈连蓝牙
5，和华为的手机互通的智慧什么玩意还不如没有
6，后备箱开启速度太慢了！！！！还不能调节！！把我老婆脑袋磕了，哄老半天！
7，第一时间看了底盘，专业的兄弟说底盘很好，但是我担心电池位置以及防撞。电池下面只有薄薄的一层铁皮。。



总结
买车花了很大勇气，我说几点最让网上人诟病的东西，仅供新人参考
1.油耗，比其他混动高，但是动力响应还有空间都比其他混动表现好，能接受油耗高点就买，不接受别买
2，胎噪，风噪亲测比比亚迪大，发动机介入有明显声音，而且馈电有时在停止时发动机也有小幅抖动，不能接受别买
3，平顺性不如byd，但是你要说不如其他混动，我不服，试驾这么多车，平顺性其实都差不多，
4，音响，不知道网上的大神听的都是什么音响，喷idd音响不好，很是无语，你要是开奔驰s你喷随便。效果肯定不是顶级，但是同级别中绝对不弱，比途观好的不是一星半点
5，悬挂，悬挂偏舒适，确实有点逛，但是我觉得很适合家用
6，很多人说长安不待见老车主，割韭菜，我不做评价，因为他人可能真的招受到了不平等的待遇，也许下一个就是我，我只能说我表示同情并且支持正常的维权。我的车是全车三电终身质保，包括变速箱，而且我提车第二天座椅调节就被我按坏了（是我不小心把座椅调节卡坏了）
去4s店直接给我换了新的，目前看我是比较满意的，至于以后怎么样，只能慢慢品了

总结，很满意！我的选择我很喜欢！既然我决定了，就不会后悔！愿以后一路长安！",2023-04-30,辽源
驾仕派,【驾驶感受】我们试驾这台 uni-k的最大功率是110千瓦，然后前电机峰值扭距是330牛米，它这个是一个前驱的车型，没有像燃油版那样去规划一个四驱，目前phev版本就只有这个前驱的车型，整体的驾驶感受和之前开uni-v智电idd完全不同，那这车其实并不是一个动力取向，我觉得这是一个节能取向的一个车型。现在尽管电池的电量是非常充足，而它这款车的最大纯电续航是135公里，因为它放的是一个28.4度的，来自于宁德时代的磷酸铁锂电池。尽管电量很充足，但是我们在大脚加速的过程中稍微明显一点的推背感一点点都没有，他是一个非常线性的表现，所以这一部车开上去的感觉其实相对来讲是轻松的，它和燃油的uni-k相比就是它更安静一些，在起步阶段更多的用电力去替代了动力，然后你会忘掉你用的是什么模式，我觉得大部分都放在hev模式上就好了。至于这个车其他的表现就跟燃油版uni-k整体上其实也没有好大的区别，包括底盘调校是非常舒适的，开上去比较像船，震动能隔绝的比较好，静音性也比较好，基本上走在路上路噪其实并不太大，而主要是在这70公里每小时以上风噪相对明显，这一点也是跟uni-v不同，uni-v是更多的路噪进来，风噪很少。,2023-02-23,
爱吃火锅的渔夫君,"买大K纯属偶然机会得知这个车的优惠力度很大，再加上年底本地有车展，就去车展上问了一下，各种优惠下来可以少5w现金，相当于裸车15.79，这价格瞬间让我心动了。第二天拉上媳妇再去车展，让她也看看，同时看了16w左右的车，无论是深蓝SL03、S7，起源Q05、宋plus、哈佛大狗2，都不入我媳妇的法眼，期间唯一让她看上的车车是起源A07，但是我不喜欢轿车，就没选它。毕竟看过大K的空间和内饰后，对同价位的车完全提不起兴趣来。这就相当于拿宋plus的价格买唐dmi，大K对于16w左右的车来说简直就是降维打击。至于操控什么的，比我开了8年的cs75好多了。虽然智能化程度比不过深蓝和比亚迪，但是对于市区通勤+偶尔外出自驾游的家庭用车来说，已经足够。
          咱车这外观简直就一个帅，眯眯眼加大背头，妥妥的大哥风范，气场完全不输图片里的蔚来。流线型的车身带来更低的风阻和风噪，配合双层夹胶玻璃车窗，车里的噪音源基本上就是胎噪了，静音性相对来说也好过我试驾过的友商plus。至于空间更是没得说，小孩可以在后排放个小桌子写作业，大人可以潇洒的翘个二郎腿后离前拍座椅还有很大一截空间。
         从提车回来后，每天都是上下班在城区通勤+接送娃儿上学放学，给我最直观的感受就是ev模式下行驶的舒适性，没有了换挡的顿挫，没有了发动机的噪音，剩下的就只有舒舒服服的按摩座椅带来的享受。纯电模式带来的另一个优势就是提速快，等红绿灯的时候油门一踩轻轻松松从0到40迈，还没有换挡的顿挫，简直舒服得不要不要的。当然也试过几次馈电情况下的发动机介入，的确如网上说的那样有顿挫感，但是这种顿挫感对比我的老cs75来说，完全可以接受，现在唯一就差一次长途旅行，来试试它一箱油能跑多远了。
         至于这个车机，我也没啥好说的，因为很久没ota升级过了，导致网上一片骂声。不过对我来说，只要能连蓝牙听歌，能听调频就行了，开了8年cs75的我早已养成了用手机导航的习惯，而且用手机导航得来的积分换过矿泉水、红牛、雀巢咖啡、京东E卡，这不比车机导航香么。
          大K是我人生中的第二辆车，第一辆是陪伴了我8年1.8t自动挡的cs75，无论是功能、空间、动力、内饰、舒适程度，相比cs75来说都是鸟枪换大炮的提升。提车到现在20来天了，开了1000多公里，对大K的一些功能还没完全摸透，而且到发帖的时候还是临牌（就是想体验1个月的临牌生涯），等开到2w公里的时候再来发一下深度用车感受吧。",2023-12-10,重庆
奔跑的大K灬,本来去 4S 店看 Z6 idd 店里太会了，把大 K 放边上一对比小了不止一圈，谈了 3 天还是提大 K，刚开始纠结点一个是车时间最新都要 2 月底，时间有点长了都可以算库存车了，还不愿意给太多优惠，二是颜色没有我想要的量子灰，最终还是订大 K 主要就是外观跟空间太对我胃口了。搞笑的是因为日期问题谈了几次，最后多优惠 3000，送了充电桩保养，结果交给我车居然是 4 月 30 号的，销售说我运气好，我不知道他们怎么查的，怕问多了给我取消了也没多问啥情况。 目前油耗还是比较满意的，跑了 600 公里，市区高速各一半，刚提车就加油加了 300，后来电充了 4 次（提回来电满的算 5 次），每次电费大概 20 左右。目前油还剩 500 公里续航，电还有 100 公里，感觉油加多了。充电桩还没有到，充电都是在外面快充一小时就充满，找的 2 小时免费停车地方不用停车费。配置还是比较高的，没有自动泊车跟女王座椅好像其他都有（不确定）。偶尔我爸开下，所以设置俩个人座椅记忆，很方便不用每次都耽误时间调座椅后视镜，不确定是不是有人脸识别，有些功能还在摸索中，语音 手势操作都是方便日常使用。目前发现缺点就是导航版本比较老了一直没有更新，车道 读秒都没有，手机导航早就出来功能，希望早点更新。,2023-08-26,武汉
我的大K,"一、盲定。

和家人商量了很久，对比了比亚迪唐和unikidd，考虑到配置以及第二排的舒适性，还有外观方面，最终决定购买unik智电idd，在网上看了2月13号上市，为了争取一些优惠，我在2月12号在成都4s店进行了盲定！

二、提车

3天，2月15号4s店通知车子到了，灰色外观黑色内饰。当天去看了实车很有质感！选的没错，黑色内饰也好打理一些！

我是全款所以交钱，出发票，很快！

保险必须在4s店购买，我买了100万的，加上交强险是4080元。当天我上了临牌就开走了！！！！

三、上牌

我是在手机app上选的，自编根本选不到。后来手机随机，运气爆棚，95399，长长久久，九五之尊！！上牌我是自己取的，有个螺丝刀就按好了，很简单！

四、纯电续航

官方标定135公里的纯电，我开了二十天左右，目前最长的纯电是109公里！符合心里预期，这个里程是眉山到成都，百分之95是高速路，最高时速135，没有开空调，当天温度16°左右。

五、燃油续航

目前开了1300公里，没怎么用油，只加了300块的92号汽油。加满油显示续航为895，我感觉实际应该只能跑600左右！有点欢乐表的意思！

六、驾驶感受

悬架系统更换铝合金之后，支撑性确实好了很多，高速变道得心应手！有电驾驶没有顿挫，没有电的时候起步有顿挫，速度上来以后没有顿挫！配置那些就不说了，各种配置都挺好的！

七、综合评价

4s店服务要提升！

车子值得这个价格！

燃油续航表要改进！",2023-02-28,成都
上车开拍,首先在外观上，长安UNI-K 智电iDD延续了老款车型设计，前脸还是配备无边界式进气格栅，并融入了专属发光车标，前脸下方雾灯区域配备的“三叉戟”式LED日间行车灯，营造出运动、年轻的时尚感，除此之外并没有太多的惊喜。相对于来说，侧面的造型还是比较彰显气质的，其腰线一直延展到两侧尾灯组上方，前低后高的腰线走势配合逐渐向下收敛的车顶弧线营造了向前俯冲的效果，再加上前后门板下方均采用内凹设计来增加车身侧面的立体感，还配备了隐藏式车门把手，21寸大轮辋，以及很是抢眼的橙色刹车卡钳，车身线条方面深得我心。 内饰上，长安UNI-K 智电iDD有自己独特的个性，平底式多功能方向盘搭配中控台上分别由3.5英寸、10.25英寸、9.2英寸组成的液晶仪表和12.3英寸悬浮式中控屏，极具科技感。 配置方面，像67英寸全景天窗、索尼高级车载音响系统、AQS内外空气自动循环系统、IMS智能座舱交互系统，AEB自动紧急刹车、FCW前碰撞预警、LDW车道偏离预警等多项主动安全技术，以及360°高清全景影像、透明底盘等实用性极强的配置也是应有尽有。 动力上采用由1.5T涡轮增压四缸发动机+电动机组成的蓝鲸iDD混动系统，发动机最大功率170马力，最大扭矩255牛·米；电动机最大功率110马力，最大扭矩330牛·米，这样的动力组合，不管是在什么场景下都可以说是绝对够用，而且和其他竞品车型的3缸比起来，UNI-K 智电iDD用上四缸发动机也绝对是厚道的。 续航方面，新车的NEDC纯电续航里程135公里，而综合续航里程将超过1000公里。 总结一下，由于大家都知晓的南北差异和季节差异，如果是纯电续航工况不能超过500公里的车型，在北方，尤其是冬季的北方很是让人焦虑，而有了像长安UNI-K 智电iDD这样的新能源车型，再冷的北方也不会让你着急。,2023-02-13,
梁凉凉ya,"这个月5号提车，已经七天了。跑了一千一百多公里，其中高速跑了大概700公里左右！简单的和大伙谈谈我的购车经历以及提车后的一些个人驾驶体验?

【购车经历】
一开始我是在1月31号引力域下定了uni-v的，之所以转定unikidd有两个主要原因：1.当地4s店乱收费（本人贷8w，需要1.7k的前置利息，并且一分不让，还有开口就要1.5k的GPS费用！！！还价了很久说现在已经没有这个费用，结果最终只能砍到500！）我觉得是因为当时我享有一个盲订终身免费基础保养的优惠，所以4s店就吃定我会定这个车，所以乱收费还不让价，3k的服务费是基础，还要多收我两千多！所以当时我马上走人，去了隔壁的比亚迪王朝店，并且试驾了宋pro dmi，但因为4s店告知最起码等3个月而犹豫了。所以就回去了，在懂车帝又开始看长安的其他车型，先是看了unik，然后又有idd版本的，最终想买的是宋pro dmi和unikidd，然后一直犹豫，等到了3.10unikidd上市，本以为上市会有优惠，没想到福利更少，最终因为看到车友圈的消息说idd4月涨价，在3月21号去4s店下定了unikidd尊贵
【提车价格】
我首付7.7w，贷12w，其中4s店收了我500gps，1000的前置利息（本人大冤种）3000服务费，5640保险。当时着急定，加上当地疫情不能去其他城市，所以只能先定着了。后面加了车友群，在车友的建议下，成功薅到五百块钱的油卡，算是小小的安慰吧！
【最不满意】
最不满意的就是4s店销售在我定车之后，以先交首付提车快为由（说交了首付只需要等十来天就可以提车）让我先首付，然后在4月15日车辆匹配到了之后，一直到27号才发运！！！并且发运之前4s店居然让我贷款办理放款才可以发运回来！！！！真的是惊到我了，打电话问客服，客服一问三不知，只知道反馈给4s店什么的，我要是能和4s店达成一致我还打电话问你客服干嘛？？？服了这个老6，一直踢皮球，最终我不能不妥协，24号办理了放款手续?最终在提车的时候，在评价收车以购物体验差评为由，薅到了五百块钱的油卡，真的是食之无味弃之可惜！
【驾驶感受】
我才拿驾照不到一年，只开过秦plus dmi，宋pro dmi，宋max和驾校车、考试车，所以我可以说没什么驾驶经验。我个人觉得这辆车的总体驾驶感受是最好的，但平顺性还是秦dmi和宋dmi好一些！而且有座椅加热和通风，非常舒服。其中开高速的时候，集成式自适应巡航非常好用，我在高速上基本都是开集成式自适应巡航的！不过有一个小小的缺点，那就是路过大货车的时候，不会稍微远离大货车一点点，所以路过大货车我都是双手放方向盘上的。还有就是馈电的时候，低速顿挫还是有的，只是没有油车明显，还能接受。
【乘坐体验】
后排我朋友开我车我做过一次，真的很大，也很软，是我坐过所有车里最舒服之一。后排座椅是短了一点点，但对于我1.7米的身高还是刚刚好的，至于驾驶位，有腰托，跑长途不会太累，总体感觉非常舒服，我也很满意！
【动力表现】
动力方面已经非常足了，别看电机功率小，但高速上纯电居然能跑到130，而且给我的感觉还是有力的，我没敢开太快，加速一点也不含糊，想怎么超车就怎么超车！
续航方面，一共加了两次油，两次200块钱，显示油的续航是800多，其中充了很多次电，跑一千公里的时候还剩下265的油续航，剩下的放图里了，大伙可以看看。
最后说一下，外观我是真的非常非常喜欢，但我爸和我姑看了觉得不是很好看，哈哈。然后就是配置方面，该有的基本都有了，功能齐全，有个小小的不足就是后排居然没有氛围灯！智能化我只能说，和没有差不多，相比新势力的，简直不堪入目，ui基本就是unik的，保养还不把纯电里程和燃油里程分开！！！这个可以看看隔壁的比亚迪，人家这方面就做得很好，还有就是系统也不是开放式的，app非常少也就算了，还非常简洁，QQ音乐非常的不好用，歌单不能同步！至于其他的，目前还没有发现！
总体来说我还是挺满意这个车的，在公司充电也不花钱，爽歪歪哈，白嫖哈哈哈哈哈?",2022-05-13,防城港
