字段1_文本,字段2,时间,字段3
专业级躺平选手,"【提车价格】
100尊贵苍烟灰，全款，裸车21.58w+保险6400+升级龙膜底盘护板2200+上牌等870-政府补贴5000约等于22w。
【购车经历】
非刚需打算23年买车亏，其实本来并不着急。2月一个下午随机找了个盛世的店看看，看了宋plus，在等待试乘的时候发现了护卫舰，摆弄了下有点心动一看价格觉得可以接受。和护卫舰对比，宋plus后排有点逼仄。驾驶位的空间和护卫舰比较，还是护卫舰更舒适，虽然座位是仿皮的，但更软。试乘感觉护卫舰隔音明显更好。转去王朝店看了宋pro感觉一般，隔音=无直接劝退，唐感觉有点矮，肉眼感觉二三排有点鸡肋，而且当时是21款低配我觉得也不太行，我觉得唐有点老气和油腻了（个人感受，轻喷）。冲动下买了护卫舰07。

【驾驶感受】
用车场景：城市道路偶尔跑，过年过节回村几次。

1.续航方面：
坐标：浙江，普通模式下亏电油耗百公里5.3L。HEV强制保电下油耗百公里4.8-5.1L。折合约0.37-0.43元/每公里。纯电0.2元/公里（没有车位，小区随缘充商电1.4块一度）。
2.驾驶体验：
新手开车习惯稳一点。动力方面随给随有，高架上加速非常快，发动机存在感比较弱，只有HEV强制保电刹车停止偶尔能感到一点点波动，以及上坡时没有泊车一次溜车发动机原地启动声音非常大。其他时间基本上感受不到发动机（低于10km/h下为模拟引擎声，可调）。刹车方面有运动和舒适两种可选，舒适比较软接近油车，运动有点硬但不如电车，整体上还是非常舒适。转向也有运动舒适两种，舒适会轻松一点。但是护卫舰07本身方向盘是比较重的，本人女一般都开舒适模式。如果高速状态下切成运动+车道保持会定速巡航应该非常爽。

3底盘：走烂路舒服多了，补丁路面没有不适感，非常差的路有点晃但不颠。提车时候胎压一般偏高会有点跳，一定让4S调正常了。整体给人感觉很稳重有安全感。本人新手司机别的车也没开过体验过。基本上这台车是可以满足我的需求。
4隔音：看路况和速度，80左右路不好有一点胎噪和一丢丢风噪。新修的路就胎噪小很多。除了胎噪其他噪音可忽略。城市普通道路隔音比较好好。
5.智能化：高德定制版能用，提醒也比较早，路况情况更新很快，基本上满意。360自动泊车，因为21.58摄像头少一点，所以四个角有点盲区，但是在倒车快要碰到东西时，会自动刹停，适合新手。不过建议不要完全依赖360，和自动刹车。
6其他：停车有点难。
7.底盘还是比较高的，电池包比较高，底盘最低点应该是车头位置的线束护板。

【最不满意】
1.记忆座椅没有实体按键。目前就我一个人开车就还好，如果两个人我也不知道怎么调了。
2.有点鸡肋的杯架，只能放钥匙。
3.方向盘左下居然没有储物空间！哈？不理解。
4.中间后视镜白天正常，晚上太黑了，晚上只能看见后车的前灯。
其他关于仪表盘和门把手以及车头的BYD个人没有任何不适应。我觉得门把手挺有趣的，直接减少了左右两侧不看后视镜的开门杀。
车头的BYD实车上没有图片那么明显，存在感没有那么强。
仪表盘够用，带抬头显的话可能不太能用的到仪表盘。不过我3D眩晕盯运动中的静态物体会晕，所以hud用不了提了21.58的版本。

【最满意】
1.最大的惊喜：虽然车很大但转弯掉头相当灵活！！！遇到一次大车左转不打转向灯不让直行，灵活的转向+一脚油门直接就让我躲过去了。
2.空间！空间！还是空间。对于我170的身高来说刚刚好。后排可翘二郎，后备箱很大，24-26寸行李箱我们轻轻松松直接装了四个。
3.苍烟灰非常耐脏。适合我这种懒人。

【乘坐体验】
提车之后都是我自己开，不过根据坐了的同事朋友反馈，舒服是真的舒服。副驾腿可以伸直。希望能早日培训老公开车我就可以在副驾享受了。

【总结】
很多人把这个车跟唐比我个人觉得不是很合适。因为这俩车风格给人感觉就完全不一样。我是直接和宋plus比，就是愿不愿意多花四五万买隔音底盘空间更好的车。我的答案就是我愿意多花一点换取我的家人和我更舒服的体验。综合来说，我认为它是一个合格的舒适型家用车。",2023-03-08,杭州
Z护卫07,"个人对该车定位：家用车，真的只是家用车
买车的时候就是空间和乘坐舒适去的。试车的时候一家五口都坐上了，还觉得宽敞，就下订了。其他的车就看了zrv，皓影，唐和宋plus，原来开了6年飞度。选择护卫舰最主要的理由就是空间和舒适，唐的7座是真鸡肋。此外就是电动起步加速的线性丝滑度真是油车感受不到的。原本还打算比对哈佛的几款，但很难找到家里人都满意的，就不折腾了（一个是懒，而且有甘作全家人的司机的觉悟）。

先说比较满意的地方，主要是怕下面吐槽的狠了，大家觉得我脑子有病，有这么多槽点还买。买车前也在懂车帝上也pk了一圈，配制和性能在这个价位上你也不能让他再高到哪去了，评价还是那个词，均衡。
1. 油耗满意。最近在跑HEV里程，基本沈阳市区跑。强制保电，eco模式不到7个油，normal和sport不到8个。智能保电，设置百分之多少都无所谓，基本不到25以下不会频繁的发动机介入，所以电也保不住，油基本不耗。高速开空调表显6-8个左右，五一太堵，车速不定，而且我设计的动态里程，感觉算不准，以后有机会再实测一下。但是这么大的车，油耗没有惊喜，但满足预期。
2.隔音满意。看到有的说发动机、胎噪、风噪大的，我感觉没那么明显，无论市区还是高速，不留心不会注意到。
3.音响满意（即使我这个不是丹拿）。这个东西还是跟音乐质量关系较大，我这耳朵也不是专业的。最喜欢玩音场位置控制，儿子要听歌就安排在后面放，否则我要烦躁死。
4.乘坐空间满意。一米八二（男人的对身高精度的执着），驾驶位置空间错错有余，而且方向盘前后可调节尽管尺度没多大，但足够解决我臂展短的问题了。要不然的话，胳膊舒服了，膝盖会顶；腿舒服了，上身就得背直。
5.视野满意，主要是A柱不挡视线，这个可能因人而异，但是我觉得位置和角度刚好，治好了我的A柱盲区焦虑。
6.你好小迪反应可以，基本满足日常操作。同时中控保留了些实体功能键，也就不用在PAD上找来找去或者跟出声了。
7.底盘质感啥的我不懂哈，但是没有点头现象，也没感觉有明显侧倾，高速上稳重。
8.加速挺满意的，170的时候也没啥异常感觉。ECO normal sport三个模式主要感觉在踩踏板后的灵敏度和输出上升快满有关系，再各个速度阶段没发现疲软的感觉。

关于槽点呢，选车的时候就已经留意到一些了，但权衡一下还是觉得整体上在预算内算是性价比够高，够均衡的一辆了。当时也就忍了（作司机的觉悟）。开了一个月，有些槽点我还是觉得给注重驾驶体验的人分享一下：
1、最大槽点，中控区设计！我感觉这块的设计完全是几个领导拍脑门定的，这种既要又要的矛盾感充斥着整个中控区，额，，，反正就不是给司机设计的，司机也是人，考虑司机的使用场景好不好～既然保留档杆在中间，我也感觉保留较多的使用功能键挺好的。但那后面的是水杯架么？最好是我意识low，那其实是个放纸抽和小物件的收纳空间，只是做成了杯架的样子。那个水杯架设置在那个位置，放个水瓶、咖啡啥的，中控区尤其是档杆就别扭的要死，特别的碍事。而且又小又浅，内壁的橡胶凸起估计是胶粘的，我都不敢放热饮怕烫坏了。后面又大又深的收纳空间又是考虑的什么场景呢？放雨伞？放个塑料袋给后排当垃圾桶？中控下面的空间是挺大的，放个小包、盒子啥的没问题。但是拿取的时候别手（不知道算不算方言，大概的画面就是腿让开，身体前倾，胳膊斜向下插，盲抓）。而且那里的照明灯为什么不能单独控制？！晚上副驾驶没人的时候真的很反光！本来贴了膜后视镜就看不清，反光更是得适应个几秒（别跟我说有全车影像，又不是只有倒车一个场景，那个灯的开关连的是近光灯，夜间行驶一直亮着，老司机看镜子的习惯已养成）。
2. 拐小弯、急弯、掉头等时候，不能深给油，多次出现方向盘不回正，甚至出现夺方向盘的现象。跟售后也没讨论出个所以然来，目前推测是轮胎打滑了，但也没找人来帮验证一下。方向盘是真重，建议急弯或者快速过弯的时候一定要及时调整方向盘。
3.方向盘太沉，而且感受不到那种路面的反馈，不知道是咋回事。准备有空的时候找售后跟方向盘回正的问题一起检查一下。
4.车机的问题，虽然是上市不久的车，以后可能会有升级，但是翻了翻其他byd的车友圈，感觉真是那句“你可长点心吧”。为啥没有百度地图车机版的？连百度地图车辆认证里有没找到护卫舰07～～～情何以堪。5个g的流量，也不够用啊，能不能考虑整个手机屏幕共享啥的？
5.智能驾驶啥的，可能是我预期比较高，但是目前的感觉就是想把定速和车道那俩键给扣下来。定速那种加速、制动来回的拖拽感太折磨我了。车道居中我没用过，高速的时候我只信我自己（车里还有自己的老婆孩），低速的时候用不上。主动刹车这种功能希望一辈子也体验不到，而且我认为司机就是安全的责任人，所以这种功能对于我来说是种坠余。
6.目前已经开了一个月，但还是能闻到轻微的胶味，来自于门侧......",2023-05-06,沈阳
叶尾壁虎,"【购车经历】
纯电或者混动，真的绕不过比亚迪，看过来看过去还是回到比亚迪！
很早之前就试驾过唐DM，对动力，安全，空间等都很满意，唯有外观不甚满意，细节地方处理的也很糙
后来的秦PIus DMi，宋PIus DMi，汉DMi，外观越做越好看，细节处也有很大改善。奈何秦和汉都是轿车，等来了宋Plus DMi上市，但怎么看都没有心动的感觉😂
直到22年12月听说23年购置税减免优惠和国补要取消，觉着还是先提一台宋Plus DMi吧。去到4S店刚好看到一台没有电的护卫舰07展车，坐上感受了一下，看了下内饰和外观，确实还是有不足之处，但还是心动了，于是交定金等车

【提车价格】
价格方面没啥说的，一分钱都砍不了，100旗舰22.88万，上牌500，抵押300，平安保险+交强险5900多一点，额外加了1899的店内保险（所谓的保轮胎和重大意外车损，说白了就是4S要赚这个钱，不买还不行）

【驾驶感受】
驾驶感受方面感觉都还不错！
静态状态下车内轻微晃动会感觉车摇动（比如抖腿），但是在行车状态下，不管是弯道还是坑洼路面，感觉挺舒适的，该虑掉的都虑掉了，该反馈的也都能感觉的到
【油耗】及【续航】
折腾上牌跑了2天总计53公里，温度-3--11度，市区道路，充了一次电20%-99%，1小时22分钟，平峰1.131元/度，消费20元
正常充满电应该能跑80公里左右，这次跑了53公里是因为排队上牌等的时间太长，两天差不多待机了十几个小时看电影，听歌等
昨晚第二次充电，20%-100%，1小时33分钟充满，充电17.04度，费用13.43元

【空间表现】
车内空间很大，很大，很大，真的很大，后排可以跷二郎腿
【维修成本】
维修成本方面我觉着3年或者5年后应该会不低，车上电子产品太多，电子产品都有使用寿命，会不会像消费类电子产品一样？等待时间的验证
【亮点配置】
前排静音玻璃，后排隐私玻璃，车道保持，全速自适应巡航，驾驶员疲劳检测，自动雨刷，全自动大灯，车内氛围灯，车内触摸照明灯等等全都有
这里主要说下主副遮阳板上化妆镜有一个盖子，盖子打开，镜子上方有一个小的照明灯就会自动亮，盖子关闭照明灯就会自动关闭，挺人性化
另外，音响效果确实不错，
【最不满意】
最不满意的地方是驾驶位的仪表盘了，还有车头的外观",2023-01-05,郑州
换旧符号,"我自己学车比较晚，2019年41岁了才拿到驾照，第一辆车不敢买太贵的，入手了迈锐宝xl2.0t锐动版，当时不懂，买的这个版本连倒车影像都没有，新手用起来是何其困难，而且还是卤素灯，挺不满意。开了四年，刮蹭和轻微碰撞三次，自己加了个倒车影像，结果大屏反复死机重启，上班路上20公里能死机4-5次，倒车影像用了几年也不出图像了，虽然可以千八百再换个新的，但实在草鸡了。因为现在住的房子是老学区房，没有充电条件，虽然想换新能源，也一直拖着。

23年新买的房子装修好了，有车位了，可以装充电桩，就不在等了。我的用车场景是每天上下班往返50公里，90%时间一个人开，去年十月盲订海豹，但去4s看后放弃了，一是轴距虽然长，但是空间着实不大，一个人开也有点憋屈，我习惯右腿靠着扶手箱，海豹的大屏横过来，老是硌我的腿；二是每年春节回家一千多公里，纯电上路太焦虑，我对象虽然还有台chr，但是太小了，过年回家拉不了行李；三是4s店当时太傲娇了，官方送的遮阳帘，他们居然要加钱买，爱理不理，干脆拉倒！又不是没车开。
后来又看了小鹏p7，埃安v，奥迪q5e，汉等等，但都是对纯电焦虑没订，汉dmi挺好，但是不喜欢那个前脸，唐dmi也是。
3月份的时候，我们这儿新开了一个比亚迪海洋店，就去看看，首先感觉就是服务好多了，看的时候发现了护卫舰07，第一感觉外观上对得上眼，很多人不喜欢的内饰把手，我觉得也是加分项，车内空间极好，比同事的urv一点不逊色。我对象还想让我换油车，我自己是对油车丝毫无感了，在我这里bba感觉和迈锐宝是没啥区别的。于是拉着老婆一起试驾了，试驾完老婆也没啥意见了。

于是说定就定，定的是21.58天青色那款，销售说10天到，回家第三天就说到了，但很快又说看错，到的是22.88万的，我问这个有人定了吗，销售说没有，我说那就提这个吧，预算没问题。

提车办手续也很快，一天全从交款到挂牌搞定，4s效率挺高的。只是我想付全款，4s不乐意，能理解，就办了贷款，服务费4500。付款的时候，4s说我对象的电话号码不是本人实名（我家手机是子母号，都是我的名字，买车是挂我对象名下），贷款审核不通过，让我先交了全款，后续我对象再办个手机号，再转贷款……这一通操作就让我们白白垫资了大半个月，果然售前售后还是两张脸……。还有要吐槽的是，承诺的脚垫后备箱垫，一直以没货拖着不给，直到一个月后我向厂家投诉了，第二天就给我送来了。我是船夫哥正经的校友，选比亚迪一定程度上是出于对校友身份的感情，不过4s这服务真是有点伤感情。

说说使用感受吧，提车一个月，跑了1500公里，北方三四月的温度。

首先是纯电续航里程可靠，买车的时候销售说dmi续航不打折，标多少就差不多多少，当时还不以为然，事实确实如此（不知道冬天如何），100%-90%掉电快，80-30%区间电量很实在，1%的电跑的里程大于1公里，从100%-25%保电，跑80多公里没问题；

其次，油耗我觉得虚标了，提车当天我加了一箱油，满油续航显示1030公里，现在油量还剩41%但hev里程只有380公里，也就是满油纯油续航应该是644km，跟一般油车差不多，研究不够仔细，不知道我的算法是不是正确；

驾驶感受方面，提速很快，迈锐宝加速就比较出色，但是红绿灯起步，0-80应该是护卫舰07更快，毕竟电驱。车的隔音很好，发动机声音只在馈电保电时有一些，路燥风燥很小；减震做的蛮好，不颠簸，有韧性，转弯侧倾也不明显；方向盘运动模式很重，调成舒适模式就好一些；喇叭确实要用力按；车身厚重，不如迈锐宝灵活，但质感也好很多，相比之下迈锐宝车身感觉像是薄铁皮，这个就是厚钢板。

智能化和舒适性，比亚迪的智能化在电车里不是领先的，所有车型统一的大方屏我就不是很喜欢。但我也没那么多驾驶经验，和迈锐宝、chr比，护卫舰的智能化起码是从练气期升级到金丹了，我家二宝都惊呆了，每次坐我的车都要说n遍：哇，爸爸你的比亚迪好高级！她最满意的就是可以在车里看猫和老鼠。看吧，国产车更高级的种子已经在小朋友心里种下了。自动驾驶我是不敢用的，顶多就是自适应巡航跟一下车，方向盘是绝对不会撒手的，所以也没啥期待和不满。语音助手还可以吧，跟小爱同学小度小度都彼此彼此，不功不过，当然比燃油车车机方便多了。360，盲区监测，后车预警，现在已经是国产标配，从迈锐宝置换过来，也算是从旧社会进入新中国了，这些没和其他国产车仔细比较过，自己觉得够用的，也好用。车内空间，这么大的个头，做成了大五座，自然是足足的，当然我日常一个人开有点浪费。

总结一下：护卫舰07是满足家用的好车。舒适性和功能性都良好，空间一流。内饰嘛-对于原迈锐宝车主，只要是个电车，内饰都是母猪上树，升级翻倍了。纯电里程（非冬季）不虚，纯油里程存疑（我觉得是水分大的）。遗憾，应该上205km版本的。",2023-04-27,东营
叡锐瑞蕤,"简要说下这么选的07
我先看的是宋plus dmi，老婆嫌弃空间小和配色丑（我也不知道为啥它尺寸跟奇骏差不多，但是就是觉得空间不行）；然后22年7月订的唐dmi，于我内心是不太满意的（最主要三条：比奇骏还晃悠，老婆在二排都快吐了；我着实用不上五座，对我来说过大了；老婆不喜欢唐的内饰），处于提与不提两可的状态，然后07开始预热宣传，各种视频都反映不能接受唐的点都有改进，我就顺势改订了（在发布会之前订的），那会也还没完全下定决心。最终，1月初试驾了一回，才下定了决心。

外观：见仁见智，对于我就是属于好看、耐看；
内饰：可以吐槽的地方太多了，门把手会用就还好，但是老会遇见要教别人怎么开门；前排杯架说实话不如换成个储物盒，给了相当于没给；仪表盘逼得我选了旗舰，宁愿去看hud也不想看这个；座椅有点硬；其它都是中庸以上，优点居多；
配置：在这个价格，能给的都给了，也不画龙了，虽然辅助驾驶横向比较，还是算比较弱的，但是能感到进步；自动泊车在安全性方面还得加强，毕竟都有这么多雷达了，软件上应该能做得更好；觉得可惜的是没得方向盘加热、老板键；略微不喜的是空调风声大；最烦躁的是座椅记忆没得实体键，小迪又没法调；
空间：没啥说的，安逸、巴适；
续航：贫穷使我没上200，听我的，有条件一定买200的；我给五星是因为它的续航达成率不错；
智能化：处于还行的水平，但是可玩度高，我是懒得折腾；
驾驶感受：完全不像一台2吨的车，城里非常灵活（停车除外）；NVH也没毛病；底盘方面前面试驾过比亚迪的所有dmi车型，可以说是2023年1月这个时点，比亚迪底盘质感最好的dmi了，FSD确实优秀。

图呢就放些我买的小物件，这几天下雨，车脏，没拍。",2023-02-10,绵阳
铁蛋超人77888,一个老汽车人对这款车的真实评价。 又开了一周后，新的总结（上次为了懂车帝认证发的有点草率。 本人之前从事汽车行业6年，效力过上汽大众和一汽奥迪两个品牌。做过销售@也做过管理。这几年从事的行业也是经常跟4s店打交道。基本算是熟悉各个中高端品牌。 下面说正事： 这是我的第五台车、第一台是12年刚工作时候买的03年二手四眼polo，开一年后卖了。现在车主仍然在开，20多万公里，基本没毛病。第二台车是大众两箱polo，开了两年换了大众途安L（提完车就辞职开途安去了趟西藏），polo没毛病，保值，就是空间小。第三台就是上周卖的大众途安L，置换比亚迪护卫舰07，给了3000置换补贴。第四台车是19年给老婆买的生日礼物还是polo，一年多跑了不到一千公里，她对车一点兴趣都没有，因为我们是小城市，她还是更喜欢自己的雅迪。所以一年后又卖了。第五台就是本次的护卫舰了。 选车经历：之前一直关注的是极氪001，试驾过两次，驾驶感受真的牛逼，底盘感觉比A6L还要好（做奥迪的时候最喜欢的是A6allroad）。极氪除了车机，其他地方基本满足了我对车的所有要求。也关注过华为问界M7，朋友半年的新车，高速120以上方向盘抖动厉害。果断不考虑，那是一台只有车机牛逼的车。如果极氪001用华为鸿蒙座舱，可能我现在应该是在极氪001车友圈发帖了。 在一个月之前我从来没考虑过比亚迪，因为前段时间一个朋友到比亚迪店当总经理，我才真正关注这个品牌。他向我推荐这台车的时候我还没什么感觉，碍于面子试驾一圈后，哎呦…真他么香～然后就交钱了?? 用车感受： 优点： 1、电车真的是开了就回不去了，静音、丝滑、智能。 2、超大空间(我强烈建议不是特别必须的，就不要买6-7座车，坐满了出去旅游后备箱太小。两年一次审车也麻烦。偶尔出去租车或者借车，成本都要低的多，为了小概率事件影响长久的舒适)，之前坐过同事的冠道，那后排真的不错，不过冠道油箱小，油耗高，续航短，加上是小日子的车，不喜欢。护卫舰后排空间真的绝了。 3、可能因为天暖了，纯电续航不打折。 4、丹拿音响确实挺香的。 不足： 1、杯架是我见过最垃圾的，太小太紧了。东鹏特饮都放不进去，我的刚几天里面的胶套都掉了一个。 2、内测门把手，有个性但要经常教育乘客开车门。 3、开了新能源，我他么格局变小了，之前500一箱油，从来没眨过眼，现在既然关注电费是一块一还是一块五??? 总结：本次购车，非常满意。国货当自强、大国品牌，比亚迪加油、中国汽车加油。,2023-05-09,亳州
Kawasaki9663,"【购车经历】
当初订车一心想提汉dmi，家里人说去海洋网看看海豹，进门就发现了硕大无比的护卫舰07，第一眼就是觉得大，后来听销售讲解了4连杆，苹果NFC后，心里还是觉得主驾屏幕太小，直接pass  后续再试驾的时候觉得抬显Hud做的是相当棒，又不甘心的试驾了一圈汉后直接选择护卫舰
【最不满意】
1.水杯架！懂得都懂  放个苏打水都费劲！放个水杯太影响驾驶体验   
2.还有360影像真的没有汉那么清晰 总体还能凑活  
3.主驾驶屏幕太小，这个在行驶的过程中有hud还能忽视  

【最满意】
这么大的车提速方面还是挺棒的，一公里6分钱真的把我同事羡慕坏了，尤其下雨天当着一群人的面遥控把车开到身边来直接效果拉满（同事的特斯拉这个功能要多加3w）。当初朋友订唐的时候我还想着有傻x花20多万买byd，自从跟朋友看了一次汉后，觉得这也太香了哇，简直直接对比56E 直接秒下订单 ?  


【销售态度】
态度emmmm一言难尽，看群里大哥们的感觉可能是我这个店的个别销售人员吧……未交钱你是他爹，交钱他们是你爹，各种拖延各种敷衍 ，全款交完钱正常来说3-5天就可以上牌 ，到我这就是银行这的呢的一直拖，微信说好下周一才能上牌，打了投诉电话后告我下午就可以上牌（当天周三）我也是无语。

总体来说车的体验是相当阔以的，每个坐我后排的朋友上来第一句话就是：我靠，后排这么大！  第二句就是这门怎么开呀 ?   车是好车，可能就是知名度没有其他系列那么如雷贯耳 所以希望不要被刺老车主喔。",2023-03-16,西安
熊猫加菲猫,"买车一月发动机故障两次  内饰破损  座椅记忆混乱 座椅迎宾时有时无
【购车经历】
护卫舰07发布会当天在比亚迪app上订车的，知道比亚迪订单多想着三四月份提车，年前销售打电话说他们店里到的第一辆车给我先提，当时犹豫了一下在想新车会不会不稳定有问题，最后还是没忍住新车诱惑一月十二号就店里提车了。没想到还真是怕什么来什么！！！

【最不满意】
2023年1月12号提车，1月21号车在行驶过程中车辆系统自动从hev模式切换成ev模式，再无法切换到hev，发动机无法正常使用，最终车在路边抛锚。当时车友建议我在懂车帝把这个情况说分享一下，看看还有没有其他人有相似的问题，我就把情况发出来了，但是很快比亚迪销售人员打电话给我说对他们有影响，让我帮帮忙删了去，大过年的我一心软当时就给删了(有图为证)。
昨天去外地回来的半路上车辆再次出现发动机无法启动的情况，想办法把车弄到了4s店里检查的结果是找不到是什么原因造成发动机无法启动的。
刚买车一个星期发动机就故障（行驶了500公里），使用一个月发动机再次故障(行驶了一千公里)，我现在完全不敢把车开上路了。
除了发动机故障还有内饰两处破损，一处是方向盘右下方的那一块翻毛皮包裹出有一道口子，另一处是中控扶手箱旁的皮质包裹应该是出厂就没包上。最奇怪的是这两处破损都是驾驶位的视线盲区位置，只有坐在副驾驶才能看的到。
再就是座椅记忆功能完全混乱，1和2的切换，座椅只向前移动不向后移动最终把膝盖顶在方向盘上腿都拿不出来，还有座椅迎宾时有时无，副驾驶储物柜开关按下也无法正常打开。
良心话说当时选择这车就两个原因，一个是二十几万想买个大五座，二再就是支持比亚迪，想也为咱们国产车崛起加点砖添点瓦，怎么也没想到能是今天这个结果
网上查了一下说购车60天内或3000公里内发动机故障可以申请退车，现在正在和厂家联系，等处理有结果了再和各位车友分享吧。
最后感谢圈主推荐",2023-02-17,兰州
小贾的滴滴,3月19号提车到现在跑了2000公里来说说感受。总体上感觉还是相当不错。优点有点一大堆，网评的优点一般都符合事实。今天来说一些缺点1.方向盘重，试驾的时候可能有点激动没有体验出来，跑个长途试试就知道了，而且朋友开我车的第一反应也是方向盘重。2.主驾座椅调节有异响（座椅向后推，推到头松手再推会有电流声，副驾就没有。可能是个例等我去4s店在看看)3.车速在89到90迈的时候会有微弱的顿挫感，就上90这个数值的时候可能是发动机直驱？具体也不清楚。4.续航有点虚标满油满电差不多8-9百公里。5.在高速上充电周围没有其他车充电的情况下，我从26%到100%用时50分钟。6.品控不是很好，后备箱左右缝隙不一样大，仔细观察后尾灯有一些小坑，是塑料制品那种脱模时留下的小点。以上就是最近用车发现的缺点。还有油耗方面高速120左右的时候油耗大概在7-8个油对于接近2.5顿的车也能接受。平均两千公里算下来油耗是6.8，（每次的加油量我都记着与hev里程换算下来的数值）。我看网上有人说车道居住会画龙这点我不太认同，目前我感觉居中还是比较靠谱的。,2023-04-11,张家口
云村老孤寡,"购买车型175四驱版，优惠8000，购买了4410的延保。动力方面还是比较满意的，提速挺猛，就是胎宽有点窄，而我又总是大脚油门，就导致总是挠胎。
提车15天跑了两千多公里，高速也有1500+了，高速体验还不错，隔音效果挺好，风燥很小，胎噪也不大，最高到170+的时速也很稳，后段提取能力丝毫不弱。
充电速度还是让人比较满意的，60%电量以前都可以达到80kw多一点，60%-70%的就只有六七十千瓦。一般我用快充桩只充到80%，后边充电太慢了，只有20kw。
然后车道保持、智能领航等方面，车道保持的比较偏右，这1500公里高速上一直在用，每次超越右边的大货车的时候总是让人没有信心，每次都下意识的手动往左打一些。还有车道线重画的路段遇到过两次，直接跟着原来的线往边上跑了，还好及时接管…其他方面到没有什么大问题，没有明显画龙现象，跟车距离比较有安全感，但是刹车总是在靠的比较近的时候才开始，力度会比自己驾驶体感差一些。再应对加塞车辆方面不是太好，刹车介入比较突兀，还是建议有加塞的情况尽量手动驾驶。
最后，电用起来是真的省！！！踩起来丝毫不心疼！

感谢圈主推荐！",2023-07-06,郑州
