字段1_文本,字段1_链接,字段2,时间,字段3,时间1
丁丁说车,https://www.dongchedi.com/user/6676414710,"福特电马是这个价位少有把操控摆在宣传页上的SUV，但国内消费者似乎对强调运动的车并不感冒，但特斯拉除外，为什么除外，因为背后还有一龙马的人格魅力。

说回这台车，它这次推出的是24款车型，升级了电机和电池，GT版本把零百加速时间做到了3.57秒，说实话挺恐怖的，也让它多了一些宣传噱头。那既然是聊操控，下面就聊聊它在赛道上的表现。

【赛道表现】因为是四驱，这台车还是挺轨道车的，只要你不头铁，行驶轨迹基本能跟着你的预期来。它的刹车和转向都很棒，深踩制动力强，入弯前的重刹很有信心，转向也很灵活，也造就了十分听话的车头，再加上本就运动化的悬架调校，侧向支撑控制也不错，算是延续了Mustang家族优秀的操控基因。

【日常表现】
日常表现就有点喜忧参半了。刹车赛道开还挺好，但市区初段虚位有些大，踩深之后制动力又来的比较突兀，不太好控制。底盘路感较强，但高级感还是有的，振动传递到车内不突兀。隔音维度胎噪比较明显，陪耐力P0在这方面向来表现得不太优秀。转向不羁模式下，中心区有段落感，回正力的变化也不太线性，个人不是很喜欢，其他模式下还行，比较顺。

【设计和空间】
我最喜欢的就是风暴版，黄色车漆既骚气又洋气，开在街头回头率还是挺高的。内饰的设计比较朴素，用料做工都不算太好。把音响罩融进中控区是设计上的亮点。储物空间还可以，有杯架和无线充电面板，后排虽然谈不上宽裕，但坐姿优秀。

【缺点】
这台车的缺点还是挺多的，一个是智能化不太行，没有什么时髦的功能，辅助驾驶也是勉强能看。还有几个疑惑的地方，为什么一台定位运动的车，电门踏板要用悬吊式的？为什么B＆Q音响音质可以那么差。

总之，这台车颜值高，动力强，但智能化是短板，如果后期能有几万的优惠还是可以考虑的。",2023-12-21,,
驾仕派,https://www.dongchedi.com/user/3357959465,【驾驶感受】其实这些天我已经连续在赛车场风驰电掣了好几场，有零百加速3秒多的新能源，也有注重操控的油车，可它们几乎仅拥有一项特长，成年人哪想做选择，秉承着“全都要”的想法，戴上头盔开着福特2024款电马GT上了崭新的赛道。第一圈遛弯儿似的熟悉赛道，就已经感受到2024款电马GT有点东西，原因是刚才还称了重，现在底盘表现得不像是一台两吨多重的家伙；所以在第二圈开始的直道尽头，毫不犹豫的全力踩下加速踏板，860牛米扭矩瞬间爆发，后背紧贴座椅，过山车般的加速感，它来了。很快到达1号弯刹车点，车辆建立制动非常迅速，毫不拖泥带水的把220km/h的尾速降到70km/h，弯心有些靠后，那一秒心里还是有些拿不准，但指向性不错的车头瞬间把信心拉回来，并且下一秒后轮循迹性传递过来的感觉在清晰告诉我，这家伙能应付。就连胎都没有响，更别说臆想当中的推头。既然如此靠谱，就得好好在后面几个弯再折腾一下。天府赛道的中段有一处连续S弯，加一个上坡，不仅对车辆的操控、底盘悬架提出了高要求，还要在最后那个弯“开油”的时候保证动力的持续输出。像86那样操控好但动力很一般的车上来估计够呛，而那些傻快的双电机电车在最后上坡之前速度直接掉到50 km/h左右？当时这些念头闪过之后，瞄了一眼福特2024款电马GT的出弯上坡尾速——68km/h，因为它确实可以在高水准操控保证下把弯心抱得很紧，才有充分的余地利用每一寸赛道。当然，没有一台车是完美的，还是因为重量的原因，福特2024款电马GT出弯速度会有一个明显的临界点，如果超过这个临界点，就会有明显的响胎。还好双电机四驱系统不会让这样的情况持续太久，通过内外侧轮的扭矩差调整，还是能够轻松化解可能出现的险情。对这台车有了进一步了解之后，挑战第二轮由桩桶摆成的金卡纳赛道就容易多了，对我来讲前两圈熟悉路线就会变得很轻松，前面一组的最好成绩是32.4秒，我在第二圈就跑出了32.56秒。既然人车之间已经有了良好的沟通，最后一圈稍加控制在小直道冲刺一把，最后顺利停在指定停车区，V-BOX显示成绩锁定在31.75秒，拿下第一！最后又在第三轮的漂移体验中，关闭ESC，顺打方向顶“油门”反打方向一气呵成，不出意外的话，车辆就会顺利的漂移起来，至于能漂多长、能漂多圆，就得看自己的操作。在场的大部分人从没有漂移经验的小白变成了能够漂一小段的初级选手，也只需要花上5-10分钟，以至于包括我在内的很多人都玩得不亦乐乎。,2023-12-25,,
JoyCrossLC,https://www.dongchedi.com/user/792064987238814,总体感受：外观漂亮，颜值无敌，驾驶感受非常棒，内饰稍显简单，车机稍逊。 其实在决定买电马之前，试驾了很多新能源车型，包括小鹏、极狐、比亚迪秦、汉、唐等，我个人对智能化要求不高，车嘛，毕竟还是用来开的，所谓智能化、自动驾驶什么的，对我来说有没有不打紧，况且实话讲，互联网车企基本毫无兴致，所以小鹏首先出局。比亚迪呢中规中矩，也挺身边很多朋友说磷酸铁锂电池冬天实在是续航表显太差，所以比亚迪也先当做备选。反而是销量不太好的极狐给了我一个不错的体验，首先是传统车企，其次试驾感受还可以，而且经过多方求证，续航相当可以，本来极狐是我的首选。但是这几台车，无论哪台车，都没有给我一个非常好的驾驶体验，外观也没有能让人眼前一亮的效果。在一次逛街不经意间看到了电马，首先就是外观，一下就打动了我，电马的造型我感觉在新能源车里算是独树一帜，毫无对手，当然了，这个都是个人审美，其次就是续航，长续航版标称619KM，感觉也还可以，随后试驾，那驾驶感觉真的太棒了，底盘带来的安全感，提速的顺滑，方向的精准，都是其他几台车无法相提并论的，于是在短暂的考虑后，决定就是它了。就像一开始说的，我对智能化要求并不高，自动驾驶什么的更是没有追求，毕竟自动驾驶做的再好，我也不会放心让车子真的自动驾驶，尤其国内的路况，所以电马带给我的驾驶感受真的可以让我忽略它车机和智能化的这些缺点，在有就是空间略小，指望它是一台家用suv还是算了，更适合两个人出行，后排相对来说紧凑了点。现在为止，唯一让我感到稍显失望的就是续航，悠着开悠着开，夏天也就是520左右，当然可能还是和路况还有脚法有关系，确实也见到有车友能开到580往上。总之，确实是一台好车，希望售后可以配的上这么一台好车。,2022-08-28,北京,
小叶叫兽,https://www.dongchedi.com/user/3633245385392443,"【购车经历】
当时和女朋友在广州白云的百信广场逛街，逛着逛着突然就逛到了一堆卖车的地方，什么小鹏啊，极氪，比亚迪这些，这些基本都已经看过了，最近确实是需要买台车，一直在对比，还不确定到底是国产好还是合资或者是特斯拉好？然后突然看到了一家野马？野马居然也出电动车了，叫电马，当时好奇进去店里了解了一下，原来在中国上市不久，怪不得没怎么见过，这个车好多地方都长得像那个跑车野马，销售跟我说这车操控好。叫我试试，然后就去试了一下，确实不错。比之前开过的这些国产操控都好，音响居然是b&o的，对于我这种爱听音乐的人来说太友好了，女朋友也很喜欢，特别是那个全景天幕，居然一点都不晒！！！然后回家跟家里人商量了一下，正好小区车位也可以装充电桩，就下定啦，提车很快，我两个星期就提车了

【续航】
官方说是619km，但是我开起来550都没有，撑死也就520，其实CLTC，懂得都懂，有时候高速续航更差。500不到

【空间表现】
空间还可以吧，本人179身高前后坐起来都挺舒适的，不觉得拥挤，后排相对来说小了一点，也还好，平常都是自己开得多

【智能化】
这个车智能化一般般，福特还是老样子喜欢把造车的重心放在驾驶和安全上，智能化只能说还行，功能没有太多，够用吧
【驾驶感受】
这车开起来是真不错，好稳健的感觉，底盘有点硬，但是销售跟我说这不是硬，这是韧性。。。
毕竟赛车模拟器调教出来的，开起来没多大感觉，过减速带各方面的都还挺稳，后排稍微差了一点，车头长了一点，狭窄的地方开起来可能难一点，但是关键是它帅啊，不那么长的话就没那么帅了。我也发现这个车跟好多豪华suv好像，比如说保时捷卡宴，阿斯顿马丁dbx，还有莱万特，都好像啊
最后以至于为什么我会选择这台车，大概是因为他们的销售服务态度好，很有很有耐心，而且这个车其他我不敢说，颜值这方面确实是这个价位的天花板，买车就买自己喜欢的就好，提了车以后做了一些小小的改装，还是挺酷的，每次朋友或者亲戚问我这车多少钱买的，我都让他们猜，他们都往60w以上猜，哈哈，这车看起来有这么值钱吗？",2022-08-30,广州,
一个摆烂仔,https://www.dongchedi.com/user/2889928894850091,"【购车经历】
从8月份计划开始添置一台电车，一开始没怎么对电车的操控驾驶感受抱期望，毕竟油车的稳定性是根深蒂固的，期间对比了特斯拉，极氪，蔚来这些车型，不知道福特电马出了一款车型，是刷广告才看的，被这车的外形吸引到了，因为从小就对美国大片里的美式肌肉车感兴趣，就在懂车帝第一时间留了电话，这里感谢广州百信的销售第一时间联系我，了解到我过去门店不方便还特别给我安排了上门试驾体验。废话不多说跟你们分享点有用的信息。
【驾驶感受】
在没开电马之前，我是对电车的操控没什么期望的，因为试驾过的这个价位的车型不是油门刹车轻飘飘就是底盘太松散，但是电马给我了惊喜，无论是高速和低速行驶过程中他的底盘都是非常稳重的，怎么说呢算是比较有韧性吧，他不是单纯的硬，对于路况不好的路段也会过滤很多震动感，我感觉唯一和电马操控有的一比的就是特斯拉，但是特斯拉的内饰有点太素了而且听说现在交付的质量很一般，这台车给我的感觉就像开油车一样又有电车的加速又有油车的线性。而且这台在120公里行驶的时候，底盘也是稳稳的压在地上的，这是我在同价位电车很少有感受到的。他的刹车也是非常灵敏的，我开习惯德系车这一点我感觉很舒服轻轻一点就刹住了。他的转向也没有虚位几乎是指哪打哪，路感也非常清晰。最让我惊喜的是！！！这台车的动能回收是可开关的，这对于开惯油车的我来说是很惊喜的。所以操控我也给到满分。听销售说这台车是用的林肯的生产线，底盘也是赛道调教的。
【续航】在续航这一块的话，个人认为还是OK的。我的是619续航版本的，配合L档动能回收模式能跑的更多一点，基本跑个550公里没什么问题。据说有人跑到600公里很神奇，反正我也是为了经济性城市代步开续航多一点少一点无所谓，当然多一点还是好的。
【空间表现】后备箱还是满大的，有经典美式车的后备箱空间，值得一提的是前背箱，看过那么多电车，唯一空间有的一比的是特斯拉modle y的前背箱，但特斯拉的前备箱不是平的，电马还做了一个漏水孔打理起来比较方便，我每次都把菜放在前面还有海鲜生鲜类的东西再也不怕弄脏车了。后排空间的话对比他的轴距确实有点小，后来听他们销售说是座椅加长了所以看着有点小，但其实对我来说也够用，坐着挺舒服的，你们也可以去自己感受一下。这个因人而异。

【提车价格】
这一点也是蛮有意思的，销售说也看车的时候刚好降价没几天，之前都要31万，后来听说有库存车，百信的销售也是在三跟我确认了，第一时间去帮我申请了1万的优惠，最终以279900拿下这台车，非常感谢这位销售。

网上这台车的风评很多，如果是追求车辆稳定性质量和操控驾驶的话建议去试试车，车毕竟试过才知道怎么样嘛，建议感兴趣的小伙伴都去试试车亲自感受一下。",2022-11-27,广州,
Archer黄,https://www.dongchedi.com/user/59839362117,"【购车经历】
上下班距离87公里，月均油费2000元左右，考虑买台电车代步，预算价格30左右，经老婆同意开始看车经历。
22年“蔚小理”大火、极氪上市，同事纷纷购入，个人觉得蔚来贵了、小鹏P7空间小了、理想还是烧油、极客漂亮但更想要空间大一点的，所以都PASS了，比亚迪汉从上市开始老婆就很满意想买，种种原因直到现在都没买，但是依然有想再买台汉DMI的想法，或许等明后年汉换代了真的还是回去买台。
看车过程中，重点关注了一台车，很小众就是极狐αS708那个版本的车，90多度的电车在当时真的算很大了，车体也比较大，坐着也舒服，空间也大，试驾了，我很满意，全家不满意，直到现在都没搞懂······最终没买。
当不知道买什么的时候，朋友推荐我们去看看福特野马的电车（朋友是毛豆3的第一批车主，感觉他的毛豆3都要开报废了样，又脏又乱从不打理，哈哈），这一去不打紧，老婆一眼就被外观吸引了，展车一台红色的豪华长续、一台白色的GT，我一看价格30+，心里觉得有点贵，一看内饰哎，外观有多帅内饰就有多难看，但是老婆当时就说买这个，那就买吧！

【最满意】
不用说外形咯，不是外形老婆也不会那么爽快喊买，个人觉得也很帅。然后就是送的电力值，加上今年降价补的电力值，在吃满各类政策的情况下前前后后差不多送了我300W电力值，外面充电就没用过钱。

【最不满意】
更不用说内饰和车机，内饰完全不能和国产比，老美的设计就是粗狂，第一眼绝对没好感，开久了还行。

【驾驶感受】
目前正好提车1年，公里数27000多点（最近有点忙，每次下车都忘拍照了），转向很舒服，越开越喜欢，方向盘比宝马轻一丢丢，但是绝对不会觉得有虚伪或者转向不实，从驾驶角度来说绝对是台好车。动力够用，300多点的马力在电车中并不出众，跟大哥GT比就是真的是台代步车，加速感跟家里那台宝马125差不多，个人怀疑可能还跑不过我那台125，毕竟电车很重。总体家用来说绝对优秀。

【乘坐体验】
空间还行，本人180身高、170体重，驾驶位坐着很舒服，就是包裹不太好，感觉设计更偏家用，后排我就不知道是不是我太重了，总觉得屁股下面有一个横着的硬东西，用手按又摸不到，但是坐着真的觉得有个横条状硬物，坐着不太舒服，我也没掀起来看到底是什么，反正我也是当司机的命，娃娃老婆坐就觉得还不错。

【续航】
续航还可以吧，夏天平均13、14的电耗、冬天16的电耗，从家到单位87公里，三分之一高速、三分之一快速路、三分之一城市道路，一年时间反复跑的同一条路，路线很固定，实际反应成公里，就是夏天在这个路况500左右，冬天420左右。但是我发现电车在城市里面跑是最舒服的，春节期间成都城区车很少，及时堵车也不长，我最低续航到过10，平均11左右，充满电表显在600的样子，而且感觉是真的能跑600，车辆启动的时候会立刻掉3公里左右（听说是给电池加热），但是经常出现在城里跑3、4公里，1公里电都不掉的情况。比亚迪的电池还真的不错，虽然是比亚迪都不用的三元里，但我认为不用不代表这个东西是垃圾玩意，还是实际体验后才能得出结论的。

【提车价格】
最后说说价格，买的无疆长续豪华版30.88W，选的红色（本人对红色有执念，小宝马当时没买到红色就不爽了很久），落地将近33W，运气好有现车，等了一周上好牌提车（车牌想选娃娃生日，哪想新能源牌照都不好选，最后填了个老婆生日一次通过，这下两个车牌组合起来就是老婆完整的生日号码）。补充一点，没买特斯拉是因为不能买，不代表觉得特斯拉不行，虽然觉得特斯拉内饰还不如这个，不过那个系统是真的不错。

【补充】
辅助驾驶功能：刚买销售没说只有3个月试用，当时还觉得有点被骗的感觉，实际体验几次后，觉得可有可无，晃的太厉害了，还是自己动手开舒服，也就释怀了，反正后面送了那么多电力值挺不错的。
充电：我没有停车位，小区物业也不卖车位也不租，最后换了电力值，基本都是在单位充，用的是随车充，偶尔外面去快充，毕竟主要都是上下班代步。
OTA：升级了很多次，确实看的出来福特的用心，新车一脚踢打不开，一键锁车锁不了，语音答非所问，在多次升级后全部解决了。
车机：封闭车机，就固定那几样，用习惯了还行。开车不能放视频被女儿吐槽还没有宋高级，不过想想电耗那么底，跟没什么娱乐系统还是又关系的，有利有弊。

【结束语】
5年买了3台车，你问我买电马亏成这样子后悔不？我会说我不后悔，自己开的车自己去体会它的好与不好，如果会觉得后悔，当初就别买，自己觉得好才是真的好，电马陪了我1年我现在是真的觉得它开起来越来越舒服，对于我这种没有太高要求的驾驶环境，它真的是台好车。",2023-04-28,,
妹妹坐船T,https://www.dongchedi.com/user/1468543407500215,算起来前前后后从购车，看车，咨询到下定已然也过了一个多月，看过modely，看过001，也看过了mach-e，但是今日，本人正式申请进入电马等车一族！ 这已经是第二次来店里，今天就是来付定金的！！！要说电马第一个打动我的就是颜值了，越看越帅，车身线条那个感觉，怎么说呢，猛男车！标志性的尾灯，这不比modely的大屁股好看？ 在空间上三车相差不多，都挺大的，没什么好说的，够用！内饰是打动我的第二点，三车内饰对比一下，极氪的内饰看起来确实好看，但是塑料太多了，拉低了整体感受！特斯拉就不说了吧？能忍受的算我没说。电马内饰看起来比较简单，没有极氪肉眼看上去的科技感，但高级舒适感是比极氪高了一个档次，材质用料比起极氪来要用心多了，中控台、座椅皮质、方向盘皮质手感真是一等一，座椅的软硬度也合适，而且包裹感很强，坐上去感觉很棒。 我订的30万这款长续航，配置上三车该有的它都有，我真觉得订极氪太麻烦了，选个配置得考虑好久，全部加上钱又不够，还是电马比较简单，30万配置直接拉满！提一嘴，B&O音响效果很棒，音质音色还原的很真实。 官方续航619，坐标长沙，看论坛里车友分享，我估计夏天可以基本稳定600左右，冬季应该就是7-8折吧，续航完全够了，而且现在这油价，这谁顶的住... 夸车机的不少，说车机不行的也不少，我用起来至少是我觉得还行，电马同学反应速度还是在的，屏幕的滑动和点击都很不错，而且还特意问了销售，不同的面容ID登录偏好设置会不会不一样，因为这个到时候和老婆换着开还是挺方便的，还好是有的嘿嘿。 官方6.5秒破百的动力，试驾的时候仅仅也就体验了一小段，6.5秒破百是不是真的我不知道，我只知道差不多300多米的直线路程，不羁，很快，全程推背。操控是三车中我感觉最舒服的，也是打动我的第三点。底盘调教功夫很厉害，车子在路上非常稳，过减速带也基本感受不到颠簸；方向盘握起来很实在，指向精准，过弯很柔和，没有摆尾的感觉；单踏板模式可以关闭很不错，动能回收关不了，但还是会有像油车一样的溜车感觉，不羁模式下强一点，但是特斯拉那个单踏板的减速，我当时试驾完我都有点晕，电马这点做的就比较贴心了。 总结：电马各方面都挺满意的，吹毛求疵的话，最不满意的地方就是刹车偏硬，刹车力度不好把控，刹车不线性，而且刹车的点头感比较强。当时三车比较第一个淘汰的就是modely，至于为啥不选极氪这个车，只能说家人一起斟酌过后还是更加相信传统车企的实力。哦对了，小薅了一波羊毛，因为最开始是在极氪下了个5000的定金，都已经放弃了，但buddy说这个订单在这边是可以给我换成等价的电力值的，50W，啧啧，电马商场里的配件随机买了嘿嘿。,2022-03-28,,
SzH422,https://www.dongchedi.com/user/4139034858497927,来自提车三个月老车主迟到的提车贴（钙版）先说使用感受1.油换电不后悔：先不说用车成本高低（这是个有争议的话题）。首先，享受新鲜事物的乐趣还是很不错的。其次，城市内通勤几乎完美，加速快、没噪音、无顿挫。2.虚荣心兑现利器：花二三十万享受四五十万的面子， 提车的这几个月不只有一个大哥问我这个车四十几万还是五十几万。路上的回头率不是小鹏、比亚迪、未来能比的的。3.操控爱好者必选项：论操控，福特也是佼佼者。底盘紧致有韧劲儿，方向精准转向半径小，再加上大马力后驱乐趣无敌。有朋友说雨雪天特别滑，不安全。那么我想说，雨雪天气请注意安全，别浪就安全了。4.别太纠结电车的续航：买电车补能效率低本来就是短板，既然选择就要接受，只要和主流的续航差不多就可以，非要纠结多那几十公里续航没什么意义，最多晚半个小时开始焦虑。至于高速，半径180公里的地方随意跑，想去远地方记得提前看好充电站就行了，然而并不麻烦，想想高昂的油价你也就妥协了。5.车机简单凑合够用：没花边儿功能，也不能自己安装APP，就很普通。该有的功能都有，语音也算灵敏，再分享一些省钱配件吧1.三角窗鲨鱼腮，帅，买就对了2.尾灯蜂窝贴纸，帅，贴就对了3.卡钳红色喷漆+贴纸，帅，贴就对了4.积分兑换记录仪，还不错可以入手5.积分兑换徽章，好看6.积分兑换遮阳网，好用7.某宝汽车形状钥匙壳，有趣，（还没到货网图凑）8.篮球背心代替座套，个性、好用、省钱、随意换9.轮眉反光贴，贴着玩,2022-08-05,,
驾仕派,https://www.dongchedi.com/user/3357959465,【最满意】外形上Mustang Mach-E还是很有Mustang的特征——非常矫健的肌肉感，然后是海外GT版才有的专属前脸，以及经典的三柱式尾灯。至于这辆电动车的动力系统，224kW、430N·m的输出，和刚才那辆2.3T的Mustang几乎一致，这也是Pony Car必须有的。另外，这台低配车型车内其他的像15.5英寸大屏、SYNC+ 2.0系统、标配的Mobileyes Q4芯片组，这些都有，全系一样，所以还是非常厚道的。 【最不满意】过作为一款入门的配置版本，Mach-E无疆后驱版在外观上和豪华版有一些区别。比如前大灯没有了Mustang经典的三柱式日间LED灯，同时也不是矩阵式灯组，没有启动时的酷炫仪式感。其次是它车身包围件不同。入门版本的Mach-E在车身包围上还是用的黑色硬塑料，豪华版上则是亮黑饰件，更具高级感，而GT版本甚至连轮眉也是车身同色的。当然，入门版的好处就是，擦挂了不心疼，也能自己贴上亮黑贴纸，小成本大改造。 【续航】实际上这辆Mustang Mach-E算是比较罕有的无疆后驱版，也就是拥有跃世版标准续航的配置、但是又有长续航的电池组的版本，能够做到CLTC标准续航619公里。不过从交付时充满100%电量来看，显示的续航里程是499公里。 【提车价格】说说大家关心的提车价格。我这款无疆后驱版享受补贴后是28.2万元，而企业购买补贴要少5000元左右。这次我们买了200万元的三者险，还有5个座位险，保险费是5610元左右，不交购置税和车船税，所以个人消费者补贴后落地就是29万元不到。,2022-02-24,,
优视汽车,https://www.dongchedi.com/user/6165220499,"Mustang作为一款美国国民跑车在中国市场也是得到了不少的青睐，而如今这款电马的价格一样也很亲民。这款入门级车型的指导价格目前为27.59万元，比起同级别不少国产品牌车型还要低了。

首先在动力层面，整车后置单电机后驱的布局方式，驱动电机的最大功率为201kW，最大扭矩为430N·m。而整车的整备质量是1956kg，但0-100km/h加速时间依然能做到6.2秒左右。另外整车在CLTC测试循环下，满电续航里程为513km，续航表现似乎并不是其优势。

底盘方面，整车是采用了前麦弗逊后五连杆的四轮独立悬挂结构类型。调校上算是在运动和舒适之间找到了一个不错的平衡，整车底盘过滤细碎颠簸的处理是比较细腻的，路感清晰的同时没有明显余震。而做出紧急变线动作的时候，车身左右重心转移也足够干脆，其实做到这点很难得的。底盘调教也是很多造车新势力最薄弱的环节。

空间方面，整车的轴距是2984mm，基础数据不错，在同级别车型当中占据着不错的优势。不过由于整车较为强调流线型的车身设计，所以整车内部空间利用率并没有想象中那么高。身高175cm的体验者调整好前排座椅坐进后排，其头部空间约为1拳3指，而腿部空间为3拳1指左右，这个表现大家可以做个参考。另外整车后排中央地台也有小幅隆起，虽说高度一般，但是对于后排中间乘客来讲并不算很友好。

价格方面，对于这款入门级车型来讲不足28万元的售价确实算是比较有诚意了。个性化的外观就比较加分，而且底盘调教方面确实强过于蔚来、理想等品牌同级别车型。",,,2022-08-29
