字段1_文本,字段2,时间,字段3
用户9039940582952,"本来想着去看看汉，结果一眼相中了旁边的唐，试驾了一下感觉特别好，第二天谈好价格就定了。
原来有个迈锐宝，置换补贴4000，然后走的比亚迪金融，利息很低，贷款5年，利息一年4800，一年后提前还款无违约金。裸车一上午谈到17.2万，加上置换补贴的话，算是优惠了3.8万，不是库存车，生产日期是11月份，我是1月份提的。送了8次保养，原厂底盘护甲，贴膜，脚垫，两个小家电。

【空间表现】
空间还是很可以的，后排放到完全就是一个大床，对于经常出去长途车的朋友绝对友好，第三排应急用吧，超过1.7基本就坐不下了。后备箱绝对大，带劲！

【动力表现】
动力很好了，0-50提速快，市区内超车提速轻轻松松

【续航】
我一般都是充满电，智能保电25，充满50分钟左右，大概能跑七八十公里，也很划算了！然后过年前去了趟贵州，高速110左右亏电油耗七八升，也还可以了，毕竟这么重的车，跟我迈锐宝差不多的油耗！但是纯电高速110也就跑60公里左右！
【充电时间】
充电听朋友说冲到90就可以，确实也是这样，感觉充满了，从100到90之前的电很虚，不耐用，25个电充到90大概40分钟左右吧！
【第三排空间】
第三排空间应急还可以，我媳妇160，坐里边正好，170以上的就直接别做了吧！
【智能化】
智能化没的说，高速开自适应巡航很省心，盯着点路就可以了！从贵州到淄博1800多公里，开着自适应巡航确实没觉得累！
【最不满意】
不满意的地方就是亏电发动机声音难听，但也不是太大
【驾驶感受】
驾驶感挺好，提速快，舒适性挺好，虽说是筷子悬架，但是开起来很不错！
【提车价格】
提车价格就是裸车17.2，周旋了一上午
选拍照也很顺利，车牌号还可以😊",2024/2/22,淄博
超级英雄丨,"【动力表现】
动力非常不错
【空间表现】
空间还是稍微小了一点点
【续航】
纯电续航还是可以的
【智能化】
有时候太敏感了，突然的刹车把人吓得！

车辆的外观还是挺不错的，整体流线型，车型依然很能打，使用灯光的时候近光灯还是可以的，但是远光灯感觉不是那么聚集，有点分散的感觉，所以远光灯不是很亮。车辆内后视镜有防眩光，但是外后视镜没有，有点鸡肋。有自动远近光灯，这个功能的确不错但是在不停转弯的路就很不适用。自动刹车虽然挺好但是在人多的的地方建议关掉，不然突如其来的急刹会让人感到不适。车内的空间前排和第二排都还不错第三排1米75以下可以，个子再高点就困难了，第三排有人后备箱就只剩一点点了，而且后备箱是有点溜背的所以就会小一些。车辆的动力表现还是挺不错的毕竟4.3秒破百。平常家用7KW充电也就6个小时左右充满，去外面充电1个小时就满了，但是家里谷用电很便宜的，去外面充电虽然快，但是价格1块多，是家里的4倍多。",2024/2/27,咸阳
开口的可乐,"提车两个月零4天了，年前提的车，过年开回老家又开回来，现在已经5600公里了，动力没的说，高速120只要舍得踩油门动力绝对够用，空间也够大，后排躺着睡觉都没问题。

外观:我个人觉得唐的外观还是很好看的，我买的是蓝色，但是体型摆在这，依然很大气。

智能:360影像非常清晰，我是新手司机这个对我来说很有用，本身唐的尺寸就比较大，所以用360的时候很多，也很好用，刚提车就可以去商场地下停车库停车了，我觉得完全是360的功劳，另外自动大灯，自动雨刷，电动尾门，还有小迪的陪伴，这段时间感受来说，车子的配置是完全够我用了。

油耗：回老家单程1050公里，回去的时候一共加了620块钱的油，到家表现还剩200多公里。
来的时候也是加了两次油，一共500块钱，到上海的时候表现还有将近100公里（来的时候堵车车速比较慢），总来的说每公里应该不到5毛，我挺满意。
但是最近首保以后我上班5公里，最近几天油耗一直在7.2，不知道是不是因为距离太近了。

吐槽一下：在老家有段时间感觉车子左右摇摆特别厉害，但是也没去检查，最近又没啥感觉的，很奇怪。
另外一点就是最近油耗在7个左右，还有就是感觉纯电续航很拉胯，二十公里感觉要掉百分之三十多的电（没有特意测续航）
有其他的以后在补充。",2024/2/27,上海
依然前行cw,"【空间表现】
该车的空间完全满足家用需求，宽敞且具有霸气的黑色外观。不到4米9的车长加上7座设计，非常适合日常使用。如果车长再增加，转弯半径也会相应增大，这会给停车带来一定的麻烦。

【动力表现】
该车的动力完全满足家用需求，比传统燃油车的提速更强劲。Normal模式已经能够满足大多数人的需求。而且它非常安静，节油效果显著，同时还具备推背感和眩晕感。对于不太激烈的驾驶习惯，Eco模式就已经足够了。

【驾驶感受】
平时单位的车也开过不少，A6L、蒙迪欧、GL8、帕萨特、哈佛H6、奔驰威霆等，驾驶静音性吊打所有这些车，包括提速性能。但是底盘滤震性能，我只能讲比A6L略差，但是那是轿车，唐是SUV，底盘高度不一样，只能参照。

【续航】
冬季提车时，由于气温较低，开空调会导致续航里程大幅减少，大约只有60%左右。再加上保底的25%电量，基本上每两天就需要充电一次，比较麻烦。但随着气温的逐渐升高，续航里程也相应提高，市内用车可以三天充一次电。此外，快充桩的充电功率也有所提高。

【充电时间】
在冬季气温较低的情况下，建议在电量低于35%且刚跑完一段距离后立即充电，此时电池温度较高，直流充电功率较大。最大充电功率可达到49kW。

【第三排空间】
在使用第三排座椅时，建议将第二排座椅调整到最前端，这样第三排的乘客会更加舒适。身高1.75米的乘客坐在后排感觉还不错。如果是长途行驶，建议每隔一段时间换一下位置。第三排座椅主要是应急使用，使用频率不高。

【智能化】
虽然有人说唐的智能辅助驾驶功能不佳，但我发现应该是指的老款21款唐，23款冠军唐的智能领航功能完全超出了我的预期。在高速公路上较大的弯道也能轻松驾驭，令人满意。但需要注意的是，不能完全依赖智能驾驶，它只能作为辅助使用。在吃东西、喝水、抽烟的时候可以使用，但在长时间高速行驶时容易打瞌睡。

【油耗】
购车两个多月来，累计行驶了3500公里，平均油耗为6.1升/百公里。平时主要使用快充桩和燃油，总体满意度较高。对于这么大的车型来说，如果是纯燃油车，油耗可能会更高，至少节省了一半。
【圈主推荐精华】",2024/2/18,泰州
纯黑糖一点黄,"15年就开始关注唐，那时候542。现在圆梦了，目前非常满意，就是不知道东北用电咋样，还没有家用充电桩可惜。

用过一次混动模式，发动机第一次启动车里感觉声音还是有点明显，发动机热了以后或者出了磨合期能好点。
【动力表现】
动力不用说，油门使劲踩，血液直接上脑。
【空间表现】
前排空间可以，后排也不错，放倒第二排可以露营，车里还有220v电，空间唯一不难就是储物空间太少，扶手箱很小，然后就是两个杯架，门上的。
【充电时间】
中石油国网冲过一次，70多kw还挺快34%-88半个小时。
【智能化】
智能驾驶只能说是够用，跟遥遥领先差远了。其余的智能化都可以列如转向辅助灯，开门座椅最大，上车再调到自己坐姿，还有人脸识别自动登录账号很方便。
【油耗】
油耗目前还没加油，辽宁冬天应该5-6个应该可以打住了
续航等充满了我在测试一下，提车满电，开到30多电 跑了100多公里 感觉跟标称差不多，辽宁现在10来度气温",2023/11/1,锦州
耐心等待进场机会,"💡 我第一辆车是16年的传祺GS5速博，七年左右六万多公里，就一般市区通勤接送小孩子。让我萌生换车的想法就俩，三孩了以及老车1.8t是真的耗油。

🚗 意向四款车：传祺GS8混动、奥德赛丐版、抄底雅阁次顶、冠军唐。老婆当时很喜欢雅阁对比亚迪排斥，3月25日带她去试驾雅阁以及丐版奥德赛，回家商量哪款。回去路上经过比亚迪，反正都出来了就再逛逛吧。她被销售拉上车介绍了半小时，我还好，我已经基本在懂车帝上配置了解七七八八，只是没有看过实车以及试驾。只能说冠军唐和本田的车型不是一个维度的产品，被销售输出了半小时后我们即刻下定，也没有讨价还价，还是挺后悔没有为自己争取多点福利。兄弟姐妹们买车的时候不要急，货比三家，欲擒故纵。

🏠 这一个月使用下来，目前还是很愉快的，最起码没把我抛在半路上。因为我是传统燃油车的驾驶者，这个月下来，被比亚迪震撼到，因此感慨科技真的能改变生活。油耗真的低，亏电也是。家里有车库能装充电桩，一周两冲通勤够用。真皮座椅坐着真舒服，底盘行驶质感秒杀我的老车。动力对我来说够用了，起步加速真的很ok。车机、驾驶辅助也很ok。还有一点，抬头显示、记忆座椅真的让我没后悔上尊享。

🔴 缺点我就不说了，因为我没有把期待值定的很高，只要家人坐着舒心安全，没有把我们撂半路上就ok。如果后期使用遇到无法容忍的情况我再来和大家分享，由衷希望国产新势力越来越好吧。",2023/5/22,茂名
是Bing92,"【购车经历】
由于家里已经有台轿车了，就想着买台suv吧，空间大实用点。
预算20左右，在领克08和唐dmi之间选择。
领克08动力，内饰，驾驶感受都比唐dmi更好，但是领克08的实体按键太少了，操作基本都要在屏幕里面，我还是更喜欢有实体按键。

购车期间去很多家4s店对比，这边建议不要找所谓的“熟人”买车，一开始是朋友的朋友介绍的销售，八竿子打不着边的关系，这个销售一直套近乎，说：“大家都是熟人啊，我会给你们厦门最低的价格”。到谈价格的时候，卖得比别人还贵，还是库存车！后面也没跟她谈了，直接去另一家订，3个月内新车，价格比她低。

【空间表现】
要是把第三排放倒当5座车开的话空间还是挺宽敞的，坐满7个人的话第二排还能接受(跟紧凑型车差不多)，第三排腿部空间其实也还行，就是座位太低了(像坐小板凳)

【动力表现】
动力个人感觉是还行，起步很顺滑(电车起步真的爽)，高速上就不如燃油车给力了(对比大众1.4t)，但也还能接受。被特斯拉model y蹦过一次，轻轻松松被秒了。。


【乘坐感受】
晃得有点厉害，家里人觉得还是轿车坐着舒服


【油耗】
温柔点开的话5.5升左右(高速+乡村道路)


【智能化】
智能化上面相当可以，可以在手机上面远程控制，手机可以直接当钥匙，出门带把手机就可以了(前提的有NFC)，还能共享NFC钥匙给别人(多人用车的话挺方便的)



【最不满意】
这个配置内饰的颜色有点土，橙色。。。
辅助驾驶做得跟屎一样，挺直的道路都能压线
虽然这代有fsd，但是底盘质感还是一般般",2023/12/28,厦门
请叫我小驴驴è,"车车终于买了！！！！看了理想one，L7，唐dmp，由于财力受限买了唐dmi
车子提速很快，360影像超级棒，氛围灯关不掉不知道为啥。开起来很舒服，车里没有异味，比在4S店里的味道好多了（真皮座椅的优势？）目前开了780公里，充了四次电花了40不到4S店充了两次，加了一箱油，现在还剩一半，电还剩40
【空间表现】
空间很一般吧，三排有点鸡肋，进不好进出不好出，空间还小，本来觉得还可以但是买来以后没觉得有啥用，没人愿意去三排…后备箱容量比较小，三排放起来基本没空了…三排放倒了空间还可以。

【动力表现】
很快很快，一脚油门踩到底，推背感很强，试驾了dmp，没法和dmp比，dmp开快了我握不住方向盘……
平时不太喜欢开太猛，除非超车。但是动力随叫随到，这点表扬，比之前开的大众朗逸好多了。

【续航】
油表很虚7折差不多，加满油说能跑900多。实际并没有能跑700都很好了。
纯电80多点吧，最后强制进入HEV，市区会好点，高速上速度快了根本跑不远。

【充电时间】
都是在外面充的快充，没啥好说的，但是在4S店充的快充40kw，20%-90%只要30分钟最后充的很慢

【智能化】
不敢用辅助驾驶，小迪不是很贴心（肯定不是我普通话不标准，毕竟是有普通话证书的人）

等再多开开在分享～",2023/9/6,嘉兴
翻篇折角,"从18年二代唐上市，一直期待购买，那时才高二，如今也算了却一桩美事，从22年就开始等改款，终于也是等到了。

外观：跟21款没啥区别，除了轮毂，轮胎，个人认为更饱满了，更好看了，当然18，19款唐DM那真的是颜值巅峰，价格也很“美丽”。

驾驶：新老款唐dmi都去试驾了，新款的驾驶感受跟老款完全是两种车，也没有开船感了，过坑洼路段也不会乱晃，过减速带也不会过硬，刹车也更有信心。

体验：我提的是112尊享，抬显加腿托开车很是舒服，换了丹拿音响，比之前的迪瑞克好多了，再加上从网上学的丹拿音响调试，调完之后确实听着更舒服了，而且，新款离地间隙提高了，比老款提高了不少，这个很重要，通过性很棒！

充电：多了快充口，不用再用转接头了，这就很方便了，而且充电口上面还有个唐字的灯，看着就很好看，功率好像也提高了吧，对外放电是提高到了6.6。

不足：佳通轮胎是硬伤，都这个价位了，还是佳通，先开着吧，存点钱后期换米其林PS4，其次，可能是车大，过一些坑洼路段，听着后面有稀碎的杂音，最后千里眼功能，也不能算比亚迪的缺点，因为政策原因不让用，但是也白瞎了这个功能，近几年应该的开不了了。

总结：还是很值得购买的，个人认为比老款更值得，前后的铝合金摆臂加FSD让整车行驶质感也是更上一层。
    希望跟我的大白糖共渡风雨！",2023/4/7,合肥
杰森哥和茜茜姐2023,"【换车经历】从2010年有了驾照以后，换了三辆油车，手动科鲁兹，自动挡的君威，还有一辆宝马5。这些车开起来都不错，除了有点费油。。。
由于家庭原因，需要加一辆车，这次直接瞄准了新能源。品牌没有过多考虑，只考虑了新能源老大比亚迪，毕竟咱们自己的国产品牌还是必须要支持的。年前准备定车，后来听说要改款上市，所以就等到了新唐，配置直接选的尊享，因为比较喜欢hud这个配置，价格也在预算以内。

【购车经历】因为无锡有区补5k，苏州这里啥政策也没有，于是直接无锡订车，当时10天左右车到了，验车发现4个轮胎3个生产日期，感觉byd先进先出做的不好，于是过了一周再次验车，这次OK。
至于价格方面，没啥特殊的优惠政策，送了几个小礼品。

【油耗】昨天和今天，无锡回昆山，今天高速去上海，走的绕城高速，堵了不少时间，路上速度也开到120，130，油耗可以接受。晚上在家自己慢充，需要十几个小时。。

【驾驶感受】开起来非常安静，提速也快，比宝马的n20拖拉机发动机，安静太多了，车子也不抖动啦。

【综合评价】最近一直看论坛，感觉唐有各种的问题，心里还是有点忐忑的。但是自从拿到车，无论配置，用料，还是空间等等细节，这个价格这个配置，我觉得已经相当给力啦，我觉得如果满分100分，我觉得唐85分应该是没问题的。

【缺点】感觉刹车有点肉，方向盘转向助力稍微费力一些。。。别的目前暂时没发现。",2023/4/27,无锡
