字段1_文本,字段2,时间,字段3
最爱皮球球,【购车经历】 对比了小鹏G6，比亚迪宋plus，当时G6要等3个月，新宋plus又在海洋网（感觉就是个过渡产品）。最重要的是美系造车的安全性还是很可靠的，通用砸巨资弄的奥特能还是不错的?再加上E4外观比上面那俩更好看点（个人感觉），于是当场下定，等了14天提车。 【续航】 目前是夏季平均在450左右，跟空调制冷力度有很大关系，早晚凉快的时候，能耗平均在11左右，车内晒得很热的话，最高能到22。但是感觉对于2吨重的车来讲，个人认为比较理想。 【驾驶感受】 加速很线性，刹车前半段偏软（可能车重惯性大），跟车信心不太足。动能回收力度不可调，速度在30左右的时候按下拨片会有较强的拖拽感。 【动力表现】 动力没毛病，大体相当于2.0T的SUV感受，高速超车啥的妥妥够用了，比其他电车相对温柔一些，比较线性，不是很“窜”。 【最不满意】 手机蓝牙上下电有点傻，开门下车就断电，有时候取个东西还得重连。据说厂商在做传统实体钥匙了，希望能尽快安排上，哈哈。,2023-08-21,北京
Doring7,"购车经历：从3月就开始看车，当时定义的需求就是价位在20-25W之间，纯电，大品牌，其中试驾了BYD汉，海豹，极氪X，特斯拉。整体试驾感觉每款车总有一两点我很介意，直到别克4S店给我打电话，我才知道了别克这款车，当天刚好有空，就去试了一下。一试就被迷住了，刚好满足了我所有的需求，很快就去下单提车了。

价格方面：我购买的是别克E4GS版本，暮紫色+HUD，裸车共计222900元，保险买的蓝键无忧6610元，还有上牌费270元，共计229780元，常州有5000元补贴，所以落地是124780首付+100000免息贷款。4S店小哥还给我送了好多东西，棒呆?

外观空间：外形超级帅，空间很大，内饰座椅也很舒服。顶部的双层玻璃很隔热，我早上32度的天，9点近车里也不太热，空调打一会就冷了，而且座椅通风真的香，夏天不糊屁股。

续航：标续是530km，实际我开下来（包括空调25度、音乐很大的情况下）大概一次可以开420Km，有动能回收，自适应巡航下电耗更低。纯自己开预计18-20K，自适应巡航13-15K，棒！

使用感受：刚开始买车使用的时候，感觉不太好，后来发现是我很多功能都没有开通，开通后都很方便。走到两米就开始欢迎灯模式，无感进入，钥匙也很好刷，整体用下来，感觉非常不错，这个价格C级车，终生质保，安吉星也真好用，值了。

小小吐槽：第一点，在用户提车前，4S店需要加强对客户的一些功能的培训及告知，让客户更加快上手，一些手机功能需要告知客户开通。第二点，安吉星和ibuick两个app，对车量的控制有点慢，刷新需要一段时间，有时会控制失败。

整体来看，建议买+1，??",2023-08-08,常州
好丽友没有派,买别克E4就是冲着长腰美背的外观去的，E4可能是目前别克系列中最美的车型了。外观的可选的颜色也是各种拿捏住小姐姐，尤其是暮紫、松果绿、天青色蓝，这三个颜色。其次就是第一次买新能源车肯定首选大厂品牌，相对不会有太大的风险，而且家里的第一台车也是别克老君威在安全性上真的非常放心。 【购车经历】 作为家里的第二台车，以目前的这个形势来看首先肯定是新能源车了，虽然新疆的天气对新能源车非常不友好，但是再冷200公里的续航是有的吧？能满足我上下班就可以了。而且家里也有车位，回家就和手机一样插上电桩充电就可以了，我觉得还是可以适应的。买这个价位的新能源车绕不开特斯拉、蔚来、小鹏这些车型，蔚来的设计的设计是大家公认的，也是三个车型里价格最高的，无奈兜子银两有限只能放弃。特斯拉驾驶感觉更好，但是极简的内饰劝退了我。小鹏可能没有长在我的审美上，所以也没有去店里看。选E4也是偶然间和家人去保养家里的老君威，被展厅门口的紫色的车吸引了，就这个颜色喜欢的不得了，那可能就是心动的感觉吧。和店里的销售了解了一下，什么置换、分期、终身质保各种权益基本把我买车的阻碍逐一消灭了，于是决定直接订车。销售一再说这可能是一款比较小众的车型一直推荐我买E5，奈何本小姐就是颜值控没办法。同时也感谢销售配合家人在地库给我准备的交车仪式，让仪式感瞬间拉满。 【驾驶感受】 订车的时候销售说试驾车还没落户，也没办法试驾也就坐车里看了一下，外观和内饰都很漂亮。至于驾驶感受是次要的，毕竟我也不是个赛车手体验不出来什么驾驶质感。后期提车以后开起来，可比我家那个老君威舒服太多了，开起来又安静又稳当，非常满意。 【最不满意】 说到不满意的点，我看圈里的各位也吐槽的差不多了。感觉别克安了一个牛X的显示器搭配了一个诺基亚的手机，卡片钥匙要3秒才能靠门，蓝牙钥匙经常识别不到，真是大无语。配备了360全景影像，竟然不支持打转向灯打开侧面的摄像头，这点真不如国产品牌的设计。还有后窗设计很小，后视镜的视野非常小，经常看不到后面的车的情况，结果流媒体后视镜必须买高配四驱的版本才有，GS版本都不能选装实在是太不人性化了。而且作为定位年轻的车还不能选装BOSE音响，内饰氛围灯相比E5看起来有点拉垮，非常不能理解。 【续航】 官方标称530的续航，我第一充满电才跑了380多公里，问销售说试是第一是虚电放我慢充几次就会激活电池续航就会更好，希望是真的吧。小区是二次转供电小区，还在和物业公司极限拉扯中，充电桩目前还没有安装成功，用车体验不是那么完美，懂得都懂。 【提车价格】 因为是直销模式，所以是一口价，别克品牌还出了报价申明。以别克的调性能坚持到年底就不错了。看了看别克E4每个月的销量，注定我就是车流中那个显眼包了。提车完就去贴了车衣，销售各种给我推荐说对车漆好，自己也做了很多功课一定要多看多选多对比，里面的水可太深了。,2023-10-28,乌鲁木齐
用户2701731839300,"简单说一下购车历程吧！

买之前家里一台昂克赛拉2017自动款、一台君威GS，因为通勤路程比较长，所以才想到买个电车，主要是想节省一点开支，预算价格是20万左右，来来回回也看了不少车，也试驾了不少车，其中包括，比亚迪汉EV、比亚迪海豹EV、长安启源A07，原本是打算买宋L，但是要等到12月才上市，而且我和我老婆打滴滴专车坐过很多次比亚迪汉EV，感觉都会有晕车的感觉，所以老婆对比亚迪无感甚至有些抵触。

新势力的车总感觉买了以后保修会有问题，不太放心，所以也一直没去看。后来看到广告说别克E5是16.99万起，正好在预算范围之内，加上又是别克老车主，就预约了试驾，去了之后才发现16.99万的E5是丐中丐版，连充电桩都不送，而且各种减配，想想就算了。正准备离开的时候，看到展厅开进来一台E4的现车，暮光紫的颜色，瞬间就被吸引了，然后马上要求试驾，一开感觉和E5差不多，就开始和销售谈价了。

先说说缺点吧：
1.因为E4是溜背造型，因此后窗可视空间并不大，然后没有标配流媒体后视镜，其实可视空间是不够的，这点值得改进，建议全系标配流媒体后视镜。
2.天幕足够大，但是不带遮阳帘，加装隔热膜要另外加钱，我们这边是880，心里有点不爽，如果能包含在车窗膜里一起送就更好了。

下面是优点：
1.隔音真的很好，前排双层玻璃真不是盖的，加上没有发动机噪音，我的同事开过之后都说这个车价位应该是20万以上。
2.悬挂和底盘调教体现了老厂、大厂应有的素质，路感清晰的同时没有多余的震动和回弹，底盘感觉相当紧凑，同时也兼顾了舒适度，一句话软但不趴、紧却不硬，给舒适度又加分了。
3.目前购车送车主权益，第一年保险全送，包括200万的第三者，第二年送3000续保券，然后送充电桩什么的，主要送保险也是我下定决心买的核心理由之一。
4.E4在报警的时候（比方说跟车距离太近、倒车车后有障碍物）除了有警报声和警报灯，驾驶座座椅会震动，这个配置我在其它车上没看到，个人感觉很实用，因为座椅的震动给驾驶员的提醒是最直接，驾驶员的反应也是最快最及时的，这点应该点赞。
5.整车造型充分保留了Electra X概念车的设计元素，前卫但不跳跃，总体而言也很协调。
6.油门调教总体和油车差不太大，不会有其它电车那种
很窜的感觉，脚感也很好控制，所以乘坐者就不会有晕车的感觉，这点我老婆很喜欢。


总之，E4的总体性能对我个人而言是非常满意的，当然我个人对车的要求是舒适度大于性能的，对隔音、悬挂、底盘这些会相对比较敏感，毕竟是家用，也不会有谁去开着跑零百加速。

车牌也不挡了，欢迎同城车友联系我呀，哈哈哈！",2023-11-27,宜春
驾仕派,【最满意】天幕的隔热能力比我预想中更好。暴晒天气其实就算没有天幕车内也一样会热。这块天幕的太阳能总透射率为16%，要比Model Y的车顶天幕太阳能总透射率27%好上不少。它的紫外线隔绝率则达99.9%，我前段时间在三亚测试沃尔沃C40纯电的时候就做过类似测试，99.9%隔绝率是防止皮肤在阳光照射下受到伤害的有效保障。能耗方面，我认为别克应该将“反向虚标”打在E5和E4的车型认知上。厂家给出的电耗官方数据是每百公里13.4千瓦时，但我轻松就能在载3人、开空调、不刻意节约电量的吐鲁番开出12.5千瓦时。当我沾沾自喜的时候，得知同行队伍中最低数值在10千瓦时以下。上网看了一下车主反馈，E5前驱单电机版本百公里耗电量在10千瓦时左右是常事。这是我见过电耗最低的纯电中大型SUV，更何况我手中这台还是双电机性能版本。我们一直说奥特能很强，但是很多技术在日常中我们的感知可能没有舒适性配置那么深刻，但是电耗，是我认为奥特能平台先进性的一个可感指标。 【续航】别克E4的续航数字显示体现了大厂的实在和智能，表显数值完全根据当下的驾驶情况来进行判断，在我之前对E5的实测中，给出的数据和实际行驶数值之差在3%以内。作为电车深度使用者，我认为所谓“里程焦虑”其实更多是一种对于表显数值的不信任，“表显能开100结果只能开70”形成的固化思维会加深在路上的不安全感，但是，当显示多少你就一定能开多少的时候，相互信任一旦产生，就能消除日常尤其是城区通勤使用场景中99%的焦虑。而正因为续航数值由智能计算得出，很多时候会给人“越开越多”的感觉。大大加深了我们行驶在路上时对它的好感。,2023-08-26,
驾仕派,【驾驶感受】我开这台车是一台单电机版本，电机的最大功率的话是180kW，峰值扭矩能够做到330Nm，百公里加速的话是7.6秒，当然它的这个7.6秒不是燃油车的这种感受，因为电动车的扭矩输出来的比较快，瞬间就给到你峰值扭矩，特别是我们把它切换到运动模式之后，即使你轻点电门整体速度已经直接拉满。说完它的电门，我们来说一下刹车，其实我感觉已经很久没有车企愿意去聊刹车，电动车嘛，它有能量回收，然后又有机械的刹车，这种制动是比较考验调教能力的。E4刹车整体的感受其实还是比较线型的，但初段的制动力是给的稍微少了一点，所以你需要加大幅度才能得到更明显的刹车效果，而且E4把这个单踏板的模式直接放到了屏幕上，启动这个单踏板模式的话，你只要一松开电门，自动力或者拖拽力会比特斯拉的单踏板的制动力还要明显，所以我更建议你平常用的话，还是要把这个模式给关闭掉，开起来才会更加的舒服。 在转向方面，首先这个方向盘整体的握感特别的饱满，驾驶感受还是比较舒服的，另外就是它的转向准确度，虚位是比较小。阻尼力的话，在刚才这个舒适模式下整体的转向会比较轻盈，当然你需要稍微重一点的这种反馈可以把它切换到运动模式，方向盘的阻尼会加大一点，开起来其实要更加的安心，更加舒服一点。 而底盘悬挂方面，别克E4用的是前后五连杆的独立的悬挂，在柏油路上整体的悬挂对稍微有点坑洼，然后一些减速带的这种处理效果还是比较OK的，传递到车内或者传递到身上的感觉已经是减少了很大的一部分。最后，为什么说这台别克E4更有高级感了，因为我更感觉就是它的NVH表现的确是做到在同级车型里面比较不错的，首先这台车的电机是没有什么声响的，另外就是它对这个风噪和路噪的隔绝还是比较OK的，特别是在跑高速的情况下，对于风噪压抑是抑制得很好的，在车内听音乐这些都是比较舒服的。,2023-06-30,
山上有座庙l,【购车经历】 从看车到买车只用了两天时间，去4s店看了现车还是比较有吸引力的，价格也符合自己的预期，之前也看了几款其他品牌的车子，总感觉少了点什么？没有非要购买的冲动，哈哈?这可能就是所谓的一见钟情吧。 【驾驶感受】 车子很稳、很顺手，方向盘粗握感舒服，转向的力度也是刚好的，隔音也挺好，有点开油车的感觉了，动力够用。 【续航】 车机显示431公里，开到家剩余392，实际跑了36公里，全程开空调制冷，天气温度26度左右，市区续航还是可以的。 【最满意】 底盘高，通过性好不容易蹭底盘，喜欢轿车的这款车可以说是不二之选，有着轿跑的车型，不像suv方方正正的。 【最不满意】 单踏板模式倒车太冲了，踩少了不动，踩多了劲又有点大，不好控制，希望能改进改进，单踏板用着挺好基本不用踩刹车了，拥堵的时候脚没那么累。其他问题暂时没发现。,2024-03-05,广州
优雅钢琴uRt,总体还是不错的，去试驾了蛮多车，最终选择了e4，之前去试驾了丰田验证码，起亚ev5，日产艾瑞雅和迪子宋l，宋l总体感觉还不错，就是价格太硬，后来试驾了e4，感觉还不错的，就直接交了定金，开始了e4之旅，15万的价格还是可以接受的，开起来有点油车的感觉，比较稳，不会晕车。后排空间还是不错的，买了脚垫，看起来不错。,2024-03-05,宁波
空口无用面对面,提车一个多月了，总体满意，车机反应有点慢，其他就是天天市区走走停停，续航有点低，三百多吧，快速路和高速能到400,,宿迁
不问E400,优点：外观空间配置动力都非常不错，对比所有中大型、紧凑型SUV以后，E4的性价比最高(活动优惠了一些）。选车时自动忽略成立没几年的新势力，只看国产老牌子和传统合资大厂。整个车重2.1t，但是开起来非常轻盈，提速刹车流畅，整体操纵很棒，底盘扎实，颠簸感很小。后排空间也很大，毕竟2950的轴距，放倒可以当床了。 缺点：车机跟国产相比还是比较差的，保守+落后吧。①保守的地方：充电功率保守，0-70%功率可以到100kw，70-100%几乎只有15-25kw，大部分国产车为了加快充电速度， 80%才会降低充电功率。车机软件不能自主下载，所以娱乐性较差，不能玩游戏刷抖音。之所以说这两点是保守，因为厂家这么设计是基于安全性考虑，做到这点并无难度。 ②落后的地方：汽车手机互联较差，比方说手机远程启动、提前预热开空调等，功能不全，反应很慢，比亚迪十万的小车都可以流畅实现这些功能。车机的语音识别功能很少，感觉也比较呆笨。,2023-12-15,上海
